,https://roic.ai/company/PLAY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,520783000,521539000,541545000,608067000,635579000,746751000,866982000,1005158000,1139791000,1265301000,1354691000,436512000,1304056000
2,COGS,104137000,103981000,107168000,264688000,275186000,146475000,362939000,180300000,196672000,220263000,233311000,192380000,409942000
3,Gross Profit,416646000,417558000,434377000,343379000,360393000,600276000,504043000,824858000,943119000,1045038000,1121380000,244132000,894114000
4,Gross Profit Ratio,0.8000,0.8006,0.8021,0.5647,0.5670,0.8039,0.5814,0.8206,0.8274,0.8259,0.8278,0.5593,0.6856
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,341117000,345521000,345950000,40356000,36440000,229784000,53600000,298715000,340035000,381608000,610753000,47215000,75501000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",341117000,345521000,345950000,40356000,36440000,229784000,53600000,298715000,340035000,381608000,610753000,47215000,75501000
9,Other Expenses,53658000,50018000,54277000,259309000,272914000,324209000,340407000,375627000,438030000,502430000,362548000,449529000,327160000
10,Operating Expenses,394775000,395539000,400227000,299665000,309354000,553993000,394007000,674342000,778065000,884038000,973301000,496744000,402661000
11,COGS and Expenses,498912000,499520000,507395000,564353000,584540000,700468000,756946000,854642000,974737000,1104301000,1206612000,689124000,812603000
12,Interest Income ,316000,283000,367000,336000,334000,329000,308000,271000,224000,136000,119000,- -,- -
13,Interest Expense (Gain),22438000,32745000,45298000,45024000,44954000,32823000,10430000,6434000,7911000,12399000,20264000,34706000,53910000
14,Depreciation and Amortization,53658000,50018000,54277000,63457000,66337000,70868000,78660000,88305000,102766000,118275000,132460000,138789000,138329000
15,EBITDA,75845000,72320000,88794000,104561000,114521000,115185000,180840000,238270000,267066000,278561000,279866000,-116911000,319893000
16,EBITDA ratio,0.1456,0.1387,0.1640,0.1720,0.1802,0.1542,0.2086,0.2370,0.2343,0.2202,0.2066,-0.2678,0.2453
17,Operating Income,21871000,22019000,34150000,43714000,51039000,73861000,110036000,150516000,165772000,161000000,148079000,-252612000,187181000
18,Operating Income ratio,0.0420,0.0422,0.0631,0.0719,0.0803,0.0989,0.1269,0.1497,0.1454,0.1272,0.1093,-0.5787,0.1435
19,Total Other Income Expenses (Gains),-22122000,-32462000,-44931000,-47634000,-47809000,-62367000,-18286000,-6985000,-9383000,-13113000,-20937000,-37794000,-59527000
20,Income Before Tax,-251000,-10443000,-10781000,-3920000,3230000,11494000,91750000,143531000,156389000,147887000,127142000,-290406000,127654000
21,Income Before Tax Ratio,-0.0005,-0.0200,-0.0199,-0.0064,0.0051,0.0154,0.1058,0.1428,0.1372,0.1169,0.0939,-0.6653,0.0979
22,Income Tax expense (Gain),99000,-3148000,-3796000,-12702000,1061000,3858000,32131000,52736000,35440000,30666000,26879000,-83432000,19014000
23,Net Income,-350000,-7295000,-6985000,8782000,2169000,7636000,59619000,90795000,120949000,117221000,100263000,-206974000,108640000
