,https://roic.ai/company/IZEA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,3820000,4347235,4954239,6626943,8322274,20467926,27310602,24437649,20099695,18955672,18329555,30022377
2,COGS,- -,1820000,1951571,2150379,2698364,2845833,12236916,14242244,11585316,9042155,8521353,8000038,15550820
3,Gross Profit,- -,2000000,2395664,2803860,3928579,5476441,8231010,13068358,12852333,11057540,10434319,10329517,14471557
4,Gross Profit Ratio,- -,0.5236,0.5511,0.5660,0.5928,0.6580,0.4021,0.4785,0.5259,0.5501,0.5505,0.5635,0.4820
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4090000,5859087,6287774,6460800,8813291,7517115,10282792,9218565,8683911,9611131,8611423,11034246
7,Selling and Marketing Exp.,- -,- -,823365,981542,380835,1309353,7936215,10261910,7593197,6484320,6240263,5999671,8795038
8,"Selling, General and Administrative Exp.",- -,4090000,6682452,7269316,6841635,10122644,15453330,20544702,16811762,15168231,15851394,14611094,19829284
9,Other Expenses,- -,-10000,- -,- -,- -,- -,- -,- -,1516807,1298359,1750629,1652126,- -
10,Operating Expenses,- -,4080000,6682452,7269316,6841635,10122644,15453330,20544702,18328569,16466590,17602023,16263220,19829284
11,COGS and Expenses,- -,5900000,8634023,9419695,9539999,12968477,27690246,34786946,29913885,25508745,26123376,24263258,35380104
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-70000,24392,115799,63404,25375,115861,82944,64950,269473,233654,63012,25320
14,Depreciation and Amortization,- -,90000,63143,117745,97190,205371,1059131,1299851,1516807,1298359,1750629,1652126,1089
15,EBITDA,- -,-2140000,-3891057,-4439094,-3161398,3414810,-10133179,-6177405,-3885942,-4150575,-5305837,-8534869,-3114212
16,EBITDA ratio,- -,-0.5602,-0.8951,-0.8960,-0.4771,0.4103,-0.4951,-0.2262,-0.1590,-0.2065,-0.2799,-0.4656,-0.1037
17,Operating Income,- -,-2080000,-4286788,-4465456,-2913056,-4646203,-7222320,-7476344,-5476236,-5409050,-7167704,-10233703,-5357727
18,Operating Income ratio,- -,-0.5445,-0.9861,-0.9013,-0.4396,-0.5583,-0.3529,-0.2738,-0.2241,-0.2691,-0.3781,-0.5583,-0.1785
