,https://roic.ai/company/ADXN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,4738970,486930,26806842,4090770,1975265,2823447,- -,- -,- -,- -,- -,- -,6043855,2762830,3612819,2916308
2,COGS,- -,- -,- -,- -,- -,27985645,1269187,91760,85404,40301,17329,29764,144169,230097,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,-25162198,-1269187,- -,- -,- -,- -,-29764,5899686,2532733,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-8.9119,-Infinity,- -,- -,- -,- -,-Infinity,0.9761,0.9167,- -,- -
5,Research and Development Exp.,9771350,12209020,44191671,39961124,31164789,- -,4755956,2220131,258058,761217,819330,841308,2368457,12453876,10373200,12840540
6,General and Administrative Exp.,- -,- -,7554239,7596102,6433176,6731247,12853583,6468723,1547919,1567774,1522346,2196079,4717030,4265000,5146000,5138000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7554239,7596102,6433176,6731247,12853583,6468723,1547919,1567774,1522346,2196079,4717030,4265000,5146000,5138000
9,Other Expenses,15984750,25899470,-67331,- -,-2024911,-919546,9400875,5769741,-9441,311823,799702,197669,382993,648165,336676,444000
10,Operating Expenses,25756100,38108490,51678579,47557226,35573054,5811701,27010414,14458595,1796536,2640814,3141378,3235056,7468480,17367041,15855876,18422540
11,COGS and Expenses,25756100,38108490,51678579,47557226,35573054,33797346,27010414,14458595,1796536,2640814,3141378,3235056,7468480,17367041,15855876,18422540
12,Interest Income ,241990,2551690,3307338,362129,97254,72199,22662,4134,1586,39860,27,- -,-85866,36874,35305,5322
13,Interest Expense (Gain),30450,8540,501878,- -,144812,239368,- -,- -,- -,152210,6924,45350,220173,128518,69502,63012
14,Depreciation and Amortization,2522150,1802090,2016429,2835639,2941151,2927636,2104420,662549,110135,25878,25761,15249,2937,333844,378754,347613
15,EBITDA,-17992210,-33275130,-19547970,-39856485,-30559384,-27974064,-24874919,-13788679,-1706593,-2614936,-3115590,-3219807,-1421688,-14318242,-12410343,-14941289
16,EBITDA ratio,-3.7966,-68.3366,-0.7292,-9.7430,-15.4710,-9.9078,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2352,-5.1825,-3.4351,-5.1234
17,Operating Income,-20900130,-37621560,-24871737,-43054253,-33597789,-30973899,-27010414,-14458595,-1796636,-3867945,-3129597,-3235056,-1424625,-14604157,-12243274,-15505917
18,Operating Income ratio,-4.4103,-77.2628,-0.9278,-10.5247,-17.0093,-10.9702,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2357,-5.2859,-3.3888,-5.3170
19,Total Other Income Expenses (Gains),355320,2535800,2805460,85746377,-47558,-167169,-8413,-3233,21778,-336268,-19789,-45350,-220173,-176447,-615325,154003
20,Income Before Tax,-20544810,-35085760,-22066277,42692124,-33645347,-31141068,-27018827,-14461828,-1774858,-4204213,-3149386,-3280406,-1644798,-14780604,-12858599,-15351914
21,Income Before Tax Ratio,-4.3353,-72.0550,-0.8232,10.4362,-17.0333,-11.0295,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2721,-5.3498,-3.5592,-5.2642
