,https://roic.ai/company/MGPI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,124900000,191800000,184000000,194100000,227000000,163400000,186000000,180300000,194600000,224700000,223300000,216100000,231880000,229241000,214528000,192372000,270673000,275177000,322477000,367994000,392893000,275976000,201971000,247915000,334335000,323264000,313403000,327604000,318263000,347448000,376089000,362745000,395521000,626720000
2,COGS,- -,93500000,156700000,154200000,158700000,185500000,124400000,141100000,150400000,176300000,199700000,200600000,187000000,197463000,212058000,193325000,202112000,245766000,249936000,277264000,321941000,388662000,310078000,171427000,225038000,309312000,302025000,284972000,269071000,252980000,271432000,292490000,286213000,296715000,427755000
3,Gross Profit,- -,31400000,35100000,29800000,35400000,41500000,39000000,44900000,29900000,18300000,25000000,22700000,29100000,34417000,17183000,21203000,-9740000,24907000,25241000,45213000,46053000,4231000,-34102000,30544000,22877000,25023000,21239000,28431000,58533000,65283000,76016000,83599000,76532000,98806000,198965000
4,Gross Profit Ratio,- -,0.2514,0.1830,0.1620,0.1824,0.1828,0.2387,0.2414,0.1658,0.0940,0.1113,0.1017,0.1347,0.1484,0.0750,0.0988,-0.0506,0.0920,0.0917,0.1402,0.1251,0.0108,-0.1236,0.1512,0.0923,0.0748,0.0657,0.0907,0.1787,0.2051,0.2188,0.2223,0.2110,0.2498,0.3175
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72829000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16098000
8,"Selling, General and Administrative Exp.",- -,9600000,10000000,10300000,11900000,14200000,10700000,12200000,10600000,9000000,9200000,11400000,11900000,12109000,13545000,14689000,13617000,20339000,19318000,23811000,20319000,24235000,21401000,20708000,21157000,26536000,26202000,20101000,25683000,26693000,33107000,33451000,29290000,44565000,88927000
9,Other Expenses,- -,5400000,6100000,6700000,6500000,7200000,6200000,7200000,8700000,13900000,14000000,13900000,13600000,13515000,- -,-4865000,-17403000,-10720000,-707000,-968000,-1426000,9646000,4694000,2581000,826000,-569000,236000,1000,- -,-3385000,- -,- -,- -,- -,- -
