,https://roic.ai/company/RPID,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,16512000,16077000,23232000
2,COGS,16746000,24148000,30973000
3,Gross Profit,-234000,-8071000,-7741000
4,Gross Profit Ratio,-0.0142,-0.5020,-0.3332
5,Research and Development Exp.,5429000,6531000,9781000
6,General and Administrative Exp.,8924000,9976000,17895000
7,Selling and Marketing Exp.,4047000,5962000,11815000
8,"Selling, General and Administrative Exp.",12971000,15938000,29710000
9,Other Expenses,- -,- -,30973000
10,Operating Expenses,18400000,22469000,70464000
11,COGS and Expenses,35146000,46617000,70464000
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),2375000,3447000,-2650000
14,Depreciation and Amortization,1460000,1509000,1529000
15,EBITDA,-16909000,-31988000,-74554000
16,EBITDA ratio,-1.0240,-1.9897,-3.2091
17,Operating Income,-18634000,-30540000,-47232000
18,Operating Income ratio,-1.1285,-1.8996,-2.0331
19,Total Other Income Expenses (Gains),-2110000,-6404000,-26201000
20,Income Before Tax,-20744000,-36944000,-73433000
21,Income Before Tax Ratio,-1.2563,-2.2979,-3.1609
22,Income Tax expense (Gain),427000,134000,91000
23,Net Income,-21171000,-37078000,-73524000
24,Net Income ratio,-1.2822,-2.3063,-3.1648
25,EPS,-0.99,-1.37,-1.90
26,EPS Diluted,-0.99,-1.37,-1.90
27,Weighted Average Shares Outstanding,26962888,26962888,38670611
28,Weighted Average Shares Outstanding Diluted,26962888,26962888,38670611
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1380106/000138010622000010/0001380106-22-000010-index.htm
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,12459000,30079000,178387000
32,Short-Term Investments,- -,14998000,15110000
33,Cash and Short-Term Investments,12459000,45077000,193497000
34,Net Receivables,4919000,5784000,5005000
35,Inventory,5752000,8965000,15671000
36,Other Current Assets,482000,2324000,3951000
37,Total Current Assets,23612000,62150000,218124000
38,PP&E,7592000,7052000,11304000
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,9966000
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,484000,795000,1775000
45,Total Non-Current Assets,8076000,7847000,23045000
46,Other Assets,- -,- -,- -
47,Total Assets,31688000,69997000,241169000
48,Accounts Payable,3211000,4468000,3944000
49,Short-Term Debt,- -,- -,- -
50,Tax Payable,613000,688000,- -
51,Deferred Revenue,1881000,4423000,3305000
52,Other Current Liabilities,5436000,6654000,10917000
53,Total Current Liabilities,10528000,15545000,18166000
54,Long-Term Debt,17806000,24810000,- -
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,4079000,4822000,2023000
58,Total Non-Current Liabilities,21885000,29632000,2023000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,32413000,45177000,20189000
62,Preferred Stock,81850000,151826000,- -
63,Common Stock,4000,6000,415000
64,Retained Earnings,-204510000,-241588000,-315112000
65,Other Comprehensive Income/Loss,- -,1000,-16000
66,Other Total Stockholders Equity,121931000,114575000,220980000
67,Total Stockholders Equity,-725000,24820000,220980000
68,Total Liabilities And Stockholders Equity,31688000,69997000,241169000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,31688000,69997000,241169000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1380106/000138010622000010/0001380106-22-000010-index.htm
72,CASH FLOW STATEMENT, , , 
73,Net Income,-21171000,-37078000,-73524000
74,Depreciation and Amortization,1460000,1509000,1529000
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,473000,533000,1843000
77,Change in Working Capital,-2109000,33521000,153353000
78,Accounts Receivable,-511000,-1361000,-17000
79,Inventory,-3924000,-3367000,60000
80,Accounts Payable,1035000,978000,-524000
81,Other Working Capital,13084000,46605000,199958000
82,Other Non-Cash Items,200000,-29481000,-138165000
83,Cash Provided by Operating Activities,-21147000,-30996000,-54964000
84,CAPEX,-1695000,-690000,-18000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,-24980000,-25092000
87,Sales/Maturities of Investments,- -,10000000,15000000
88,Other Investing Activites,- -,- -,-3179000
89,Cash Used for Investing Activites,-1695000,-15670000,-13289000
90,Debt Repayment,- -,-18000000,-12000
91,Common Stock Issued,11000,72000,403000
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,14859000,82162000,216354000
95,Cash Used/Provided by Financing Activities,14870000,64234000,216745000
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,-7972000,17568000,148492000
98,Cash at the End of Period,12611000,30179000,178671000
99,Cash at the Beginning of Period,20583000,12611000,30179000
100,Free Cash Flow,-22842000,-31686000,-54982000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1380106/000138010622000010/0001380106-22-000010-index.htm
102,false,,,
