,https://roic.ai/company/GM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,148979000000,104589000000,135592000000,150276000000,152256000000,155427000000,155929000000,152356000000,166380000000,145588000000,147049000000,137237000000,122485000000,127004000000
2,COGS,149257000000,112195000000,118792000000,131171000000,141443000000,137373000000,142121000000,134054000000,145125000000,125997000000,132954000000,123265000000,108813000000,109126000000
3,Gross Profit,-278000000,-7606000000,16800000000,19105000000,10813000000,18054000000,13808000000,18302000000,21255000000,19591000000,14095000000,13972000000,13672000000,17878000000
4,Gross Profit Ratio,-0.0019,-0.0727,0.1239,0.1271,0.0710,0.1162,0.0886,0.1201,0.1277,0.1346,0.0959,0.1018,0.1116,0.1408
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14253000000,12167000000,11716000000,12163000000,13593000000,12382000000,12158000000,13405000000,11710000000,9575000000,9650000000,8491000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14253000000,12167000000,11716000000,12163000000,13593000000,12382000000,12158000000,13405000000,11710000000,9575000000,9650000000,8491000000,7038000000,8554000000
9,Other Expenses,6089000000,1162000000,- -,- -,438000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20342000000,13329000000,11716000000,12163000000,14031000000,12382000000,12158000000,13405000000,11710000000,9575000000,9650000000,8491000000,7038000000,8554000000
11,COGS and Expenses,169599000000,125524000000,130508000000,143334000000,155474000000,149755000000,154279000000,147459000000,156835000000,135572000000,142604000000,131756000000,115851000000,117680000000
12,Interest Income ,424000000,1292000000,1555000000,851000000,343000000,246000000,211000000,169000000,185000000,290000000,335000000,429000000,241000000,146000000
13,Interest Expense (Gain),2525000000,6122000000,1098000000,540000000,489000000,334000000,403000000,443000000,572000000,575000000,655000000,782000000,1098000000,950000000
