,https://roic.ai/company/OCGN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,26000,8000,- -,- -,- -,- -,- -,- -,42620,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,11941000,11946000,25856000,23243000,21577000,15566000,15634000,8085522,13353287,35108000
6,General and Administrative Exp.,3053000,4847000,6746000,8266000,8530000,9384000,10204000,6077097,7974050,22920000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3053000,4847000,6746000,8266000,8530000,9384000,10204000,6077097,7974050,22920000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14994000,16793000,32602000,31509000,30107000,24950000,25838000,14162619,21327337,58028000
11,COGS and Expenses,14994000,16793000,32602000,31509000,30107000,24950000,25838000,14162619,21327337,58028000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1214,1065,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1767836,720963,79000
14,Depreciation and Amortization,638000,566000,726000,1614000,1673000,1534000,450000,60608,102110,229000
15,EBITDA,-16297000,-25146000,-41823000,-29895000,-28434000,-23416000,-25388000,-14102011,-20998880,-58338000
16,EBITDA ratio,-626.8077,-3143.2500,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-492.7001,-Infinity
17,Operating Income,-14968000,-16845000,-32662000,-31819000,-30307000,-24950000,-30108000,-14162619,-21284717,-58028000
18,Operating Income ratio,-575.6923,-2105.6250,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-499.4068,-Infinity
19,Total Other Income Expenses (Gains),-1967000,-8867000,9869000,-205000,14099000,-1464000,21465000,-6080011,-537236,-389000
20,Income Before Tax,-16935000,-25712000,-22793000,-32024000,-16208000,-26414000,-8643000,-20242630,-21821953,-58417000
21,Income Before Tax Ratio,-651.3462,-3214.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-512.0120,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000
23,Net Income,-16935000,-25712000,-22793000,-32024000,-16208000,-26414000,-8643000,-20242630,-21821953,-58365000
24,Net Income ratio,-651.3462,-3214.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-512.0120,-Infinity
25,EPS,-79.65,-121.20,-410.99,-145.20,-58.20,-59.40,-13.80,-1.46,-0.31,-0.30
26,EPS Diluted,-79.65,-121.20,-410.99,-145.20,-130.80,-59.40,-47.40,-1.46,-0.31,-0.30
27,Weighted Average Shares Outstanding,212617,212617,25568,220523,237620,377837,606652,13893819,112236110,195013043
