,https://roic.ai/company/NICK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5833175,6209129,7937022,10418538,14074816,17797026,20218125,22376875,25500485,32831893,42676670,46709374,50082797,53102371,56471653,62773526,63274748,76484767,77639210,80455146,81676000,81466000,73763000,61796000,53580000,50040000
2,COGS,140786,98833,105924,102368,90471,84870,78615,83904,66193,64556,45230,17838,34589,17497,18288,12866,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,5692389,6110296,7831098,10316170,13984345,17712156,20139510,22292971,25434292,32767337,42631440,46691536,50048208,53084874,56453365,62760660,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.9759,0.9841,0.9867,0.9902,0.9936,0.9952,0.9961,0.9963,0.9974,0.9980,0.9989,0.9996,0.9993,0.9997,0.9997,0.9998,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2060251,2391945,3001958,3950839,5225373,6356555,7302275,8460662,9918151,3550523,4445274,5136534,6121641,20628202,21818808,24207650,25566635,27377257,28532558,30676650,32144000,33617000,31192000,30722000,32197000,30331000
7,Selling and Marketing Exp.,216198,248482,319757,369968,396307,445869,565626,654569,865930,878194,1242337,1234588,1309140,1248190,1205596,1224484,1252854,1452659,1491216,1562226,1497000,1440000,1489000,2446000,1548000,1269000
8,"Selling, General and Administrative Exp.",2276449,2640427,3321715,4320807,5621680,6802424,7867901,9115231,10784081,4428717,5687611,6371122,7430781,21876392,23024404,25432134,26819489,28829916,30023774,32238876,33641000,35057000,32681000,33168000,33745000,31600000
9,Other Expenses,839858,523937,931399,1030927,1160768,1616311,2102651,2404116,2408626,11595650,15571120,16047240,20741134,16741964,11643899,4876907,12180511,15170084,18976226,21761124,28359000,37943000,38319000,32832000,17255000,- -
