,https://roic.ai/company/STON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,63897000,74826000,75528000,79702000,89258000,99725000,115113000,113838000,151825000,181204000,161395000,185487000,242606000,246641000,288085000,305640000,326230000,338227000,316126000,289522000,279539000,322842000
2,COGS,9464000,11803000,12016000,29299000,12374000,37096000,19528000,28093000,41947000,82098000,43466000,49669000,112236000,121079000,138034000,157633000,171583000,178559000,177880000,157828000,143562000,79111000
3,Gross Profit,54433000,63023000,63512000,50403000,76884000,62629000,95585000,85745000,109878000,99106000,117929000,135818000,130370000,125562000,150051000,148007000,154647000,159668000,138246000,131694000,135977000,243731000
4,Gross Profit Ratio,0.8519,0.8423,0.8409,0.6324,0.8614,0.6280,0.8304,0.7532,0.7237,0.5469,0.7307,0.7322,0.5374,0.5091,0.5209,0.4843,0.4740,0.4721,0.4373,0.4549,0.4864,0.7550
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,56940000,71442000,84316000,44868000,97754000,110455000,57097000,60748000,67564000,74980000,77367000,91075000,96362000,95338000,73945000,- -
7,Selling and Marketing Exp.,13166000,15480000,15413000,- -,- -,- -,23186000,29245000,34806000,34123000,38245000,45291000,46878000,47832000,55277000,58884000,67267000,66083000,62538000,59347000,49668000,58962000
8,"Selling, General and Administrative Exp.",13166000,15480000,15413000,- -,- -,- -,80126000,100687000,119122000,78991000,135999000,155746000,103975000,108580000,122841000,133864000,144634000,157158000,158900000,154685000,123613000,58962000
9,Other Expenses,40076000,40993000,44991000,- -,63120000,50245000,3501000,3891000,5029000,6390000,8845000,8534000,9431000,9548000,11081000,12803000,12899000,13183000,11736000,10782000,9152000,- -
10,Operating Expenses,53242000,56473000,60404000,- -,63120000,50245000,83627000,104578000,124151000,85381000,144844000,164280000,113406000,118128000,133922000,146667000,157533000,170341000,170636000,165467000,132765000,58962000
11,COGS and Expenses,62706000,68276000,72420000,29299000,75494000,87341000,103155000,132671000,166098000,167479000,188310000,213949000,225642000,239207000,271956000,304300000,329116000,348900000,348516000,323295000,276327000,315744000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),16677000,15550000,14828000,6128000,9480000,6457000,7491000,9075000,12714000,14409000,21973000,19198000,20503000,21070000,21610000,22585000,24488000,27345000,30602000,48519000,45537000,38974000
14,Depreciation and Amortization,4291000,4337000,4893000,- -,4547000,3510000,3501000,3891000,5029000,6390000,8845000,8534000,9431000,9548000,11081000,12803000,12899000,13183000,11736000,10782000,9395000,8122000
15,EBITDA,2000,14733000,17197000,8814000,9911000,15894000,15459000,16377000,22379000,17768000,23989000,13998000,25131000,9282000,25831000,12252000,8493000,-44251000,-32158000,-64437000,41718000,10187000
16,EBITDA ratio,0.0000,0.1969,0.2277,0.1106,0.1110,0.1594,0.1343,0.1439,0.1474,0.0981,0.1486,0.0755,0.1036,0.0376,0.0897,0.0401,0.0260,-0.1308,-0.1017,-0.2226,0.1492,0.0316
17,Operating Income,1191000,6550000,3108000,8814000,9564000,12384000,11958000,12643000,17350000,11431000,3267000,9835000,13841000,6383000,13860000,1340000,-2886000,-10673000,-43894000,-66741000,3341000,3775000
18,Operating Income ratio,0.0186,0.0875,0.0412,0.1106,0.1072,0.1242,0.1039,0.1111,0.1143,0.0631,0.0202,0.0530,0.0571,0.0259,0.0481,0.0044,-0.0088,-0.0316,-0.1388,-0.2305,0.0120,0.0117
19,Total Other Income Expenses (Gains),-16677000,-22550000,-14828000,-6128000,-13680000,-6457000,-7491000,-9232000,-12714000,-14462000,-10096000,-23569000,-18644000,-27719000,-20720000,-24476000,-26008000,-74106000,-30602000,-56997000,-45537000,-79102000
20,Income Before Tax,-15486000,-16000000,-11720000,2686000,-4116000,5927000,4467000,3411000,4636000,-3031000,-6829000,-13734000,-4803000,-21336000,-6860000,-23136000,-28894000,-84779000,-74496000,-123738000,-42196000,-75327000
