,https://roic.ai/company/LL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,100866000,171766000,244947000,332060000,405307000,482179000,544568000,620281000,681587000,813327000,1000240000,1047419000,978776000,960588000,1028933000,1084636000,1092602000,1097702000,1152344000
2,COGS,67870000,115857000,158844000,221931000,270193000,314501000,349891000,404451000,440912000,504542000,589257000,629252000,699918000,656719000,659872000,691696000,688916000,669990000,712302000
3,Gross Profit,32996000,55909000,86103000,110129000,135114000,167678000,194677000,215830000,240675000,308785000,410983000,418167000,278858000,303869000,369061000,392940000,403686000,427712000,440042000
4,Gross Profit Ratio,0.3271,0.3255,0.3515,0.3317,0.3334,0.3478,0.3575,0.3480,0.3531,0.3797,0.4109,0.3992,0.2849,0.3163,0.3587,0.3623,0.3695,0.3896,0.3819
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,130693000,151070000,173667000,198237000,230439000,284960000,314094000,362051000,397504000,406027000,443513000,386970000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",29566000,48461000,67900000,88716000,116308000,130693000,151070000,173667000,198237000,230439000,284960000,314094000,362051000,397504000,406027000,443513000,386970000,371430000,387356000
9,Other Expenses,955000,293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,30521000,48754000,67900000,88716000,116308000,130693000,151070000,173667000,198237000,230439000,284960000,314094000,362051000,397504000,406027000,443513000,386970000,371430000,387356000
11,COGS and Expenses,98391000,164611000,226744000,310647000,386501000,445194000,500961000,578118000,639149000,734981000,874217000,943346000,1061969000,1054223000,1065899000,1135209000,1075886000,1041420000,1099658000
12,Interest Income ,- -,- -,- -,- -,- -,- -,498000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,2240000,2908000,3627000,4350000,4714000,5773000,8328000,9957000,11666000,14714000,17392000,17505000,17739000,18425000,17465000,17645000,18833000
15,EBITDA,2685000,6536000,19901000,23967000,22124000,42142000,48821000,48515000,51353000,88443000,138131000,118297000,-66035000,-76768000,-20818000,-34975000,30417000,71285000,71623000
16,EBITDA ratio,0.0266,0.0381,0.0812,0.0722,0.0546,0.0874,0.0897,0.0782,0.0753,0.1087,0.1381,0.1129,-0.0675,-0.0799,-0.0202,-0.0322,0.0278,0.0649,0.0622
17,Operating Income,2475000,7155000,18203000,21413000,18806000,36985000,43607000,42163000,42438000,78346000,126023000,104073000,-83193000,-93635000,-36966000,-50573000,16716000,56282000,52686000
18,Operating Income ratio,0.0245,0.0417,0.0743,0.0645,0.0464,0.0767,0.0801,0.0680,0.0623,0.0963,0.1260,0.0994,-0.0850,-0.0975,-0.0359,-0.0466,0.0153,0.0513,0.0457
19,Total Other Income Expenses (Gains),210000,-619000,-542000,-354000,-309000,807000,498000,579000,587000,140000,442000,-490000,-234000,-638000,-1591000,-2827000,-3764000,-2642000,104000
20,Income Before Tax,2685000,6536000,17661000,21059000,18497000,37792000,44105000,42742000,43025000,78486000,126465000,103583000,-83427000,-94273000,-38557000,-53400000,12952000,53640000,52790000
21,Income Before Tax Ratio,0.0266,0.0381,0.0721,0.0634,0.0456,0.0784,0.0810,0.0689,0.0631,0.0965,0.1264,0.0989,-0.0852,-0.0981,-0.0375,-0.0492,0.0119,0.0489,0.0458
22,Income Tax expense (Gain),65000,-1450000,6948000,8161000,7171000,15643000,17181000,16476000,16769000,31422000,49070000,40212000,-26994000,-25710000,-734000,979000,3289000,-7787000,11092000
23,Net Income,2620000,7986000,10713000,12898000,11326000,22149000,26924000,26266000,26256000,47064000,77395000,63371000,-56433000,-68563000,-37823000,-54379000,9663000,61427000,41698000
