,https://roic.ai/company/AFI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1209800000,1262800000,1220400000,1188700000,1193200000,1133700000,728200000,626300000,584800000,649000000
2,COGS,958700000,1054000000,1021700000,961100000,963100000,963600000,585000000,541000000,501300000,575000000
3,Gross Profit,251100000,208800000,198700000,227600000,230100000,170100000,143200000,85300000,83500000,74000000
4,Gross Profit Ratio,0.2076,0.1653,0.1628,0.1915,0.1928,0.1500,0.1966,0.1362,0.1428,0.1140
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,167500000,168200000,177100000,209700000,211200000,204600000,160600000,146400000,145200000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",167500000,168200000,177100000,209700000,211200000,204600000,160600000,146400000,145200000,160000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,167500000,168200000,177100000,209700000,211200000,204600000,160600000,146400000,145200000,160000000
11,COGS and Expenses,1126200000,1222200000,1198800000,1170800000,1174300000,1168200000,745600000,687400000,646500000,735000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1500000,2800000,4800000,4400000,7500000,12000000
14,Depreciation and Amortization,41600000,43700000,52100000,38100000,46600000,78700000,55100000,50700000,47800000,- -
15,EBITDA,96700000,49000000,18500000,92300000,61400000,31500000,-109100000,-1800000,-9100000,-41000000
16,EBITDA ratio,0.0799,0.0388,0.0152,0.0776,0.0515,0.0278,-0.1498,-0.0029,-0.0156,-0.0632
17,Operating Income,83600000,40600000,10800000,17900000,18900000,-47000000,-17400000,-61100000,-61700000,-40800000
18,Operating Income ratio,0.0691,0.0322,0.0088,0.0151,0.0158,-0.0415,-0.0239,-0.0976,-0.1055,-0.0629
19,Total Other Income Expenses (Gains),-100000,400000,-4400000,-3600000,-7300000,-3000000,-7700000,-6200000,-2700000,-12200000
20,Income Before Tax,83500000,41000000,6400000,14300000,11600000,-50000000,-25100000,-67300000,-64400000,-53000000
21,Income Before Tax Ratio,0.0690,0.0325,0.0052,0.0120,0.0097,-0.0441,-0.0345,-0.1075,-0.1101,-0.0817
22,Income Tax expense (Gain),31600000,14100000,3600000,5300000,4100000,-8200000,-6000000,1600000,-800000,- -
23,Net Income,23500000,-8800000,-37200000,48900000,9200000,-41800000,-163000000,-58500000,-63600000,-53000000
24,Net Income ratio,0.0194,-0.0070,-0.0305,0.0411,0.0077,-0.0369,-0.2238,-0.0934,-0.1088,-0.0817
25,EPS,0.85,-0.32,-1.34,1.76,0.33,-1.54,-6.27,-2.42,-2.90,-2.42
26,EPS Diluted,0.85,-0.32,-1.34,1.76,0.33,-1.54,-6.27,-2.42,-2.90,-2.42
27,Weighted Average Shares Outstanding,27742312,27742312,27742312,27742312,27900000,27100000,26000000,24100000,21931034,21931034
28,Weighted Average Shares Outstanding Diluted,27742312,27742312,27742312,27742312,28100000,27100000,26000000,24100000,21931034,21931034
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1655075/000165507517000003/0001655075-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507518000003/0001655075-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507519000004/0001655075-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507520000011/0001655075-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507521000005/0001655075-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1655075/000165507522000005/0001655075-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,38000000,30600000,39000000,173800000,27100000,13700000,9000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,38000000,30600000,39000000,173800000,27100000,13700000,9000000
34,Net Receivables,- -,76300000,81700000,71400000,78400000,83500000,39600000,36800000,43000000,53000000
35,Inventory,- -,220700000,224200000,242800000,272100000,236000000,139500000,111600000,122900000,146000000
36,Other Current Assets,- -,141000000,40400000,-2500000,23800000,31800000,18000000,10000000,30700000,16000000
37,Total Current Assets,- -,438000000,346300000,349700000,404900000,390300000,370900000,185500000,210300000,224000000
38,PP&E,- -,396900000,423100000,434500000,445200000,418100000,296100000,283200000,255400000,248000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,49900000,41300000,42600000,42600000,60400000,32000000,25400000,19000000,12000000
41,Intangible Assets,- -,49900000,41300000,42600000,42600000,60400000,32000000,25400000,19000000,12000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,5600000,100000,23500000,4500000,3400000,5600000,5300000,4400000,4000000
44,Other Non-Current Assets,- -,108300000,14400000,13100000,7200000,7300000,3600000,2800000,4400000,29000000
45,Total Non-Current Assets,- -,560700000,478900000,513700000,499500000,489200000,337300000,316700000,283200000,293000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,998700000,825200000,863400000,904400000,879500000,708200000,502200000,493500000,517000000
48,Accounts Payable,- -,110300000,113800000,117700000,123400000,115800000,99500000,70500000,78500000,85000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,28700000,3500000,11100000,7000000
50,Tax Payable,- -,- -,- -,- -,400000,800000,500000,- -,100000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -
52,Other Current Liabilities,- -,77600000,32700000,43600000,40000000,35200000,42400000,30600000,28500000,150000000
53,Total Current Liabilities,- -,187900000,146500000,161300000,163400000,151000000,170600000,104600000,122100000,242000000
54,Long-Term Debt,- -,10000000,10000000,10000000,20000000,85000000,70600000,42200000,70700000,16000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
56,Deferred Tax Liabilities,- -,6600000,26200000,2100000,8400000,4400000,2100000,2400000,2400000,1000000
57,Other Non-Current Liabilities,- -,236200000,67100000,72100000,89100000,89100000,73900000,84700000,75700000,57000000
58,Total Non-Current Liabilities,- -,252800000,103300000,84200000,117500000,178500000,146600000,129300000,148800000,75000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1200000,1000000,- -,6300000,9500000,- -
61,Total Liabilities,- -,440700000,249800000,245500000,280900000,329500000,317200000,233900000,270900000,317000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,10000000,-31800000,-186300000,-244800000,-308400000,-356000000
65,Other Comprehensive Income/Loss,- -,23700000,13700000,2000000,-59800000,-52500000,-61600000,-74700000,-59300000,-37000000
66,Other Total Stockholders Equity,- -,828700000,561400000,615900000,673500000,634800000,639300000,588100000,590000000,592000000
67,Total Stockholders Equity,- -,558000000,575400000,617900000,623500000,550000000,391000000,268300000,222600000,199000000
68,Total Liabilities And Stockholders Equity,- -,998700000,825200000,863400000,904400000,879500000,708200000,502200000,493500000,516000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,- -,998700000,825200000,863400000,904400000,879500000,708200000,502200000,493500000,517000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1655075/000165507517000003/0001655075-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507518000003/0001655075-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507519000004/0001655075-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507520000011/0001655075-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1655075/000165507521000005/0001655075-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1655075/000165507522000005/0001655075-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,23500000,-8800000,-37200000,48900000,9200000,-41800000,-163000000,-58500000,-63600000,-53000000
74,Depreciation and Amortization,41600000,43700000,52100000,38100000,46600000,78700000,55100000,50700000,47800000,- -
75,Deferred Income Tax,9000000,800000,26000000,-43400000,-5200000,-3000000,2400000,1100000,-1600000,- -
76,Stock Based Compensation,- -,- -,- -,- -,5700000,2200000,5400000,1200000,2700000,- -
77,Change in Working Capital,5000000,245100000,-50300000,-11400000,53100000,-2200000,-39000000,-119400000,7300000,-106200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -
79,Inventory,- -,- -,- -,- -,-19800000,30400000,-39400000,14100000,-9700000,- -
80,Accounts Payable,- -,- -,- -,- -,9900000,-10500000,- -,- -,- -,- -
81,Other Working Capital,5000000,250100000,199800000,188400000,241500000,239300000,200300000,80900000,88200000,-18000000
82,Other Non-Cash Items,17200000,-223500000,22600000,20400000,-55400000,29000000,201600000,118900000,-20800000,159200000
83,Cash Provided by Operating Activities,96300000,57300000,13200000,52600000,54000000,62900000,62500000,-6000000,-28200000,- -
84,CAPEX,-86800000,-63400000,-83300000,-61600000,-37600000,-44800000,-35300000,-28900000,-22800000,- -
85,Acquisitions Net,24600000,- -,- -,- -,- -,-36100000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,16000000,-100000,8700000,3300000,700000,400000,5700000,1400000,1700000,- -
89,Cash Used for Investing Activites,-46200000,-63500000,-74600000,-58300000,-36900000,-80500000,-29600000,-27500000,-21100000,- -
90,Debt Repayment,- -,- -,- -,- -,-100000000,-25200000,-142200000,-105300000,-85400000,- -
91,Common Stock Issued,- -,18400000,- -,5300000,55600000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-40000000,-1000000,-51400000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-50000000,- -,- -,- -,- -,- -
94,Other Financing Activites,-44600000,500000,42600000,400000,108900000,89600000,156500000,45600000,120400000,- -
95,Cash Used/Provided by Financing Activities,-44600000,18900000,42600000,5700000,14500000,24400000,13300000,-111100000,35000000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1000000,1600000,-1600000,-200000,900000,- -
97,Net Change In Cash,5500000,12700000,- -,- -,- -,8400000,134800000,-146700000,-13400000,- -
98,Cash at the End of Period,10200000,22900000,- -,- -,30600000,39000000,173800000,27100000,13700000,- -
99,Cash at the Beginning of Period,4700000,10200000,22900000,- -,- -,30600000,39000000,173800000,27100000,13700000
100,Free Cash Flow,9500000,-6100000,-70100000,-9000000,16400000,18100000,27200000,-34900000,-51000000,- -
