,https://roic.ai/company/CCEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1823716760,2556948546,3317455000,3270384293,2943811500,3026393188,4242848850,4897787650,4901730060,5282330430,6364285870,10252717020,11437581240,14316538740,15704915000,17645387000,16094710330,13760539900,13394793440,15793662860,15005292760,14359374320,15664840380,15107344200,5048256600,6391520200,6096000680,5946966160,6795983040,6412681260,9133000000,11062000000,11518000000,12017000000,10606000000,13763000000
2,COGS,977198104,1322752932,1748805000,1755707480,1549770075,1590671901,2341966500,2646508130,2643721320,2915303580,3430013430,5590903500,6199690860,8959016850,9671033420,10946883400,9927088490,8071314950,7945551280,9443607350,9081672340,8885445850,9886513420,9305900680,3183544600,4053723700,3903194680,3874363000,4351106760,4062005060,5584000000,6772000000,7060000000,7424000000,6871000000,8677000000
3,Gross Profit,846518656,1234195614,1568650000,1514676813,1394041425,1435721287,1900882350,2251279520,2258008740,2367026850,2934272440,4661813520,5237890380,5357521890,6033881580,6698503600,6167621840,5689224950,5449242160,6350055510,5923620420,5473928470,5778326960,5801443520,1864712000,2337796500,2192806000,2072603160,2444876280,2350676200,3549000000,4290000000,4458000000,4593000000,3735000000,5086000000
4,Gross Profit Ratio,0.4642,0.4827,0.4728,0.4631,0.4735,0.4744,0.4480,0.4597,0.4607,0.4481,0.4611,0.4547,0.4580,0.3742,0.3842,0.3796,0.3832,0.4134,0.4068,0.4021,0.3948,0.3812,0.3689,0.3840,0.3694,0.3658,0.3597,0.3485,0.3598,0.3666,0.3886,0.3878,0.3870,0.3822,0.3522,0.3695
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1083000000,906000000,980000000,787000000,983000000,1074000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491108080,1410702640,1606891440,1558580640,1615000000,2124000000,2178000000,2258000000,1939000000,2496000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491108080,1410702640,1606891440,1558580640,2698000000,3030000000,3158000000,3045000000,2922000000,3570000000
9,Other Expenses,689385500,975282588,1265366250,1253426866,1156434825,1345918665,1647652050,1906238670,1899206340,2002028970,2496381290,4007268720,4496928840,4523732080,4834984340,6023033690,4867770760,4437039640,4389933680,5141847900,7056366970,4465699570,10303150620,4735658600,1255673000,1540785350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
