,https://roic.ai/company/SFUN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,104124000,127049000,224490000,343826000,430258000,637379000,702882000,883549000,916391000,444296000,303016000,219711000,216152000
2,COGS,22162000,31347000,62011000,66571000,80863000,102488000,145739000,555389000,687184000,174599000,58570000,28260000,17609000
3,Gross Profit,81962000,95702000,162479000,277255000,349395000,534891000,557143000,328160000,229207000,269697000,244446000,191451000,198543000
4,Gross Profit Ratio,0.7872,0.7533,0.7238,0.8064,0.8121,0.8392,0.7927,0.3714,0.2501,0.6070,0.8067,0.8714,0.9185
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,19857000,22176000,41547000,70891000,70780000,83384000,100571000,125405000,151251000,135688000,138386000,99442000,104149000
7,Selling and Marketing Exp.,18708000,25186000,42512000,67207000,80056000,101935000,147874000,236603000,229817000,91250000,69532000,73662000,59226000
8,"Selling, General and Administrative Exp.",38565000,47362000,84059000,138098000,150836000,185319000,248445000,362008000,381068000,226938000,207918000,173104000,163375000
9,Other Expenses,- -,- -,- -,- -,-1298000,-4817000,-8040000,-4311000,-6884000,-2587000,-4710000,-7445000,1086000
10,Operating Expenses,38565000,47362000,84059000,138098000,149538000,180502000,240405000,357697000,374184000,224351000,203208000,165659000,164461000
11,COGS and Expenses,60727000,78709000,146070000,204669000,230401000,282990000,386144000,913086000,1061368000,398950000,261778000,193919000,182070000
12,Interest Income ,1221000,1205000,2390000,10483000,19406000,27803000,43857000,22221000,11367000,11322000,10302000,9038000,12472000
13,Interest Expense (Gain),- -,- -,- -,2746000,11630000,14675000,17308000,16519000,20791000,16153000,21174000,25402000,23879000
14,Depreciation and Amortization,1051000,1213000,2378000,4100000,6376000,9701000,11624000,14668000,25004000,27961000,26735000,25247000,- -
15,EBITDA,43237000,51666000,83708000,151088000,225721000,392766000,363758000,10186000,-98856000,87263000,-81448000,30856000,12947000
16,EBITDA ratio,0.4152,0.4067,0.3729,0.4394,0.5246,0.6162,0.5175,0.0115,-0.1079,0.1964,-0.2688,0.1404,0.0599
17,Operating Income,43397000,48340000,78420000,139157000,198559000,350358000,309533000,-34473000,-151446000,42192000,39803000,24865000,32663000
18,Operating Income ratio,0.4168,0.3805,0.3493,0.4047,0.4615,0.5497,0.4404,-0.0390,-0.1653,0.0950,0.1314,0.1132,0.1511
19,Total Other Income Expenses (Gains),-1245000,2071000,2950000,5057000,9150000,18085000,25293000,13435000,6795000,954000,-169158000,-57840000,-43597000
