,https://roic.ai/company/TANH,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,50518952,61220000,65493110,46814540,39902340,42297610,29561400,49230570,42283670
2,COGS,36516118,44060000,44852990,32082690,26879320,31741750,21532320,43253070,37807297
3,Gross Profit,14002834,17160000,20640120,14731850,13023020,10555860,8029080,5977500,4476373
4,Gross Profit Ratio,0.2772,0.2803,0.3151,0.3147,0.3264,0.2496,0.2716,0.1214,0.1059
5,Research and Development Exp.,174347,730000,745640,1084870,136630,627580,386630,327260,890316
6,General and Administrative Exp.,947632,4590000,2720730,-853619500,-746214890,-784834600,-315186720,4975330,955210
7,Selling and Marketing Exp.,1093606,- -,- -,859200000,750450000,790191000,320479000,- -,977201
8,"Selling, General and Administrative Exp.",2041238,4590000,2720730,5580500,4235110,5356400,5292280,4975330,1932411
9,Other Expenses,- -,2778,- -,2404,2876549,87082,1,-2,- -
10,Operating Expenses,2215585,5322778,3466370,6667774,7248289,6071062,5678911,5302588,2822727
11,COGS and Expenses,38731703,49390000,48319360,38748060,31251050,37725730,27211230,58139660,40630024
12,Interest Income ,84353,200303,162378,82712,678,18750,56894,53060,50732
13,Interest Expense (Gain),200495,-670000,-385200,412358000,480149000,551545000,626343000,-390200,300125
14,Depreciation and Amortization,505380,1027833,1506943,1441180,1364303,814943,1071462,904128,877916
15,EBITDA,12492327,11757833,17957273,2799953010,1853082553,2084130163,1660549232,-5479382,-5954034
16,EBITDA ratio,0.2473,0.1921,0.2742,59.8095,46.4404,49.2730,56.1729,-0.1113,-0.1408
17,Operating Income,11787249,11833351,17173742,10214442,6295491,4607448,2350169,-8909088,-10344960
18,Operating Income ratio,0.2333,0.1933,0.2622,0.2182,0.1578,0.1089,0.0795,-0.1810,-0.2447
19,Total Other Income Expenses (Gains),519886,76649,397628,-1061512,2037339,-131868,-322379,-386532,-288923
20,Income Before Tax,12307135,11910000,17571370,9152930,8332830,4475580,2027790,-9295620,-10633883
21,Income Before Tax Ratio,0.2436,0.1945,0.2683,0.1955,0.2088,0.1058,0.0686,-0.1888,-0.2515
22,Income Tax expense (Gain),1893470,1820000,2854490,2377715000,1367270000,1528003000,1031158000,363660,-611655
23,Net Income,9892982,9580000,13981040,8438830,4299250,3767220,1976770,-6356970,-6520420
24,Net Income ratio,0.1958,0.1565,0.2135,0.1803,0.1077,0.0891,0.0669,-0.1291,-0.1542
25,EPS,4.58,4.40,6.47,3.91,1.90,1.50,0.70,-2.20,-2.20
26,EPS Diluted,4.58,4.40,6.47,3.91,1.90,1.50,0.70,-2.20,-2.20
27,Weighted Average Shares Outstanding,2160000,2160000,2160000,2160000,2301918,2597191,2874557,2885324,2956624
28,Weighted Average Shares Outstanding Diluted,2160000,2160000,2160000,2160000,2301918,2597191,2874557,2885324,2956624
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1588084/000114420416097855/v436579_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420417023648/v464135_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420418027649/tv488623_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420419026664/tv521135_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,618002,1700000,415280,6273390,5942840,9717910,7748420,12440460,37119195
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,618002,1700000,415280,6273390,5942840,9717910,7748420,12440460,37119195
34,Net Receivables,38332323,30300000,43636550,40715710,40711580,44848320,32495360,39352410,34410597
35,Inventory,1629988,1300000,1339300,1097050,1075570,2572560,1957060,595630,671251
36,Other Current Assets,8392782,15500000,14358300,15597100,15926840,32106090,28113100,15773130,9699704
37,Total Current Assets,48973095,48800000,59749430,63683250,63656830,89244880,70313940,68161630,81900747
38,PP&E,12919403,12600000,12802930,11118640,8677980,3374880,3240620,2700030,2477912
39,Goodwill,- -,- -,- -,- -,- -,9001920,8861360,- -,- -
40,Intangible Assets,1870080,2600000,2422420,114420,-69230,15668100,14964830,12671220,664033
41,Intangible Assets,1870080,2600000,2422420,114420,-69230,24670020,23826190,12671220,664033
42,Investments,- -,- -,- -,- -,- -,- -,18156000,23883983,25497316
43,Tax Assets,- -,- -,- -,- -,- -,2086090,2053510,1784880,- -
44,Other Non-Current Assets,- -,4100000,3733810,12158680,22037090,19111860,16603750,6249037,5755237
45,Total Non-Current Assets,14789483,19300000,18959160,23391740,30645840,49242850,63880070,47289150,34394498
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63762578,68100000,78708590,87074990,94302670,138487730,134194010,115450780,116295245
48,Accounts Payable,2952191,3200000,3741190,3072370,1947560,5335360,2524460,1650850,1543994
49,Short-Term Debt,9352936,13450924,9285300,8444680,6694652,12184419,13057644,7353928,8682687
50,Tax Payable,1311563,1839600,2272106,804270,720492,796182,344563,102704,571354
51,Deferred Revenue,1339962,- -,- -,- -,- -,- -,- -,- -,3183088
52,Other Current Liabilities,3055491,3549076,3205320,2468460,5454388,9269481,6572716,10128862,3394088
53,Total Current Liabilities,16700580,20200000,16231810,13985510,14096600,26789260,22154820,19133640,16803857
54,Long-Term Debt,4012004,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,26109000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2400000,-22953730,3444340,- -,10885550,9971600,6131090,- -
58,Total Non-Current Liabilities,4012004,2400000,3155270,3444340,- -,10885550,9971600,6131090,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20712584,22600000,19387080,17429850,14096600,37674810,32126420,25264730,16803857
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,50000,100000,20000,21600,24310,28700,28850,28850,35894
64,Retained Earnings,19897145,32300000,46312870,54751690,59050940,62818160,64794920,58437960,45480031
65,Other Comprehensive Income/Loss,5662185,7692770,8893057,6138335,989092,5360518,4395424,-1211667,4944436
66,Other Total Stockholders Equity,15562703,5423409,4095589,8733518,20141727,32605540,32848397,32930902,48392181
67,Total Stockholders Equity,41172033,45516179,59321516,69645143,80206069,100812918,102067591,90186045,98852542
68,Total Liabilities And Stockholders Equity,61884617,68116179,78708596,87074993,94302669,138487728,134194011,115450775,115656399
69,Minority Interest,1877961,-16179,-6,-3,1,2,-1,5,638846
70,Total Liabilities & Equity,63762578,68100000,78708590,87074990,94302670,138487730,134194010,115450780,116295245
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1588084/000114420416097855/v436579_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420417023648/v464135_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420418027649/tv488623_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420419026664/tv521135_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,9892982,9580000,13981040,8438830,4299250,3767220,1976770,-6356970,-6520420
74,Depreciation and Amortization,505380,1027833,1506943,1441180,1364303,814943,1071462,904128,877916
75,Deferred Income Tax,99986,-109900,329588,163987,-98473,- -,- -,-165500,-1799791
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,239103,-13145422,-12881744,-7202258,-15027111,-5047057,6137530,6070499,14230789
78,Accounts Receivable,9522994,-7856721,-13868300,-212550,-3192557,-1378315,10272905,-9879682,8024036
79,Inventory,-914594,270175,42444,20295,-97373,845496,-147485,242142,-125492
80,Accounts Payable,-3472078,140659,602059,-486409,-965208,-955969,-2621226,-751363,-206261
81,Other Working Capital,-74199,-156668,-638556,76546,244020,- -,-115771,6184836,-3792409
82,Other Non-Cash Items,377829,699536,-475465,1608793,2428979,2768929,5479118,14244755,7383066
83,Cash Provided by Operating Activities,11115280,-1947953,2460362,4450532,-7033052,2304035,14664880,14696912,14171560
84,CAPEX,-2034198,-1188019,-1594404,-242552,-10819,-82263,-561623,-92369,-144806
85,Acquisitions Net,- -,- -,- -,- -,- -,-4552240,- -,854567,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-17448000,-6707570,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1264412,4371587,2127567,-6911308,-1867155,1141251,11528,15058,21842
89,Cash Used for Investing Activites,-3298610,3957990,533163,-7153860,-1877974,-3493252,-17995510,-5930314,-122964
90,Debt Repayment,-22429155,-23124568,-20743131,-14614600,-11263160,-14618244,-9011577,-10555667,-11132214
91,Common Stock Issued,- -,- -,- -,5663122,7957100,5968208,- -,- -,9055232
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15112481,22129754,16515046,17794480,12362673,13593819,8201573,5095541,11017051
95,Cash Used/Provided by Financing Activities,-7316674,-994814,-4228085,8843002,9056613,4943783,-810004,-5460126,8940069
96,Effect of Forex Changes on Cash,8683,25834,-9224,-281560,-476134,243632,390992,-530288,1704662
97,Net Change In Cash,508679,1041057,-1243784,5858114,-330547,3998198,-3749642,2776184,24693327
98,Cash at the End of Period,618002,1659059,415275,6273389,5942842,9941040,9869793,12645977,37339304
99,Cash at the Beginning of Period,109323,618002,1659059,415275,6273389,5942842,13619435,9869793,12645977
100,Free Cash Flow,9081082,-3135972,865958,4207980,-7043871,2221772,14103257,14604543,14026754
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1588084/000114420416097855/v436579_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420417023648/v464135_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420418027649/tv488623_20f.htm,https://www.sec.gov/Archives/edgar/data/1588084/000114420419026664/tv521135_20f.htm,- -,- -
102,false,,,,,,,,,
