,https://roic.ai/company/TIMB,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,506839900,708226930,716818562,791414295,891262959,1083600608,2564632000,2918215000,10091668135,12440616148,13080965000,13105935000,14457450000,17085977000,18763947000,19921291000,19498165000,17138851000,15617413000,16233959000,16981329000,17377194000,17267812000,18058027000
2,COGS,85298920,357509788,263252699,406026287,486381887,405816472,1293070000,1377572000,5490959323,6731302273,7063797000,6723182000,7305767000,8561433000,9880984000,10822202000,10083920000,8306857000,7693406000,7740150000,7701418000,7433731000,7996615000,8598727000
3,Gross Profit,421540980,350717142,453565863,385388007,404881072,677784136,1271562000,1540643000,4600708813,5709313875,6017168000,6382753000,7151683000,8524544000,8882963000,9099089000,9414245000,8831994000,7924007000,8493809000,9279911000,9943463000,9271197000,9459300000
4,Gross Profit Ratio,0.8317,0.4952,0.6327,0.4870,0.4543,0.6255,0.4958,0.5279,0.4559,0.4589,0.4600,0.4870,0.4947,0.4989,0.4734,0.4568,0.4828,0.5153,0.5074,0.5232,0.5465,0.5722,0.5369,0.5238
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,182442000,185946000,- -,- -,1127426000,1070536000,825356000,643358000,717229000,831986000,927965000,876171000,799712000,841554000,918424000,959153000,939199000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,647277000,798106000,- -,- -,4098389000,4449972000,4146161000,4617044000,4774161000,4911522000,5022972000,4826895000,4719029000,4575177000,4970780000,4986289000,4443027000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,829719000,984052000,- -,- -,5225815000,5520508000,4971517000,5260402000,5491390000,5743508000,5950937000,5703066000,5518741000,5416731000,5889204000,5945442000,5382226000,- -
9,Other Expenses,207568760,309099590,439045032,266672031,287982056,367518725,- -,75759000,4735766435,5441981925,226981000,385220000,980032000,1196700000,1107670000,955934000,1011726000,1135652000,1063799000,1181672000,1014879000,-471178000,1115272000,5691696000
10,Operating Expenses,207568760,309099590,439045032,266672031,287982056,367518725,829719000,1059811000,4735766435,5441981925,5452796000,5905728000,5951549000,6457102000,6599060000,6699442000,6962663000,6838718000,6582540000,6598403000,6904083000,5474264000,6497498000,5691696000
11,COGS and Expenses,292867680,666609379,702297731,672698319,774363944,773335196,2122789000,2437383000,10226725758,12173284198,12516593000,12628910000,13257316000,15018535000,16480044000,17521644000,17046583000,15145575000,14275946000,14338553000,14605501000,12907995000,14494113000,14290423000
12,Interest Income ,- -,- -,- -,- -,- -,- -,133613000,158546000,- -,- -,173313000,137336000,190717000,254279000,221863000,400792000,641881000,782493000,675942000,462753000,199006000,161521000,164077000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,68801000,83634000,- -,- -,445564000,340681000,330042000,319810000,264757000,497965000,705814000,796432000,726417000,560485000,421749000,991198000,926249000,- -
14,Depreciation and Amortization,98468300,120251068,156073095,174729852,201762660,210943434,447461000,532357000,2279367408,2323481888,2408545000,2582807000,2993461000,2569767000,2688588000,2767870000,3052579000,3361971000,3785172000,4013671000,3954321000,5128981000,5527012000,5691696000
15,EBITDA,263629240,137148136,165120585,233946180,287008606,373508338,890234000,1145529000,2146830400,2566394555,2970007000,3143897000,4278180000,4718161000,5106825000,5401988000,5951310000,7138242000,5524905000,6009672000,6256260000,10656246000,8445665000,8794921000
16,EBITDA ratio,0.5201,0.1936,0.2304,0.2956,0.3220,0.3447,0.3471,0.3925,0.2127,0.2063,0.2270,0.2399,0.2959,0.2761,0.2722,0.2712,0.3052,0.4165,0.3538,0.3702,0.3684,0.6132,0.4891,0.4870
17,Operating Income,213972220,41617552,14520831,118718298,116899016,141497392,448677000,553262000,-135057623,267331950,490873000,477025000,1200134000,2067442000,2321445000,2438873000,2485689000,3244217000,1424196000,1933352000,2417523000,4514857000,2803026000,- -
18,Operating Income ratio,0.4222,0.0588,0.0203,0.1500,0.1312,0.1306,0.1749,0.1896,-0.0134,0.0215,0.0375,0.0364,0.0830,0.1210,0.1237,0.1224,0.1275,0.1893,0.0912,0.1191,0.1424,0.2598,0.1623,- -
19,Total Other Income Expenses (Gains),-48811280,-24720484,-5473341,-59501971,-31653070,21067511,-4592000,-2260000,2520615,-24419283,-374975000,-256616000,-245457000,-238858000,-167965000,-302720000,-292772000,-264378000,-410880000,-497836000,-537333000,21210000,-810622000,-664379000
20,Income Before Tax,165160940,16897068,9047490,59216328,85245945,162564904,444085000,551002000,-132537008,242912667,115898000,220409000,954677000,1828584000,2153480000,2136153000,2192917000,2979839000,1013316000,1435516000,1880190000,4536067000,1992404000,3103225000
