,https://roic.ai/company/XM,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,190603000,289903000,401908000,591155000,763522000,1075664000
2,COGS,60980000,79084000,102714000,185491000,198487000,285272000
3,Gross Profit,129623000,210819000,299194000,405664000,565035000,790392000
4,Gross Profit Ratio,0.6801,0.7272,0.7444,0.6862,0.7400,0.7348
5,Research and Development Exp.,22303000,40680000,65925000,242124000,212795000,324158000
6,General and Administrative Exp.,21909000,26522000,74248000,717363000,175499000,876734000
7,Selling and Marketing Exp.,95919000,140524000,192142000,440325000,431794000,643333000
8,"Selling, General and Administrative Exp.",117828000,167046000,266390000,1157688000,607293000,1520067000
9,Other Expenses,- -,- -,102685000,185188000,- -,- -
10,Operating Expenses,140131000,207726000,435000000,1585000000,820088000,1844225000
11,COGS and Expenses,201111000,286810000,435029000,1585303000,1018575000,2129497000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,8972000,10787000,14787000,19715000,26457000,46009000
15,EBITDA,-2037000,15250000,-18165000,-974919000,-229568000,-1001172000
16,EBITDA ratio,-0.0107,0.0526,-0.0452,-1.6492,-0.3007,-0.9307
17,Operating Income,-10508000,3093000,-33121000,-994148000,-255053000,-1053833000
18,Operating Income ratio,-0.0551,0.0107,-0.0824,-1.6817,-0.3340,-0.9797
19,Total Other Income Expenses (Gains),-501000,1370000,169000,-486000,-972000,6652000
20,Income Before Tax,-11009000,4463000,-32952000,-994634000,-256025000,-1047181000
21,Income Before Tax Ratio,-0.0578,0.0154,-0.0820,-1.6825,-0.3353,-0.9735
22,Income Tax expense (Gain),1025000,1907000,4356000,12999000,16477000,11965000
23,Net Income,-12034000,2556000,-37308000,-1007633000,-272502000,-1059146000
24,Net Income ratio,-0.0631,0.0088,-0.0928,-1.7045,-0.3569,-0.9846
25,EPS,-0.02,0.01,-0.07,-1.47,-0.54,-2.10
26,EPS Diluted,-0.02,0.01,-0.07,-1.47,-0.54,-2.10
27,Weighted Average Shares Outstanding,506006602,506006602,506006602,506006602,503384662,503384662
28,Weighted Average Shares Outstanding Diluted,506006602,506006602,506006602,506006602,503384662,503384662
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747748/000162828021004280/0001628280-21-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1747748/000162828022004535/0001628280-22-004535-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,61860000,113435000,115443000,42467000,203891000,1014511000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61860000,113435000,115443000,42467000,203891000,1014511000
34,Net Receivables,60515000,81691000,139490000,193692000,296148000,461830000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,17730000,27598000,34278000,59258000,91559000,129342000
37,Total Current Assets,140105000,222724000,289211000,295417000,591598000,1605683000
38,PP&E,19901000,28027000,38182000,235905000,311492000,419647000
39,Goodwill,645000,645000,6709000,6709000,6709000,1118768000
40,Intangible Assets,1439000,1212000,6892000,5414000,3959000,264500000
41,Intangible Assets,2084000,1857000,13601000,12123000,10668000,1383268000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,3313000,92000,96000
44,Other Non-Current Assets,18610000,27729000,37519000,56526000,125205000,173529000
45,Total Non-Current Assets,40595000,57613000,89302000,307867000,447457000,1976540000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,180700000,280337000,378513000,603284000,1039055000,3582223000
