,https://roic.ai/company/OVTZ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,69881,64990,69045,559173,124006,156976,3920,4700,18800,- -,- -,24000,48000,39070,36000,47027,87178,66000,5500,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,395743,66770,88377,2885,3379,5000,- -,- -,750,10050,5860,5400,6620,8411,5100,425,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,64990,- -,163430,57236,68599,1035,1321,13800,- -,- -,23250,37950,33210,30600,40407,78767,60900,5075,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,0.2923,0.4616,0.4370,0.2640,0.2811,0.7340,- -,- -,0.9688,0.7906,0.8500,0.8500,0.8592,0.9035,0.9227,0.9227,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,69045,413557,999058,277149,66350,276302,168571,135897,197452,80150,35965,3300,75000,45000,25000,146985,138431,240370,81076,4763,- -,254281,818269
6,General and Administrative Exp.,820000,489168,584909,1311856,1733407,1833440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178516,196621,551360,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,812963,250575,189029,188579,128905,- -,236662,212870,149623,178516,- -,- -,- -
8,"Selling, General and Administrative Exp.",820000,489168,584909,1311856,1733407,1833440,- -,- -,- -,- -,- -,- -,- -,812963,250575,189029,188579,128905,- -,236662,212870,149623,357032,196621,551360,430691
9,Other Expenses,140000,- -,- -,69045,149751,407880,1299252,747817,1127932,1049763,1185762,1614766,902151,- -,- -,- -,- -,- -,141560,- -,- -,- -,-178516,- -,- -,- -
10,Operating Expenses,960000,489168,584909,1449946,2296715,3240378,1576401,814167,1404234,1218334,1321659,1812218,982301,848928,253875,264029,233579,153905,288545,375093,453240,230699,183279,196621,805641,1248960
11,COGS and Expenses,960000,489168,584909,1449946,2692458,3307148,1664778,817052,1407613,1223334,1321659,1812218,983051,858978,259735,269429,240199,162316,293645,375518,453240,230699,183279,196621,805641,- -
12,Interest Income ,- -,- -,- -,- -,17491,4903,- -,102,208,- -,762,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,20031,12824,1847,197,- -,158,288,- -,- -,12783,147217,35926,32669,21455,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,10000,- -,- -,69045,149751,407880,439516,19391,3323,3323,3323,3323,3323,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-950000,-559050,-909859,-1588036,-2958639,-3352941,-1653591,-665197,-1398668,-954730,-1318336,-1808895,-912307,-811004,-89175,-148829,-192002,-57682,-227645,-365129,-453240,-230699,-183279,-196621,1161298,-1986665
16,EBITDA ratio,-Infinity,-8.0000,-14.0000,-23.0000,-5.2911,-27.0385,-10.5340,-169.6931,-297.5889,-50.7835,-Infinity,-Infinity,-38.0128,-16.8959,-2.2824,-4.1341,-4.0828,-0.6617,-3.4492,-66.3871,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
17,Operating Income,-960000,-419287,519919,-1380901,2133285,3183142,1507802,813132,1402913,1204534,1321659,1812218,959051,810978,220665,-233429,193172,75138,227645,370018,453240,-230699,-183279,-196621,-2772580,-1986665
18,Operating Income ratio,-Infinity,-6.0000,8.0000,-20.0000,3.8151,25.6693,9.6053,207.4316,298.4921,64.0710,Infinity,Infinity,39.9605,16.8954,5.6479,-6.4841,4.1077,0.8619,3.4492,67.2760,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),300000,-69881,-259960,-138090,-992596,-582582,-585305,28196,714,243481,71852,28183,43421,- -,137294,84600,-532391,-168746,-487959,-756602,-906480,- -,- -,3756,96,- -
20,Income Before Tax,-660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-339219,-93608,-260314,-386584,-453240,-230699,-183279,-192865,-2772484,-1986665
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7.2133,-1.0738,-3.9442,-70.2880,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-660000,-559050,-909859,-1657081,-3108390,-3760821,-2113138,-697412,-1403838,-958250,-1249045,-1784193,-915918,-811004,-89175,-161612,-339219,-93608,-260314,-386584,-453240,-230699,-183279,-192865,-2772484,-1986665
24,Net Income ratio,-Infinity,-8.0000,-14.0000,-24.0000,-5.5589,-30.3277,-13.4615,-177.9112,-298.6889,-50.9707,-Infinity,-Infinity,-38.1632,-16.8959,-2.2824,-4.4892,-7.2133,-1.0738,-3.9442,-70.2880,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.40,-0.21,-0.29,-0.41,-0.90,-0.60,-0.30,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.07,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,-0.01,-0.01,-0.00,-0.00,-0.04,-0.02
