,https://roic.ai/company/CPSH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1191555,1390000,2010000,4590000,5530000,- -,5050000,4460000,4490000,3990000,6840000,7155850,11910000,12450000,14810000,12980000,21400000,19807152,14050000,21410000,23137590,21761680,15351053,14577180,21580900,21468410,20872611,22449065
2,COGS,1767300,1640000,1690000,2480000,3040000,- -,4330000,3900000,3630000,3150000,4580000,5403718,8630000,9350000,10830000,10730000,17380000,16851237,13800000,16050000,17666780,17096690,13195501,12919070,18668050,18928170,16702848,17659347
3,Gross Profit,-575745,-250000,320000,2110000,2490000,- -,720000,560000,860000,840000,2260000,1752132,3280000,3100000,3980000,2250000,4020000,2955915,250000,5360000,5470810,4664990,2155552,1658110,2912850,2540240,4169763,4789718
4,Gross Profit Ratio,-0.4832,-0.1799,0.1592,0.4597,0.4503,- -,0.1426,0.1256,0.1915,0.2105,0.3304,0.2449,0.2754,0.2490,0.2687,0.1733,0.1879,0.1492,0.0178,0.2504,0.2364,0.2144,0.1404,0.1137,0.1350,0.1183,0.1998,0.2134
5,Research and Development Exp.,36065,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,834337,590000,520000,520000,690000,- -,1000000,1040000,1280000,830000,1200000,- -,1750000,2150000,2600000,2100000,2960000,- -,3060000,3900000,4254980,4045830,- -,3609330,3813420,3137440,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",834337,590000,520000,520000,690000,- -,1000000,1040000,1280000,830000,1200000,- -,1750000,2150000,2600000,2100000,2960000,- -,3060000,3900000,4254980,4045830,- -,3609330,3813420,3137440,- -,4276751
9,Other Expenses,432850,-10000,-10000,-10000,-10000,- -,- -,- -,330000,- -,- -,1430161,10000,- -,- -,- -,- -,3291745,-10000,- -,- -,- -,3336631,-10,- -,- -,3255527,- -
10,Operating Expenses,1303252,580000,510000,510000,680000,- -,1000000,1040000,1610000,830000,1200000,1430161,1760000,2150000,2600000,2100000,2960000,3291745,3050000,3900000,4254980,4045830,3336631,3609320,3813420,3137440,3255527,4276751
11,COGS and Expenses,3070552,2220000,2200000,2990000,3720000,- -,5330000,4940000,5240000,3980000,5780000,6833879,10390000,11500000,13430000,12830000,20340000,20142982,16850000,19950000,21921760,21142520,16532132,16528390,22481470,22065610,19958375,21936098
12,Interest Income ,1556,1289,- -,- -,41455,- -,63148,11644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5694,51318,11476,- -,- -,- -,- -
13,Interest Expense (Gain),89998,-220000,-250000,-230000,-90000,- -,50000,14056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32671,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,149037,116048,113360,152494,182834,- -,314709,351715,371097,400579,296186,304824,395028,488949,599206,724308,748859,751411,723092,615348,576745,545673,550761,566787,568164,525783,530420,- -
15,EBITDA,-1677708,-1213952,-546640,1302494,1892834,- -,164709,13927715,-368903,380579,1336186,601924,-285824972,-56961051,1949206,834308,312431859,415581,-1306496908,2048055,1797663,1170525,-579000,-1372945,-353387,-106957,1429937,508899
16,EBITDA ratio,-1.4080,-0.8733,-0.2720,0.2838,0.3423,- -,0.0326,3.1228,-0.0822,0.0954,0.1953,0.0841,-23.9987,-4.5752,0.1316,0.0643,14.5996,0.0210,-92.9891,0.0957,0.0777,0.0538,-0.0377,-0.0942,-0.0164,-0.0050,0.0685,0.0227
17,Operating Income,-1878997,-833699,-194488,1596411,1803285,- -,-286125,-472655,-747495,18507,1067986,321971,1520219,950307,1384379,149098,1053586,-335830,-2799140,1459489,1215833,619157,-1181079,-1951210,-900563,-597199,914236,512967
18,Operating Income ratio,-1.5769,-0.5998,-0.0968,0.3478,0.3261,- -,-0.0567,-0.1060,-0.1665,0.0046,0.1561,0.0450,0.1276,0.0763,0.0935,0.0115,0.0492,-0.0170,-0.1992,0.0682,0.0525,0.0285,-0.0769,-0.1339,-0.0417,-0.0278,0.0438,0.0229
