,https://roic.ai/company/CLW,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1106681000,1173326000,1255309000,1250069000,1372965000,1927973000,1874304000,1889830000,1967139000,1752401000,1734763000,1730408000,1724218000,1761500000,1868600000,1772600000
2,COGS,977901000,1033099000,1179397000,1052151000,1173804000,1702530000,1607872000,1671371000,1708840000,1512849000,1495627000,1529621000,1538012000,1597000000,1574400000,1590000000
3,Gross Profit,128780000,140227000,75912000,197918000,199161000,225443000,266432000,218459000,258299000,239552000,239136000,200787000,186206000,164500000,294200000,182600000
4,Gross Profit Ratio,0.1164,0.1195,0.0605,0.1583,0.1451,0.1169,0.1421,0.1156,0.1313,0.1367,0.1378,0.1160,0.1080,0.0934,0.1574,0.1030
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,47428000,71125000,100394000,109998000,121045000,119131000,130102000,117149000,129574000,128459000,112988000,113100000,124900000,114000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,47428000,71125000,100394000,109998000,121045000,119131000,130102000,117149000,129574000,128459000,112988000,113100000,124900000,114000000
9,Other Expenses,90570000,87452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,2500000,-1800000
10,Operating Expenses,90570000,87452000,47428000,71125000,100394000,109998000,121045000,119131000,130102000,117149000,129574000,128459000,112988000,116200000,127400000,112200000
11,COGS and Expenses,1068471000,1120551000,1226825000,1123276000,1274198000,1812528000,1728917000,1790502000,1838942000,1629998000,1625201000,1658080000,1651000000,1713200000,1701800000,1702200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000
13,Interest Expense (Gain),13000000,13000000,- -,- -,- -,44809000,33796000,44036000,39150000,31182000,30300000,31374000,30620000,44900000,44400000,35200000
14,Depreciation and Amortization,54290000,51325000,46954000,47418000,47728000,76933000,79333000,90272000,90145000,84732000,91090000,104990000,101953000,115600000,111000000,105000000
15,EBITDA,100976000,104100000,62291000,323103000,123924000,192662000,224720000,172542000,145536000,208402000,202056000,177318000,-889000,152600000,253600000,104400000
16,EBITDA ratio,0.0912,0.0887,0.0496,0.2585,0.0903,0.0999,0.1199,0.0913,0.0740,0.1189,0.1165,0.1025,-0.0005,0.0866,0.1357,0.0589
17,Operating Income,38210000,52775000,28484000,297440000,98767000,115445000,145387000,99328000,79811000,123670000,111317000,72328000,-97909000,45400000,158100000,12000000
18,Operating Income ratio,0.0345,0.0450,0.0227,0.2379,0.0719,0.0599,0.0776,0.0526,0.0406,0.0706,0.0642,0.0418,-0.0568,0.0258,0.0846,0.0068
19,Total Other Income Expenses (Gains),-4524000,-13000000,-13147000,-21755000,-22571000,-44525000,-33796000,-61094000,-63570000,-31182000,-30651000,-31374000,-35553000,-53300000,-59900000,-47700000
20,Income Before Tax,33686000,39775000,15337000,275685000,76196000,70920000,111591000,38234000,16241000,92488000,80666000,40954000,-133462000,-7900000,98200000,-35700000
21,Income Before Tax Ratio,0.0304,0.0339,0.0122,0.2205,0.0555,0.0368,0.0595,0.0202,0.0083,0.0528,0.0465,0.0237,-0.0774,-0.0045,0.0526,-0.0201
22,Income Tax expense (Gain),12561000,14209000,5594000,93221000,2396000,31246000,47460000,-68721000,18556000,36505000,31112000,-56385000,10305000,-2300000,21100000,-7700000
23,Net Income,21125000,25566000,9743000,182464000,73800000,39674000,64131000,106955000,-2315000,55983000,49554000,97339000,-143767000,-5600000,77100000,-28100000
24,Net Income ratio,0.0191,0.0218,0.0078,0.1460,0.0538,0.0206,0.0342,0.0566,-0.0012,0.0319,0.0286,0.0563,-0.0834,-0.0032,0.0413,-0.0159
25,EPS,0.93,1.13,0.43,8.03,3.21,1.73,2.75,4.84,-0.11,2.98,2.91,5.91,-8.72,-0.34,4.65,-1.67
26,EPS Diluted,0.93,1.13,0.43,7.75,3.12,1.66,2.72,4.80,-0.11,2.97,2.90,5.88,-8.72,-0.34,4.61,-1.67
27,Weighted Average Shares Outstanding,22710000,22710000,22710000,22720000,22948000,22914000,23299000,22081000,20130000,18762000,17001000,16464000,16487000,16533000,16569000,16767000
28,Weighted Average Shares Outstanding Diluted,22710000,22710000,22710000,23540000,23670000,23952000,23614000,22264000,20130000,18820000,17106000,16556000,16487000,16533000,16724000,16767000
