,https://roic.ai/company/YETI,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,89923000,147729000,468946000,818914000,639239000,778833000,913734000,- -,1091721000
2,COGS,45541000,80543000,250245000,404953000,344638000,395705000,438420000,- -,462918000
3,Gross Profit,44382000,67186000,218701000,413961000,294601000,383128000,475314000,- -,628803000
4,Gross Profit Ratio,0.4936,0.4548,0.4664,0.5055,0.4609,0.4919,0.5202,- -,0.5760
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,280972000,385543000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,280972000,385543000,- -,- -
9,Other Expenses,29210000,41519000,90791000,325754000,230634000,0,-0,- -,414570000
10,Operating Expenses,29210000,41519000,90791000,325754000,230634000,280972000,385543000,- -,414570000
11,COGS and Expenses,74751000,122062000,341036000,730707000,575272000,676677000,823963000,- -,877488000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3884000,3522000,6075000,21680000,32607000,31280000,21779000,- -,9155000
14,Depreciation and Amortization,5713000,6803000,7531000,11670000,20769000,24777000,28959000,- -,30535000
15,EBITDA,20664000,32249000,128967000,97824000,85435000,125672000,117996000,- -,244891000
16,EBITDA ratio,0.2298,0.2183,0.2750,0.1195,0.1337,0.1614,0.1291,- -,0.2243
17,Operating Income,15172000,25667000,127910000,88207000,63967000,102156000,89771000,- -,214233000
18,Operating Income ratio,0.1687,0.1737,0.2728,0.1077,0.1001,0.1312,0.0982,- -,0.1962
19,Total Other Income Expenses (Gains),-4105000,-3743000,-12549000,-22922000,-31908000,-32541000,-22513000,- -,-9032000
20,Income Before Tax,11067000,21924000,115361000,65285000,32059000,69615000,67258000,- -,205201000
21,Income Before Tax Ratio,0.1231,0.1484,0.2460,0.0797,0.0502,0.0894,0.0736,- -,0.1880
22,Income Tax expense (Gain),3806000,7714000,41139000,16497000,16658000,11852000,16824000,- -,49400000
23,Net Income,7261000,14210000,74222000,47977000,15401000,57763000,50434000,- -,155801000
24,Net Income ratio,0.0807,0.0962,0.1583,0.0586,0.0241,0.0742,0.0552,- -,0.1427
25,EPS,0.09,0.17,0.89,0.57,0.18,0.71,0.59,- -,1.79
26,EPS Diluted,0.09,0.17,0.89,0.57,0.18,0.69,0.58,- -,1.77
27,Weighted Average Shares Outstanding,83647425,83647425,83647425,83647425,83647425,81777000,85088000,- -,86978000
28,Weighted Average Shares Outstanding Diluted,83647425,83647425,83647425,83647425,83647425,83519000,86347000,- -,87847000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670592/000155837019002297/0001558370-19-002297-index.html,https://www.sec.gov/Archives/edgar/data/1670592/000162828020001627/0001628280-20-001627-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1670592/000167059221000004/0001670592-21-000004-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,8887000,40253000,21291000,53650000,80051000,72515000,- -,253283000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,8887000,40253000,21291000,53650000,80051000,72515000,- -,253283000
34,Net Receivables,- -,16861000,63985000,37204000,67152000,59328000,82688000,- -,65417000
35,Inventory,- -,17698000,88310000,246119000,175098000,145423000,185700000,- -,140111000
36,Other Current Assets,- -,11721000,23496000,26396000,7134000,12211000,19644000,- -,17686000
37,Total Current Assets,- -,55167000,216044000,331010000,303034000,297013000,360547000,- -,476497000
38,PP&E,- -,9081000,14834000,47090000,73783000,74097000,120378000,- -,112165000
39,Goodwill,- -,50683000,50683000,50683000,54293000,54293000,54293000,- -,54293000
40,Intangible Assets,- -,65478000,63096000,87781000,74302000,80019000,90850000,- -,92078000
41,Intangible Assets,- -,116161000,113779000,138464000,128595000,134312000,145143000,- -,146371000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,13377000,10004000,- -,- -,- -,1062000
44,Other Non-Current Assets,- -,1099000,1381000,6166000,1011000,8791000,3471000,- -,972000
45,Total Non-Current Assets,- -,126341000,129994000,205097000,213393000,217200000,268992000,- -,260570000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,181508000,346038000,536107000,516427000,514213000,629539000,- -,737067000
48,Accounts Payable,- -,12852000,24925000,19379000,40342000,68737000,83823000,- -,123621000
49,Short-Term Debt,- -,1957000,1957000,45550000,47050000,43638000,22953000,- -,30944000
50,Tax Payable,- -,595000,13889000,25083000,12280000,6390000,3329000,- -,18316000
51,Deferred Revenue,- -,- -,- -,- -,- -,7777000,1082000,- -,11074000
52,Other Current Liabilities,- -,6995000,54217000,72936000,64506000,67186000,62454000,- -,122120000
53,Total Current Liabilities,- -,21804000,81099000,137865000,151898000,187338000,170312000,- -,287759000
54,Long-Term Debt,- -,26676000,59719000,491688000,428632000,284376000,281715000,- -,111017000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4694000,4091000,- -,- -,7777000,- -,- -,- -
57,Other Non-Current Liabilities,- -,3782000,211000,1655000,12128000,5751000,55507000,- -,49873000
58,Total Non-Current Liabilities,- -,35152000,64021000,493343000,440760000,297904000,337222000,- -,160890000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,50153000,- -,44990000
61,Total Liabilities,- -,56956000,145120000,631208000,592658000,485242000,507534000,- -,448649000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2002000,2016000,814000,815000,842000,868000,- -,871000
64,Retained Earnings,- -,23831000,98053000,-309575000,-296184000,-240104000,-189545000,- -,-33744000
65,Other Comprehensive Income/Loss,- -,-4134000,-7237000,- -,43000,-94000,4000,- -,-387000
66,Other Total Stockholders Equity,- -,102853000,108086000,211474000,219095000,268327000,310678000,- -,321678000
67,Total Stockholders Equity,- -,124552000,200918000,-97287000,-76231000,28971000,122005000,- -,288418000
68,Total Liabilities And Stockholders Equity,- -,181508000,346038000,533921000,516427000,514213000,629539000,- -,737067000
69,Minority Interest,- -,- -,- -,2186000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,181508000,346038000,536107000,516427000,514213000,629539000,- -,737067000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670592/000155837019002297/0001558370-19-002297-index.html,https://www.sec.gov/Archives/edgar/data/1670592/000162828020001627/0001628280-20-001627-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1670592/000167059221000004/0001670592-21-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,7261000,14210000,74222000,47977000,15401000,57763000,50434000,- -,155801000
74,Depreciation and Amortization,5713000,6803000,7531000,11670000,20769000,24777000,28959000,- -,30535000
75,Deferred Income Tax,1467000,2131000,-1664000,-15800000,8500000,2226000,15615000,- -,-3827000
76,Stock Based Compensation,125000,233000,624000,118415000,13393000,13247000,52332000,- -,9009000
77,Change in Working Capital,-2690000,33172000,101582000,58200000,-42009000,-41461000,80560000,- -,-1497000
78,Accounts Receivable,-4596000,-7469000,-47124000,8828000,-29909000,7675000,-19940000,- -,16353000
79,Inventory,-1928000,-9478000,-70612000,-150646000,71040000,29583000,-40541000,- -,46052000
80,Accounts Payable,845000,9279000,36001000,7889000,27992000,43740000,6614000,- -,89125000
81,Other Working Capital,191000,33363000,134945000,193145000,151136000,109675000,190235000,- -,188738000
82,Other Non-Cash Items,261000,-50656000,-173670000,-191551000,131697000,119516000,-141007000,- -,176406000
83,Cash Provided by Operating Activities,12137000,5893000,8625000,28911000,147751000,176068000,86893000,- -,366427000
84,CAPEX,-4711000,-4095000,-10902000,-60296000,-42197000,-20860000,-32077000,- -,-22944000
85,Acquisitions Net,- -,- -,- -,4950000,-2867000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-17000,-271000,-2046000,-25246000,6342000,-8862000,-16614000,- -,-7378000
89,Cash Used for Investing Activites,-4711000,-4095000,-10902000,-55884000,-38722000,-31722000,-48691000,- -,-22944000
90,Debt Repayment,-9200000,-1468000,-1957000,-84451000,-65550000,-151788000,-34875000,- -,-215185000
91,Common Stock Issued,- -,621000,885000,708000,- -,38083000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,36116000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-453908000,-2811000,- -,- -,- -,- -
94,Other Financing Activites,- -,-294000,34715000,545662000,-3876000,-40401000,-10812000,- -,51994000
95,Cash Used/Provided by Financing Activities,-9200000,-1141000,33643000,8011000,-72237000,-117990000,-45687000,- -,-163191000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1000,45000,-51000,- -,476000
97,Net Change In Cash,-1774000,657000,31366000,-18962000,32359000,26401000,-7536000,- -,180768000
98,Cash at the End of Period,8230000,8887000,40253000,21291000,53650000,80051000,72515000,- -,253283000
99,Cash at the Beginning of Period,10004000,8230000,8887000,40253000,21291000,53650000,80051000,- -,72515000
100,Free Cash Flow,7426000,1798000,-2277000,-31385000,105554000,155208000,54816000,- -,343483000
