,https://roic.ai/company/APRN,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,77806000,340803000,795416000,881191000,667600000,454868000,460608000,470377000
2,COGS,72223000,263271000,532682000,627964000,433496000,279135000,282924000,301763000
3,Gross Profit,5583000,77532000,262734000,253227000,234104000,175733000,177684000,168614000
4,Gross Profit Ratio,0.0718,0.2275,0.3303,0.2874,0.3507,0.3863,0.3858,0.3585
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21811000,70151000,165179000,247907000,194340000,144925000,137244000,145442000
7,Selling and Marketing Exp.,13960000,51362000,144141000,154529000,117455000,48133000,49934000,72086000
8,"Selling, General and Administrative Exp.",35771000,121513000,309320000,402436000,311795000,193058000,187178000,217528000
9,Other Expenses,611000,2917000,8217000,39551000,36687000,34771000,29070000,22203000
10,Operating Expenses,36382000,124430000,317537000,441987000,348482000,227829000,216248000,239731000
11,COGS and Expenses,108605000,387701000,850219000,1069951000,781978000,506964000,499172000,541494000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,7683000,- -,- -,- -
14,Depreciation and Amortization,611000,2917000,8217000,26838000,34517000,31200000,24503000,22203000
15,EBITDA,-30192000,-43987000,-46561000,-183290000,-79861000,-29839000,-21609000,-66155000
16,EBITDA ratio,-0.3880,-0.1291,-0.0585,-0.2080,-0.1196,-0.0656,-0.0469,-0.1406
17,Operating Income,-30799000,-46898000,-54803000,-188760000,-114378000,-52096000,-38564000,-71117000
18,Operating Income ratio,-0.3958,-0.1376,-0.0689,-0.2142,-0.1713,-0.1145,-0.0837,-0.1512
19,Total Other Income Expenses (Gains),-4000,-6000,25000,-21368000,-7683000,-8943000,-7548000,-17241000
20,Income Before Tax,-30803000,-46904000,-54778000,-210128000,-122061000,-61039000,-46112000,-88358000
21,Income Before Tax Ratio,-0.3959,-0.1376,-0.0689,-0.2385,-0.1828,-0.1342,-0.1001,-0.1878
22,Income Tax expense (Gain),- -,61000,108000,15000,88000,42000,42000,23000
