,https://roic.ai/company/GEG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2200000,13400000,68727000,465258000,364832000,267955000,290791000,383635000,412010000,290301000,200877000,191698000,183304000,155546000,15050000,121000,36396000,4505000,- -,4927000,5935000,51180000,64098000,60853000
2,COGS,400000,2500000,9879000,87770000,71642000,75959000,81066000,119997000,129897000,126166000,89403000,74900000,72304000,63363000,- -,16281000,- -,- -,- -,4779000,8581000,42297000,52729000,56240000
3,Gross Profit,1800000,10900000,58848000,377488000,293190000,191996000,209725000,263638000,282113000,164135000,111474000,116798000,111000000,92183000,15050000,-16160000,- -,- -,- -,148000,-2646000,8883000,11369000,4613000
4,Gross Profit Ratio,0.8182,0.8134,0.8563,0.8114,0.8036,0.7165,0.7212,0.6872,0.6847,0.5654,0.5549,0.6093,0.6056,0.5926,1.0000,-133.5537,- -,- -,- -,0.0300,-0.4458,0.1736,0.1774,0.0758
5,Research and Development Exp.,5700000,13100000,37965000,135768000,135136000,115119000,93260000,94986000,88083000,71580000,50759000,46422000,41045000,41617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32777000,29107000,26102000,20740000,21451000,9975000,11029000,9835000,4413000,6699000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42474000,43096000,46529000,614000,109000,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6900000,16200000,56178000,218354000,232382000,165878000,134270000,149207000,194277000,174216000,112128000,75251000,72203000,72631000,21354000,21560000,9975000,11029000,9835000,4413000,6699000,9504000,6465000,5892000
9,Other Expenses,700000,2000000,225348000,636282000,1136109000,10135000,269000,2788000,-5242000,1567000,5106000,59573000,- -,- -,- -,- -,23008000,31069000,- -,340000,1124000,3683000,4237000,2458000
