,https://roic.ai/company/CSIQ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,4042000,4113175,9684820,18323800,68212256,302797671,705006356,630961165,1495509056,1898922106,1294829413,1654356064,2960626610,3467626000,2853078000,3390393000,3744512000,3200583000,3476495000,5277169000
2,COGS,2628000,2372314,6465191,11210878,55871959,279022155,633998620,552856159,1266737444,1716640492,1204467983,1378661093,2379633234,2890856000,2435890000,2752795000,2969430000,2482086000,2786581000,4367857000
3,Gross Profit,1414000,1740861,3219629,7112922,12340297,23775516,71007736,78105006,228771612,182281614,90361430,275694971,580993376,576770000,417188000,637598000,775082000,718497000,689914000,909312000
4,Gross Profit Ratio,0.3498,0.4232,0.3324,0.3882,0.1809,0.0785,0.1007,0.1238,0.1530,0.0960,0.0698,0.1666,0.1962,0.1663,0.1462,0.1881,0.2070,0.2245,0.1985,0.1723
5,Research and Development Exp.,- -,19780,40623,16381,397859,997832,1824753,3180372,6843216,19838547,12998122,11684993,12056951,17056000,17407000,28777000,44193000,47045000,45167000,58407000
6,General and Administrative Exp.,324000,- -,- -,- -,- -,- -,34510263,46323959,54519646,86268786,128826340,44767586,76826038,162633000,203789000,230998000,245376000,242783000,225597000,308942000
7,Selling and Marketing Exp.,81000,- -,- -,- -,- -,- -,10607562,22088657,47109261,69341229,91052729,88426136,125796632,149710000,145367000,156032000,165402000,180326000,224243000,398650000
8,"Selling, General and Administrative Exp.",405000,1077814,1338464,1865437,10832598,24734731,45117825,68412616,101628907,155610015,219879069,133193722,202622670,312343000,349156000,387030000,410778000,423109000,449840000,707592000
9,Other Expenses,88000,- -,- -,- -,- -,213979640,- -,- -,- -,- -,- -,- -,- -,- -,-2734000,-6473000,-11013000,-10097000,-24245000,-47068000
10,Operating Expenses,493000,1097594,1379087,1881818,11230457,239712203,46942578,71592988,108472123,175448562,232877191,144878715,214679621,329399000,363829000,409334000,443958000,460057000,470762000,718931000
11,COGS and Expenses,3121000,3469908,7844278,13092696,67102416,518734358,680941198,624449147,1375209567,1892089054,1437345174,1523539808,2594312855,3220255000,2799719000,3162129000,3413388000,2942143000,3257343000,5086788000
