,https://roic.ai/company/CDEV,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,131825000,90460000,98833000,429902000,891045000,944330000,580456000,1029892000
2,COGS,86800000,111257000,92418000,202964000,409775000,590219000,578562000,481437000
3,Gross Profit,45025000,-20797000,6415000,226938000,481270000,354111000,1894000,548455000
4,Gross Profit Ratio,0.3416,-0.2299,0.0649,0.5279,0.5401,0.3750,0.0033,0.5325
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,36466000,19938000,211460000,84141000,120928000,154672000,70924000,110454000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",36466000,19938000,211460000,84141000,120928000,154672000,70924000,110454000
9,Other Expenses,- -,2471000,844000,14373000,9968000,8708000,13786000,75023000
10,Operating Expenses,36466000,22409000,212304000,98514000,130896000,163380000,84710000,185477000
11,COGS and Expenses,123266000,133666000,304722000,301478000,540671000,753599000,663272000,666914000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2475000,6266000,6004000,5729000,24609000,53130000,63269000,56296000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,358554000,289122000
15,EBITDA,21789000,-32631000,-221207000,111227000,283948000,74725000,-346138000,484162000
16,EBITDA ratio,0.1653,-0.3607,-2.2382,0.2587,0.3187,0.0791,-0.5963,0.4701
17,Operating Income,-20437000,-55846000,-213731000,105280000,282715000,79429000,-780120000,370618000
18,Operating Income ratio,-0.1550,-0.6174,-2.1625,0.2449,0.3173,0.0841,-1.3440,0.3599
19,Total Other Income Expenses (Gains),39749000,16949000,-14384000,8205000,-10539000,-57218000,9797000,-231874000
20,Income Before Tax,19312000,-38897000,-228115000,113485000,272176000,22211000,-770323000,138744000
21,Income Before Tax Ratio,0.1465,-0.4300,-2.3081,0.2640,0.3055,0.0235,-1.3271,0.1347
22,Income Tax expense (Gain),1524000,-572000,-406000,29930000,59440000,5797000,-85124000,569000
23,Net Income,17790000,-38325000,-226805000,75568000,199899000,15798000,-682837000,138175000
24,Net Income ratio,0.1350,-0.4237,-2.2948,0.1758,0.2243,0.0167,-1.1764,0.1342
25,EPS,0.61,-2.96,-14.95,0.32,0.76,0.06,-2.46,0.49
26,EPS Diluted,0.61,-2.96,-14.95,0.32,0.75,0.06,-2.46,0.44
27,Weighted Average Shares Outstanding,29022665,12937500,201091646,165684000,263025000,263300000,277576016,281162000
28,Weighted Average Shares Outstanding Diluted,29022665,12937500,201091646,165684000,266532000,263300000,277576016,316209000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1658566/000162828017002841/0001628280-17-002841-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856618000008/0001658566-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856619000028/0001658566-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856620000040/0001658566-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1658566/000165856621000033/0001658566-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1658566/000165856622000022/0001658566-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,105500,134083000,117315000,18157000,10223000,5800000,9380000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,105500,134083000,117315000,18157000,10223000,5800000,9380000
34,Net Receivables,- -,- -,14540000,78786000,100623000,101912000,54557000,71295000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2703000,6484000,11409000,7994000,5229000,5860000
37,Total Current Assets,- -,105500,151326000,202585000,130189000,120129000,65586000,86535000
38,PP&E,- -,- -,2499271000,3386241000,4087282000,4527794000,3742672000,3702205000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,370691,1045000,27743000,42550000,40365000,19167000,15854000
45,Total Non-Current Assets,- -,370691,2500316000,3413984000,4129832000,4568159000,3761839000,3718059000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,476191,2651642000,3616569000,4260021000,4688288000,3827425000,3804594000
48,Accounts Payable,- -,- -,11210000,64004000,55984000,21484000,5052000,9736000
49,Short-Term Debt,- -,- -,- -,- -,- -,9232000,3155000,1413000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2589000,- -
52,Other Current Liabilities,- -,453191,80251000,135769000,191732000,223750000,121072000,156750000
53,Total Current Liabilities,- -,453191,91461000,199773000,247716000,254466000,131868000,167899000
54,Long-Term Debt,- -,- -,- -,390764000,691630000,1057389000,1068624000,841567000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,9899000,62167000,85504000,2589000,2589000
57,Other Non-Current Liabilities,- -,- -,7246000,12161000,14639000,20228000,20383000,41819000
58,Total Non-Current Liabilities,- -,- -,7246000,412824000,768436000,1163121000,1091596000,885975000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,12586000,3577000,17415000
61,Total Liabilities,- -,453191,98707000,612597000,1016152000,1417587000,1223464000,1053874000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1294,22000,28000,28000,28000,29000,29000
64,Retained Earnings,- -,-2000,-8929000,66639000,266538000,282336000,-400501000,-262326000
65,Other Comprehensive Income/Loss,- -,- -,-14827000,-173906000,-496900000,-931737000,- -,- -
66,Other Total Stockholders Equity,- -,23706,2378876000,2941464000,3330511000,3907493000,3004433000,- -
67,Total Stockholders Equity,- -,23000,2355142000,2834225000,3100177000,3258120000,2603961000,2750720000
68,Total Liabilities And Stockholders Equity,- -,476191,2453849000,3446822000,4116329000,4675707000,3827425000,3804594000
