,https://roic.ai/company/HGSH,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,12800000,- -,- -,28500000,44500000,53300000,17700000,63600000,116700000,75920880,38474100,57455460,64239070,39575150,10082477,58491165
2,COGS,- -,- -,- -,- -,9800000,- -,- -,15100000,23600000,31500000,9600000,37300000,77900000,39258560,28670780,45590350,48642390,30253510,9369820,46510001
3,Gross Profit,- -,- -,- -,- -,3000000,- -,- -,13400000,20900000,21800000,8100000,26300000,38800000,36662320,9803320,11865110,15596680,9321640,712657,11981164
4,Gross Profit Ratio,- -,- -,- -,- -,0.2344,- -,- -,0.4702,0.4697,0.4090,0.4576,0.4135,0.3325,0.4829,0.2548,0.2065,0.2428,0.2355,0.0707,0.2048
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,100000,- -,- -,- -,- -,- -,1618926,2126874,1372345,2049388,3087434,2573573,2304706,2466717,3177649,2530269,2661578,2324057,2691170
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,353907000,599143000,657089,657089,915217,923879,917344000,1118282,568081,843813,494646,580639,186886
8,"Selling, General and Administrative Exp.",- -,100000,- -,30026,1015634,1042946,495782,355525926,601269874,2029434,2706477,4002651,3497452,919648706,3584999,3745730,3374082,3156224,2904696,2878056
9,Other Expenses,- -,- -,-100000,- -,- -,- -,- -,-353553093,-598543857,- -,-140064,- -,- -,-916426656,- -,0,- -,- -,- -,- -
10,Operating Expenses,- -,100000,-100000,30026,1015634,1042946,495782,1972833,2726017,2029434,2566413,4002651,3497452,3222050,3584999,3745730,3374082,3156224,2904696,2878056
11,COGS and Expenses,- -,100000,-100000,- -,10800000,2100000,495782,17100000,26300000,33500000,12200000,41300000,81400000,42480610,32255780,49336080,52016470,33409740,12274516,49388057
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,121372,35670,- -,- -,- -,57452,61419,- -,497798,499855,131270,65535,- -
14,Depreciation and Amortization,- -,- -,- -,- -,420000,460000,124012,70000,70000,80000,90000,90000,90000,83700,74720,67070,85790,79270,72748,43510
15,EBITDA,- -,-100000,100000,- -,2320000,-1640000,-408443,11491372,18205670,19880000,5590000,22290000,35347452,33523979,6068350,8188678,8601275,5934750,1961654,8905494
16,EBITDA ratio,- -,-Infinity,Infinity,- -,0.1812,-Infinity,-Infinity,0.4032,0.4091,0.3730,0.3158,0.3505,0.3029,0.4416,0.1577,0.1425,0.1339,0.1500,0.1946,0.1523
17,Operating Income,- -,-100000,100000,-30026,1547065,-1042946,-495782,11402326,18196232,19819942,5520119,22277690,35313168,33440271,6218324,8119389,12222592,6165415,-2192039,9103108
18,Operating Income ratio,- -,-Infinity,Infinity,-Infinity,0.1209,-Infinity,-Infinity,0.4001,0.4089,0.3719,0.3119,0.3503,0.3026,0.4405,0.1616,0.1413,0.1903,0.1558,-0.2174,0.1556
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,352935,-1057054,36673,-102326,3768,-19942,-20119,-77690,-13168,-61421,-224694,-495579,-1906962,-441195,4015410,-241124
20,Income Before Tax,- -,-100000,100000,- -,1900000,-2100000,- -,11300000,18200000,19800000,5500000,22200000,35300000,33378850,5993630,7623810,10315630,5724220,1823371,8861984
21,Income Before Tax Ratio,- -,-Infinity,Infinity,- -,0.1484,-Infinity,- -,0.3965,0.4090,0.3715,0.3107,0.3491,0.3025,0.4397,0.1558,0.1327,0.1606,0.1446,0.1808,0.1515
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,200000,800000,1100000,300000,1400000,2800000,1951230,974690,1294700,2772710,2022040,841933,2486546
23,Net Income,- -,-100000,100000,- -,1900000,-2100000,-487073,11100000,17300000,18700000,5200000,20800000,32400000,31427630,5018940,6329110,5242920,3702170,981438,6375438
24,Net Income ratio,- -,-Infinity,Infinity,- -,0.1484,-Infinity,-Infinity,0.3895,0.3888,0.3508,0.2938,0.3270,0.2776,0.4140,0.1304,0.1102,0.0816,0.0935,0.0973,0.1090
25,EPS,-0.01,-0.02,0.02,-0.02,0.22,-0.22,-0.04,0.56,0.76,0.84,0.22,0.92,1.44,1.40,0.22,0.28,0.24,0.16,0.04,0.27
26,EPS Diluted,-0.01,-0.02,0.02,-0.02,0.22,-0.22,-0.04,0.56,0.76,0.84,0.22,0.92,1.44,1.40,0.22,0.28,0.24,0.16,0.04,0.27
27,Weighted Average Shares Outstanding,6000000,6000000,6300000,3253565,10000000,10000000,10025000,19756918,22525000,22525000,22525000,22525000,22525000,22525000,22525000,22525000,22525000,22525000,22525000,23944328
