,https://roic.ai/company/BMNM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,100000,27571148,41293348,20996929,-81818867,-234913,10186815,5928869,4994375,4046738,5370503,35214227,6436434,10271386,9298315,790227,10098628,-195135,8038740
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6795,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201930,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0348,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,300000,4322492,17963018,48768896,7128912,5367357,3035777,4540978,4928196,3299457,4418437,5314314,4530574,5144421,5947618,5991218,5950466,6090239,7771437
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,5041425,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,300000,4322492,17963018,53810321,7128912,5367357,3035777,4540978,4928196,3299457,4418437,5314314,4530574,5144421,5947618,5991218,5950466,6090239,7771437
9,Other Expenses,- -,- -,- -,- -,127036982,125189679,112871088,27632643,-32035777,5459022,- -,4700543,6581563,5685686,6469426,2855579,- -,6008782,7049534,-6089662,154191
10,Operating Expenses,- -,- -,300000,- -,145000000,179000000,120000000,33000000,-29000000,10000000,- -,8000000,11000000,11000000,11000000,8000000,- -,12000000,13000000,577,- -
11,COGS and Expenses,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7372,- -
12,Interest Income ,- -,- -,- -,49633548,160640830,255008719,102502182,26139769,11024210,12656146,5086441,4238718,9794654,34438486,4312063,4235081,6054381,8361808,7868940,3764003,2237217
13,Interest Expense (Gain),- -,- -,- -,22157947,123658728,241483310,111263195,26754429,5598499,2396546,1278390,1485501,2275134,4265747,1422919,1855984,3033367,5519827,6174875,2224141,1112973
14,Depreciation and Amortization,- -,- -,- -,- -,842113,4383776,822350,760891,468540,206929,119189,119670,121822,102800,91991,85572,77107,76637,73057,69536,69250
15,EBITDA,- -,- -,-300000,45014857,144563512,169103640,-135567272,-28861243,51909087,710944,-1224614,-424390,-1220170,10235594,-1704052,6469278,6006004,-54742,9266297,-4564881,1089792
16,EBITDA ratio,- -,- -,-3.0000,1.6327,3.5009,8.0537,1.6569,122.8593,5.0957,0.1199,-0.2452,-0.1049,-0.2272,0.2907,-0.2648,0.6298,0.6459,-0.0693,0.9176,23.3935,0.1356
17,Operating Income,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,-3.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,42026708,- -,- -,- -,-2149017,- -,- -,-3621910,- -,- -,- -,-6863498,- -
