,https://roic.ai/company/XNCR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,6849000,9524000,10172000,9520000,27762000,87520000,35711000,40603000,156700000,122694000,275111000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,122694000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,12663000,12668000,17000000,18516000,34140000,51872000,71772000,97501000,118590000,169802000,192507000
6,General and Administrative Exp.,3638000,3086000,3692000,7461000,11960000,13108000,17501000,22472000,24286000,29689000,38837000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3638000,3086000,3692000,7461000,11960000,13108000,17501000,22472000,24286000,29689000,38837000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16301000,15754000,20692000,25977000,46100000,64980000,89273000,119973000,142876000,199491000,231344000
11,COGS and Expenses,16301000,15754000,20692000,25977000,46100000,64980000,89273000,119973000,142876000,199491000,231344000
12,Interest Income ,34000,11000,14000,33000,1840000,2091000,4194000,9102000,- -,7264000,849000
13,Interest Expense (Gain),1850000,2461000,1213000,9000,13000,21000,13000,16000,- -,- -,- -
14,Depreciation and Amortization,607000,527000,711000,882000,1113000,1466000,2030000,3251000,4298000,5794000,7491000
15,EBITDA,-8746000,-5606000,-58335000,-15531000,-16466000,26103000,-47345000,-67142000,31485000,-63539000,90122000
16,EBITDA ratio,-1.2770,-0.5886,-5.7349,-1.6314,-0.5931,0.2983,-1.3258,-1.6536,0.2009,-0.5179,0.3276
17,Operating Income,-9452000,-6230000,-10520000,-16457000,-18338000,22540000,-53562000,-79370000,13824000,-76797000,43767000
18,Operating Income ratio,-1.3801,-0.6541,-1.0342,-1.7287,-0.6605,0.2575,-1.4999,-1.9548,0.0882,-0.6259,0.1591
19,Total Other Income Expenses (Gains),-1751000,-2364000,-49739000,35000,746000,2076000,4174000,8961000,13363000,7464000,38864000
20,Income Before Tax,-11203000,-8594000,-60259000,-16422000,-17592000,24616000,-49388000,-70409000,27187000,-69333000,82631000
21,Income Before Tax Ratio,-1.6357,-0.9024,-5.9240,-1.7250,-0.6337,0.2813,-1.3830,-1.7341,0.1735,-0.5651,0.3004
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,991000,-463000,- -,312000,- -,- -
23,Net Income,-11203000,-8594000,-60259000,-16422000,-17592000,23625000,-48925000,-70409000,26875000,-69333000,82631000
24,Net Income ratio,-1.6357,-0.9024,-5.9240,-1.7250,-0.6337,0.2699,-1.3700,-1.7341,0.1715,-0.5651,0.3004
25,EPS,-0.67,-0.51,-1.92,-0.52,-0.45,0.57,-1.05,-1.31,0.48,-1.21,1.44
26,EPS Diluted,-0.67,-0.51,-3.85,-0.52,-0.45,0.56,-1.05,-1.31,0.46,-1.21,1.44
27,Weighted Average Shares Outstanding,16692576,16692576,31354467,31434272,39015131,41267329,46817756,53942116,56531439,57212737,57212737
28,Weighted Average Shares Outstanding Diluted,16692576,16692576,31354467,31434272,39015131,42388867,46817756,53942116,58467880,57212737,57212737
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326732/000104746914003253/0001047469-14-003253-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837015000112/xncr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837016003900/0001558370-16-003900-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837017001196/0001558370-17-001196-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837018001202/0001558370-18-001202-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837019001049/0001558370-19-001049-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837020001256/0001558370-20-001256-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837021001522/0001558370-21-001522-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837022001969/0001558370-22-001969-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,14537000,2312000,77975000,54649000,12590000,14528000,16528000,26246000,50312000,163544000,143480000
32,Short-Term Investments,- -,- -,- -,- -,83840000,115608000,207603000,268115000,479470000,434156000,190627000
33,Cash and Short-Term Investments,14537000,2312000,77975000,54649000,96430000,130136000,224131000,294361000,529782000,597700000,334107000
34,Net Receivables,29000,354000,59000,2966000,44000,8616000,1142000,10991000,22076000,11443000,66384000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,81000,173000,60000,134000,1201000,2901000,5606000,10375000,6547000,28529000,23877000
37,Total Current Assets,14647000,2839000,78094000,57749000,97675000,141653000,230879000,315727000,558405000,637672000,424368000
38,PP&E,384000,283000,307000,899000,2310000,3105000,7088000,11813000,25185000,21682000,59970000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,7250000,8460000,8814000,9116000,9971000,10362000,11148000,11969000,14421000,15977000,16493000
41,Intangible Assets,7250000,8460000,8814000,9116000,9971000,10362000,11148000,11969000,14421000,15977000,16493000
42,Investments,- -,- -,- -,- -,96891000,273340000,139198000,236108000,71526000,17101000,331727000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,93000,77000,100000,59000,63000,103000,1789000,1115000,713000,10812000,5653000
45,Total Non-Current Assets,7727000,8820000,9221000,10074000,109235000,286910000,159223000,261005000,111845000,65572000,413843000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22374000,11659000,87315000,67823000,206910000,428563000,390102000,576732000,670250000,703244000,838211000
48,Accounts Payable,1835000,1315000,2633000,1691000,6400000,3880000,6869000,3797000,10189000,8954000,14001000
49,Short-Term Debt,18473000,20930000,9000,- -,- -,- -,- -,- -,2169000,1889000,- -
50,Tax Payable,- -,- -,- -,- -,- -,65000,157000,- -,- -,- -,- -
51,Deferred Revenue,5063000,1948000,3444000,2254000,33287000,95521000,88813000,40079000,45205000,92615000,37294000
52,Other Current Liabilities,826000,1286000,1393000,2251000,3742000,6885000,5663000,9977000,8995000,17603000,19443000
53,Total Current Liabilities,26197000,25479000,7479000,6196000,43429000,106286000,101345000,53853000,66558000,121061000,70738000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33969000
55,Deferred Revenue,7114000,5672000,6302000,2337000,542000,7926000,5623000,1198000,1926000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10000,1000,- -,507000,397000,1088000,- -,8565000,- -,- -
58,Total Non-Current Liabilities,7114000,5682000,6303000,2337000,1049000,8323000,6711000,1198000,10491000,- -,33969000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9739000,- -
60,Capital Lease Obligations,10000,17000,10000,- -,- -,- -,- -,- -,10734000,11628000,33969000
61,Total Liabilities,33311000,31161000,13782000,8533000,44478000,114609000,108056000,55051000,77049000,130800000,104707000
62,Preferred Stock,146766000,146766000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,314000,314000,405000,466000,470000,563000,569000,580000,595000
64,Retained Earnings,-158718000,-167312000,-227571000,-243993000,-261585000,-237960000,-287286000,-323277000,-296402000,- -,-283104000
65,Other Comprehensive Income/Loss,-7399000,-6279000,-6377000,-6554000,-516000,-1441000,-1808000,-971000,1161000,74000,-1510000
66,Other Total Stockholders Equity,8413000,7322000,307167000,309523000,424128000,552889000,570670000,845366000,887873000,571790000,1017523000
67,Total Stockholders Equity,-10937000,-19502000,73533000,59290000,162432000,313954000,282046000,521681000,593201000,572444000,733504000
68,Total Liabilities And Stockholders Equity,22374000,11659000,87315000,67823000,206910000,428563000,390102000,576732000,670250000,703244000,838211000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22374000,11659000,87315000,67823000,206910000,428563000,390102000,576732000,670250000,703244000,838211000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326732/000104746914003253/0001047469-14-003253-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837015000112/xncr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837016003900/0001558370-16-003900-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837017001196/0001558370-17-001196-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837018001202/0001558370-18-001202-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837019001049/0001558370-19-001049-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837020001256/0001558370-20-001256-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837021001522/0001558370-21-001522-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837022001969/0001558370-22-001969-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-11203000,-8594000,-60259000,-16422000,-17592000,23625000,-48925000,-70409000,26875000,-69333000,82631000
74,Depreciation and Amortization,607000,527000,711000,882000,1113000,1466000,2030000,3251000,4298000,5794000,7491000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,-57000,29000,198000,1861000,4869000,7848000,13651000,20548000,31851000,31619000,36975000
77,Change in Working Capital,6618000,-11090000,93255000,-19062000,2693000,-18879000,94167000,132340000,229973000,24764000,-102601000
78,Accounts Receivable,-29000,-325000,293000,-2907000,2922000,-8572000,7474000,-9045000,-11321000,10131000,-54941000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-239000,-522000,1319000,-943000,4710000,-2520000,2989000,-3072000,6392000,-1235000,5047000
81,Other Working Capital,-11550000,-22640000,70615000,51553000,54246000,35367000,129534000,261874000,491847000,516611000,-54110000
82,Other Non-Cash Items,2950000,8076000,-39358000,11390000,35583000,80557000,-94606000,-165486000,-228623000,2152000,-41349000
83,Cash Provided by Operating Activities,-1085000,-11052000,-5453000,-21351000,26666000,94617000,-33683000,-79756000,64374000,-5004000,-16853000
84,CAPEX,-1419000,-1258000,-1294000,-2285000,-3675000,-3009000,-7278000,-9147000,-11038000,1000,-15981000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-215798000,-316149000,-76529000,-377840000,-496855000,-643658000,-509597000
87,Sales/Maturities of Investments,- -,- -,- -,- -,34358000,105505000,115757000,222125000,456923000,757617000,485152000
88,Other Investing Activites,-1231000,-1120000,-1142000,2000,9000,- -,- -,95000,- -,-13768000,-8505000
89,Cash Used for Investing Activites,-1286000,-1161000,-1278000,-2283000,-185106000,-213653000,31950000,-164767000,-50970000,100192000,-46249000
90,Debt Repayment,-11000,-12000,-10000,-8000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,80517000,- -,122906000,126546000,- -,260245000,- -,16617000,28920000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1887000,316000,-6525000,-5572000,3733000,-6004000,10662000,1427000,14118000
95,Cash Used/Provided by Financing Activities,-11000,-12000,82394000,308000,116381000,120974000,3733000,254241000,10662000,18044000,43038000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2382000,-12225000,75663000,-23326000,-42059000,1938000,2000000,9718000,24066000,113232000,-20064000
98,Cash at the End of Period,14537000,2312000,77975000,54649000,12590000,14528000,16528000,26246000,50312000,163544000,143480000
99,Cash at the Beginning of Period,16919000,14537000,2312000,77975000,54649000,12590000,14528000,16528000,26246000,50312000,163544000
100,Free Cash Flow,-2504000,-12310000,-6747000,-23636000,22991000,91608000,-40961000,-88903000,53336000,-5003000,-32834000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326732/000104746914003253/0001047469-14-003253-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837015000112/xncr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837016003900/0001558370-16-003900-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837017001196/0001558370-17-001196-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837018001202/0001558370-18-001202-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837019001049/0001558370-19-001049-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837020001256/0001558370-20-001256-index.html,https://www.sec.gov/Archives/edgar/data/1326732/000155837021001522/0001558370-21-001522-index.htm,https://www.sec.gov/Archives/edgar/data/1326732/000155837022001969/0001558370-22-001969-index.htm
102,false,,,,,,,,,,,
