,https://roic.ai/company/BKR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,16688000000,23110000000,17259000000,22877000000,23838000000,20705000000,20536000000
2,COGS,12193000000,20524000000,14046000000,18891000000,19406000000,17506000000,16487000000
3,Gross Profit,4495000000,2586000000,3213000000,3986000000,4432000000,3199000000,4049000000
4,Gross Profit Ratio,0.2694,0.1119,0.1862,0.1742,0.1859,0.1545,0.1972
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2115000000,2955000000,2535000000,2699000000,2832000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2115000000,2955000000,2535000000,2699000000,2832000000,2404000000,2470000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2115000000,2955000000,2535000000,2699000000,2832000000,2404000000,2470000000
11,COGS and Expenses,14308000000,23479000000,16581000000,21590000000,22238000000,19910000000,18957000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),120000000,442000000,131000000,223000000,237000000,264000000,299000000
14,Depreciation and Amortization,530000000,550000000,1103000000,1486000000,1418000000,1317000000,1105000000
15,EBITDA,517000000,826000000,1341000000,2162000000,2265000000,-7800000000,1943000000
16,EBITDA ratio,0.0310,0.0357,0.0777,0.0945,0.0950,-0.3767,0.0946
17,Operating Income,-138000000,659000000,-107000000,701000000,1074000000,-15978000000,1310000000
18,Operating Income ratio,-0.0083,0.0285,-0.0062,0.0306,0.0451,-0.7717,0.0638
19,Total Other Income Expenses (Gains),-20000000,-2230000000,-64000000,-160000000,-321000000,776000000,-882000000
20,Income Before Tax,-158000000,-1571000000,-171000000,541000000,753000000,-15202000000,428000000
21,Income Before Tax Ratio,-0.0095,-0.0680,-0.0099,0.0236,0.0316,-0.7342,0.0208
22,Income Tax expense (Gain),473000000,738000000,71000000,258000000,482000000,559000000,758000000
23,Net Income,-606000000,-904000000,36000000,195000000,128000000,-9940000000,-219000000
24,Net Income ratio,-0.0363,-0.0391,0.0021,0.0085,0.0054,-0.4801,-0.0107
25,EPS,-1.41,0.94,-0.24,0.46,0.23,-14.73,-0.32
26,EPS Diluted,-1.41,0.94,-0.24,0.45,0.23,-14.73,-0.32
27,Weighted Average Shares Outstanding,429000000,429000000,427000000,423913043,555000000,675000000,675000000
28,Weighted Average Shares Outstanding Diluted,430000000,430000000,427000000,433333333,557000000,675000000,675000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000029/0001701605-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/0001701605-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/0001701605-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160521000026/0001701605-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/0001701605-22-000050-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,981000000,7023000000,3723000000,3249000000,4132000000,3853000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,981000000,7023000000,3723000000,3249000000,4132000000,3853000000
34,Net Receivables,- -,2563000000,6014000000,5969000000,6416000000,5622000000,5651000000
35,Inventory,- -,3224000000,4590000000,4620000000,4608000000,4421000000,3979000000
36,Other Current Assets,- -,633000000,872000000,659000000,949000000,2280000000,1582000000
37,Total Current Assets,- -,7401000000,18499000000,14971000000,15222000000,16455000000,15065000000
38,PP&E,- -,2325000000,6959000000,6228000000,6240000000,5358000000,4877000000
39,Goodwill,- -,6680000000,19927000000,20717000000,20690000000,5977000000,5959000000
40,Intangible Assets,- -,2449000000,6358000000,5719000000,5381000000,4397000000,4131000000
41,Intangible Assets,- -,9129000000,26285000000,26436000000,26071000000,10374000000,10090000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,326000000,482000000,1072000000,954000000,953000000,- -
44,Other Non-Current Assets,- -,2540000000,4825000000,3732000000,4882000000,4867000000,5316000000
45,Total Non-Current Assets,- -,14320000000,38551000000,37468000000,38147000000,21552000000,20283000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,21721000000,57050000000,52439000000,53369000000,38007000000,35348000000
48,Accounts Payable,- -,1898000000,3377000000,4025000000,4268000000,3532000000,3745000000
49,Short-Term Debt,- -,239000000,2037000000,942000000,321000000,889000000,40000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,2870000000,3454000000,3272000000
52,Other Current Liabilities,- -,2797000000,3483000000,4053000000,2555000000,2352000000,2111000000
53,Total Current Liabilities,- -,4934000000,8897000000,9020000000,10014000000,10227000000,9168000000
54,Long-Term Debt,- -,37000000,6225000000,6182000000,6301000000,6744000000,6687000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,880000000,524000000,143000000,51000000,186000000,- -
57,Other Non-Current Liabilities,- -,1015000000,2231000000,2081000000,2504000000,2608000000,2747000000
58,Total Non-Current Liabilities,- -,1932000000,8980000000,8406000000,8856000000,9538000000,9434000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1000000,87000000,103000000,- -,- -,- -
61,Total Liabilities,- -,6866000000,17877000000,17426000000,18870000000,19765000000,18602000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-73000000,25000000,- -,-9942000000,- -
65,Other Comprehensive Income/Loss,- -,-1894000000,-701000000,-1219000000,-1636000000,-1778000000,- -
66,Other Total Stockholders Equity,- -,16749000000,39949000000,36207000000,36135000000,- -,- -
67,Total Stockholders Equity,- -,14688000000,14709000000,17465000000,21929000000,12893000000,16746000000
68,Total Liabilities And Stockholders Equity,- -,21554000000,32586000000,34891000000,40799000000,32658000000,35348000000
69,Minority Interest,- -,167000000,24464000000,17548000000,12570000000,5349000000,- -
70,Total Liabilities & Equity,- -,21721000000,57050000000,52439000000,53369000000,38007000000,35348000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000029/0001701605-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/0001701605-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/0001701605-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160521000026/0001701605-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/0001701605-22-000050-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-606000000,-904000000,36000000,195000000,128000000,-9940000000,-219000000
74,Depreciation and Amortization,530000000,550000000,1103000000,1486000000,1418000000,1317000000,1105000000
75,Deferred Income Tax,-96000000,-38000000,-304000000,-249000000,51000000,160000000,133000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-493000000,3421000000,7135000000,-3651000000,-743000000,1020000000,-331000000
78,Accounts Receivable,- -,- -,- -,- -,- -,680000000,- -
79,Inventory,442000000,367000000,392000000,-339000000,-200000000,-80000000,- -
80,Accounts Payable,-450000000,-256000000,303000000,794000000,249000000,-711000000,- -
81,Other Working Capital,-954000000,2467000000,9602000000,5951000000,5208000000,6228000000,5897000000
82,Other Non-Cash Items,1942000000,-2767000000,-8769000000,3981000000,1272000000,8747000000,1686000000
83,Cash Provided by Operating Activities,1277000000,262000000,-799000000,1762000000,2126000000,1304000000,2374000000
84,CAPEX,-607000000,-424000000,-665000000,-995000000,-1240000000,-974000000,-541000000
85,Acquisitions Net,95000000,-16000000,-3345000000,-141000000,-99000000,161000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-561000000,-456000000,-785000000,-437000000,-946000000,-779000000,-463000000
89,Cash Used for Investing Activites,-466000000,-472000000,-4130000000,-578000000,-1045000000,-618000000,-463000000
90,Debt Repayment,- -,-156000000,-177000000,-1060000000,-570000000,-246000000,-1354000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-477000000,-2486000000,-250000000,- -,-434000000
93,Dividends Paid,- -,- -,-155000000,-810000000,-745000000,-744000000,-749000000
94,Other Financing Activites,-515000000,54000000,11728000000,-7000000,31000000,1215000000,394000000
95,Cash Used/Provided by Financing Activities,-515000000,-102000000,10919000000,-4363000000,-1534000000,225000000,-2143000000
96,Effect of Forex Changes on Cash,-254000000,-139000000,52000000,-128000000,-21000000,-28000000,-47000000
97,Net Change In Cash,42000000,-451000000,6042000000,-3307000000,-474000000,883000000,-279000000
98,Cash at the End of Period,1432000000,981000000,7023000000,3723000000,3249000000,4132000000,3853000000
99,Cash at the Beginning of Period,1390000000,1432000000,981000000,7030000000,3723000000,3249000000,4132000000
100,Free Cash Flow,670000000,-162000000,-1464000000,767000000,886000000,330000000,1833000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000029/0001701605-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/0001701605-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/0001701605-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160521000026/0001701605-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/0001701605-22-000050-index.htm
102,false,,,,,,,
