,https://roic.ai/company/ICL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1858800000,1980900000,2270900000,2715000000,2986000000,3258200000,4100300000,6904000000,4554300000,5691500000,7067800000,6672200000,6271500000,6110710000,5405000000,5363000000,5418000000,5556000000,5271000000,5043000000,6955000000
2,COGS,1271700000,1352500000,1558100000,1777900000,1845300000,2086500000,2585200000,3448800000,2717800000,3259500000,3912200000,3915100000,3861600000,3914573000,3602000000,3703000000,3746000000,3702000000,3454000000,3553000000,4344000000
3,Gross Profit,587100000,628400000,712800000,937100000,1140700000,1171700000,1515100000,3455200000,1836500000,2432000000,3155600000,2757100000,2409900000,2196137000,1803000000,1660000000,1672000000,1854000000,1817000000,1490000000,2611000000
4,Gross Profit Ratio,0.3158,0.3172,0.3139,0.3452,0.3820,0.3596,0.3695,0.5005,0.4032,0.4273,0.4465,0.4132,0.3843,0.3594,0.3336,0.3095,0.3086,0.3337,0.3447,0.2955,0.3754
5,Research and Development Exp.,32500000,28500000,29100000,32100000,30300000,35100000,39200000,57300000,53800000,64100000,72200000,77200000,82900000,86943000,74000000,73000000,55000000,55000000,50000000,54000000,64000000
6,General and Administrative Exp.,394300000,401300000,472900000,550600000,549000000,600100000,761200000,968700000,754000000,1025400000,1147200000,1066200000,1131800000,1144733000,315000000,390000000,261000000,257000000,254000000,232000000,1177000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653000000,653000000,746000000,798000000,767000000,766000000,154000000
8,"Selling, General and Administrative Exp.",394300000,401300000,472900000,550600000,549000000,600100000,761200000,968700000,754000000,1025400000,1147200000,1066200000,1131800000,1144733000,968000000,1043000000,1007000000,1055000000,1021000000,998000000,1331000000
9,Other Expenses,199900000,-0,69000,-18000,24000,9000,-25000,55066000,94181000,480000,4423000,37676000,87760000,27717000,110000000,58000000,3000000,47000000,2000000,236000000,28000000
10,Operating Expenses,626700000,429800000,502069000,582682000,579324000,635209000,800375000,1081066000,901981000,1089980000,1223823000,1181076000,1302460000,1259393000,1152000000,1174000000,1065000000,1157000000,1073000000,1288000000,1423000000
11,COGS and Expenses,1898400000,1782300000,2060200000,2360600000,2424700000,2721700000,3385600000,4568600000,3616100000,4345400000,5141900000,5095700000,5170200000,5353040000,4640000000,5366000000,4789000000,4037000000,4515000000,4841000000,5767000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,27506000,89539000,10408000,22613000,30733000,8607000,1974000,1000000,- -,- -,- -,8000000,61000000,17000000
13,Interest Expense (Gain),-78500000,-44800000,34148000,31554000,42241000,35479000,50671000,84580000,83424000,43585000,48033000,54194000,48494000,86736000,80000000,129000000,97000000,95000000,109000000,219000000,108000000
14,Depreciation and Amortization,173200000,160600000,166417000,166261000,166010000,169226000,195437000,182188000,204618000,217395000,267440000,287063000,347741000,427478000,430000000,406000000,390000000,403000000,443000000,489000000,490000000
15,EBITDA,19300000,249800000,330165000,507515000,732251000,715305000,894808000,2504168000,1226942000,1552480000,2175973000,1862757000,1494835000,1143921000,1181000000,468000000,1009000000,1867000000,1174000000,744000000,1641000000
16,EBITDA ratio,0.0104,0.1261,0.1454,0.1869,0.2452,0.2195,0.2182,0.3627,0.2694,0.2728,0.3079,0.2792,0.2384,0.1872,0.2185,0.0873,0.1862,0.3360,0.2227,0.1475,0.2359
17,Operating Income,-39600000,198600000,210700000,354400000,561300000,536400000,714700000,2335500000,938200000,1346100000,1926000000,1576515000,1101366000,757670000,765000000,-3000000,629000000,1519000000,756000000,202000000,1210000000
18,Operating Income ratio,-0.0213,0.1003,0.0928,0.1305,0.1880,0.1646,0.1743,0.3383,0.2060,0.2365,0.2725,0.2363,0.1756,0.1240,0.1415,-0.0006,0.1161,0.2734,0.1434,0.0401,0.1740
19,Total Other Income Expenses (Gains),-98600000,-67300000,-83700000,-44900000,-47000000,-41500000,-73500000,-108300000,4600000,-50700000,-54300000,-50315000,-1166000,-125416000,-97000000,-114000000,-124000000,-155000000,-128000000,-153000000,-118000000
20,Income Before Tax,-138200000,131300000,127000000,309500000,514300000,494900000,641200000,2227200000,942800000,1295400000,1871700000,1526200000,1100200000,632254000,668000000,-117000000,505000000,1364000000,628000000,49000000,1092000000
21,Income Before Tax Ratio,-0.0743,0.0663,0.0559,0.1140,0.1722,0.1519,0.1564,0.3226,0.2070,0.2276,0.2648,0.2287,0.1754,0.1035,0.1236,-0.0218,0.0932,0.2455,0.1191,0.0097,0.1570
22,Income Tax expense (Gain),-33000000,41700000,26500000,59200000,101800000,136700000,113100000,233200000,168500000,266800000,348700000,221000000,280000000,166152000,162000000,55000000,158000000,129000000,147000000,25000000,260000000
23,Net Income,-42400000,92300000,103100000,250500000,422200000,373900000,535600000,2004200000,770400000,1024700000,1511800000,1300500000,818600000,463555000,509000000,-122000000,364000000,1240000000,475000000,11000000,783000000
24,Net Income ratio,-0.0228,0.0466,0.0454,0.0923,0.1414,0.1148,0.1306,0.2903,0.1692,0.1800,0.2139,0.1949,0.1305,0.0759,0.0942,-0.0227,0.0672,0.2232,0.0901,0.0022,0.1126
25,EPS,-0.04,0.08,0.08,0.21,0.33,0.29,0.42,1.56,0.60,0.81,1.19,1.02,0.64,0.36,0.40,-0.10,0.29,0.97,0.37,0.01,0.61
26,EPS Diluted,-0.04,0.08,0.08,0.20,0.33,0.29,0.42,1.56,0.60,0.81,1.19,1.02,0.64,0.36,0.40,-0.10,0.29,0.97,0.37,0.01,0.60
27,Weighted Average Shares Outstanding,1200000000,1200000000,1261162000,1213423000,1284491000,1282982000,1285069000,1280446000,1291155548,1264425000,1267699000,1270009000,1271076087,1270013699,1272500000,1273989000,1276072000,1277209000,1278950000,1280026000,1282807000
28,Weighted Average Shares Outstanding Diluted,1200000000,1200000000,1261162000,1239247000,1284491000,1284579000,1286337000,1285528000,1291155548,1271598000,1272945000,1270117000,1271076087,1270013699,1272500000,1273989000,1276997000,1279781000,1280638000,1280273000,1287051000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/941221/000095010316011887/0000950103-16-011887-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010317002509/0000950103-17-002509-index.html,https://www.sec.gov/Archives/edgar/data/941221/000095010318003092/0000950103-18-003092-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891319000693/0001178913-19-000693-index.html,https://www.sec.gov/Archives/edgar/data/941221/000117891320000718/0001178913-20-000718-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15600000,14800000,27300000,37200000,57200000,50100000,58200000,215200000,258000000,400900000,268200000,288500000,188300000,130831000,161000000,87000000,83000000,121000000,95000000,214000000,473000000
32,Short-Term Investments,25500000,16100000,57800000,150300000,58800000,120800000,73700000,125100000,167500000,493200000,206000000,172400000,96400000,116492000,87000000,29000000,90000000,92000000,96000000,219000000,91000000
33,Cash and Short-Term Investments,41100000,30900000,85100000,187500000,116000000,170900000,131900000,340300000,425500000,894100000,474200000,460900000,284700000,247323000,248000000,116000000,173000000,213000000,191000000,433000000,564000000
34,Net Receivables,495600000,477600000,368700000,455700000,561900000,578000000,1049900000,1344500000,1112700000,1121900000,1525900000,1282700000,1252400000,1289489000,1277000000,1148000000,1114000000,1233000000,1130000000,1108000000,1676000000
35,Inventory,491600000,506400000,540300000,509800000,652500000,799000000,975000000,1278000000,1233300000,1114100000,1410900000,1480000000,1408300000,1335098000,1364000000,1267000000,1226000000,1290000000,1312000000,1250000000,1570000000
36,Other Current Assets,30400000,43400000,49200000,49400000,57000000,87600000,95200000,-100000,- -,- -,31900000,86500000,96200000,268129000,96000000,40000000,212000000,52000000,51000000,50000000,99000000
37,Total Current Assets,1058700000,1058300000,1043300000,1202400000,1387400000,1635500000,2252000000,2962700000,2771500000,3130100000,3442900000,3310100000,3041600000,3140039000,2985000000,2571000000,2725000000,2788000000,2684000000,2841000000,3909000000
38,PP&E,1640700000,1698100000,1694600000,1620200000,1661900000,1682000000,1841400000,1907300000,2093100000,2190600000,2576000000,3067000000,3704700000,3945876000,4212000000,4416000000,4627000000,4765000000,5331000000,5564000000,5754000000
39,Goodwill,48000000,46700000,43300000,38000000,42200000,48500000,152800000,172800000,185400000,185400000,252400000,260100000,267300000,302543000,349000000,377000000,326000000,309000000,302000000,320000000,502000000
40,Intangible Assets,- -,- -,- -,-30800000,-39600000,-51200000,264700000,348700000,381200000,358400000,493900000,464300000,505400000,481374000,836000000,447000000,396000000,362000000,350000000,336000000,365000000
41,Intangible Assets,48000000,46700000,43300000,7200000,2600000,-2700000,417500000,521500000,566600000,543800000,746300000,724400000,772700000,783917000,1185000000,824000000,722000000,671000000,652000000,656000000,867000000
42,Investments,81800000,85100000,95300000,14150000,24775000,31149000,73600000,174500000,28762000,28124000,29404000,18392000,174511000,184549000,159000000,406000000,241000000,175000000,140000000,110000000,26000000
43,Tax Assets,195800000,220200000,209100000,192400000,169400000,168400000,160100000,111200000,101800000,99100000,180800000,222600000,220900000,259877000,351000000,303000000,228000000,297000000,341000000,127000000,147000000
44,Other Non-Current Assets,-84600000,-115000000,-94400000,25950000,77825000,101351000,-111300000,60500000,345838000,396376000,307696000,404308000,59089000,33330000,185000000,32000000,171000000,80000000,25000000,366000000,377000000
