,https://roic.ai/company/ARCT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,12998000,15753000,20789000,9539000,12359000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,9539000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,1822000,818000,7066000,25105000,13461000,18391000,15918000,16982000,33640000,57846000,173760000
6,General and Administrative Exp.,2084000,683000,3224000,5839000,4992000,5357000,7572000,20582000,12662000,23217000,41451000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2084000,683000,3224000,5839000,4992000,5357000,7572000,20582000,12662000,23217000,41451000
9,Other Expenses,- -,- -,- -,2134000,1245000,1419000,- -,- -,- -,- -,- -
10,Operating Expenses,3906000,1501000,10290000,33078000,19698000,25167000,23490000,37564000,46302000,81063000,215211000
11,COGS and Expenses,3906000,1501000,10290000,33078000,19698000,25167000,23490000,37564000,46302000,81063000,- -
12,Interest Income ,21000,2000,22000,239000,338000,798000,89000,514000,408000,470000,- -
13,Interest Expense (Gain),44000,80000,210000,2000,31000,142000,150000,186000,854000,831000,- -
14,Depreciation and Amortization,6000,7000,8000,31000,51000,61000,410000,582000,684000,882000,1193000
15,EBITDA,-3879000,-1492000,-10269000,-33047000,-19647000,-25106000,-10341000,-21017000,-24453000,-70435000,-202481000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7956,-1.3342,-1.1762,-7.3839,-16.3833
17,Operating Income,-3906000,-1501000,-10290000,-33078000,-19698000,-25167000,-10492000,-21811000,-25513000,-71524000,-202852000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8072,-1.3846,-1.2272,-7.4981,-16.4133
