,https://roic.ai/company/BWMX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1449705000,2316716000,3084662000,7260408000,10039668000
2,COGS,558105000,958469000,1280829000,3290994000,4399164000
3,Gross Profit,891600000,1358247000,1803833000,3969414000,5640504000
4,Gross Profit Ratio,0.6150,0.5863,0.5848,0.5467,0.5618
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,204555000,249148000,319133000,664677000,1195509000
7,Selling and Marketing Exp.,356183000,557352000,672455000,1184378000,1728360000
8,"Selling, General and Administrative Exp.",560738000,806500000,991588000,1849055000,2923869000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,560738000,806500000,991588000,1849055000,2923869000
11,COGS and Expenses,1118843000,1764969000,2272417000,5140049000,7323033000
12,Interest Income ,20754000,6707000,7028000,10930000,25872000
13,Interest Expense (Gain),118205000,86343000,85429000,80253000,74626000
14,Depreciation and Amortization,24209000,25962000,38394000,43688000,81905000
15,EBITDA,447039000,561751000,828657000,1005070000,2838694000
16,EBITDA ratio,0.3084,0.2425,0.2686,0.1384,0.2827
17,Operating Income,330862000,551747000,812245000,2120359000,2716635000
18,Operating Income ratio,0.2282,0.2382,0.2633,0.2920,0.2706
19,Total Other Income Expenses (Gains),-26237000,-102301000,-107411000,-1239230000,-38178000
20,Income Before Tax,304625000,449446000,704834000,881129000,2678457000
21,Income Before Tax Ratio,0.2101,0.1940,0.2285,0.1214,0.2668
22,Income Tax expense (Gain),96951000,150179000,232692000,542768000,855377000
23,Net Income,207674000,299267000,472142000,338361000,1826786000
24,Net Income ratio,0.1433,0.1292,0.1531,0.0466,0.1820
25,EPS,6.03,8.69,13.70,9.93,53.60
26,EPS Diluted,6.03,8.69,13.70,9.84,53.13
27,Weighted Average Shares Outstanding,34451020,34451020,34451020,34083000,34083000
28,Weighted Average Shares Outstanding Diluted,34451020,34451020,34451020,34383000,34383000
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,177383000,213697000,649820000,1175198000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,177383000,213697000,649820000,1175198000
34,Net Receivables,- -,198776000,247697000,816504000,836768000
35,Inventory,- -,302206000,345554000,1274026000,1339378000
