,https://roic.ai/company/BTRS,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,120515000,136468000,- -,166405000
2,COGS,67511000,72023000,69647000,71874000
3,Gross Profit,53004000,64445000,76038000,94531000
4,Gross Profit Ratio,0.4398,0.4722,Infinity,0.5681
5,Research and Development Exp.,23606000,34285000,36468000,50127000
6,General and Administrative Exp.,18743000,23297000,22188000,48282000
7,Selling and Marketing Exp.,21677000,22098000,23420000,39624000
8,"Selling, General and Administrative Exp.",40420000,45395000,45608000,87906000
9,Other Expenses,6040000,5881000,-76716324,5516000
10,Operating Expenses,70066000,85561000,5359676,143549000
11,COGS and Expenses,137577000,157584000,5359676,215423000
12,Interest Income ,136000,1000,909361,440000
13,Interest Expense (Gain),814000,1507000,4661000,-2952000
14,Depreciation and Amortization,6040000,5881000,5624000,- -
15,EBITDA,-11308000,-15255000,-5359676,-64265000
16,EBITDA ratio,-0.0938,-0.1118,-Infinity,-0.3862
17,Operating Income,-17062000,-21116000,-11662000,-49018000
18,Operating Income ratio,-0.1416,-0.1547,-Infinity,-0.2946
19,Total Other Income Expenses (Gains),-1100000,-1527000,7211685,-12295000
20,Income Before Tax,-18162000,-22643000,-4450315,-61313000
21,Income Before Tax Ratio,-0.1507,-0.1659,-Infinity,-0.3685
22,Income Tax expense (Gain),69000,160000,2645,-113000
23,Net Income,-18231000,-22803000,-4452960,-61200000
24,Net Income ratio,-0.1513,-0.1671,-Infinity,-0.3678
25,EPS,-0.18,-0.23,-0.12,-0.42
26,EPS Diluted,-0.18,-0.23,-0.12,-0.42
27,Weighted Average Shares Outstanding,99876000,99876000,145262379,145262379
28,Weighted Average Shares Outstanding Diluted,99876000,99876000,145262379,145262379
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1774155/000114036121009706/0001140361-21-009706-index.htm,https://www.sec.gov/Archives/edgar/data/1774155/000177415522000033/0001774155-22-000033-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,1606261,1017402,187672
32,Short-Term Investments,- -,- -,- -,- -
