,https://roic.ai/company/DLYT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,870160,1015433,1531215,3342468,3504054,3656080,1742595,1900250,1356954,2203440,382934,1381251,905625,1002845
2,COGS,637032,796217,1071098,2290041,2563250,2434610,1257418,1217559,686952,384048,312547,921394,600213,545068
3,Gross Profit,233128,219216,460117,1052427,940804,1221470,485177,682691,670002,1819392,70387,459857,305412,457777
4,Gross Profit Ratio,0.2679,0.2159,0.3005,0.3149,0.2685,0.3341,0.2784,0.3593,0.4938,0.8257,0.1838,0.3329,0.3372,0.4565
5,Research and Development Exp.,- -,- -,- -,238182,52275,453927,495175,408119,743738,428734,316612,253464,203757,98645
6,General and Administrative Exp.,- -,- -,- -,- -,2992156,1938553,2108629,2047898,- -,- -,- -,1862024,1369037,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1468276,1655839,2208887,- -,- -,- -
8,"Selling, General and Administrative Exp.",1871030,2935552,3224592,2693092,2992156,1938553,2108629,2047898,1468276,1655839,2208887,1862024,1369037,1079594
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1871030,2935552,3224592,2931274,3044431,2392480,2603804,2456017,2212014,2084573,2525499,2115488,1572794,1178239
11,COGS and Expenses,2508062,3731769,4295690,5221315,5607681,4827090,3861222,3673576,2898966,2468621,2838046,3036882,2173007,1723307
12,Interest Income ,- -,19658,667,- -,1195,65,- -,495,866,135,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3282768,621574,209550,297010,278091,179,1035,172,43299,1554803,1396468,2126590,1127807
14,Depreciation and Amortization,12788,16187,19826,15276,52658,61151,106725,67059,61845,76108,60789,61088,42717,44093
15,EBITDA,-2221197,-2680491,-2743982,-1208767,-1985536,360581,-2014574,-1704272,-1480791,-156600,-1832351,-1567205,-1879833,-1615833
16,EBITDA ratio,-2.5526,-2.6398,-1.7920,-0.3616,-0.5666,0.0986,-1.1561,-0.8969,-1.0913,-0.0711,-4.7850,-1.1346,-2.0757,-1.6112
17,Operating Income,-1637902,-2716336,-2764475,-1878847,-2103627,-1233298,-2121299,-1773326,-1542012,-265181,-2455112,-1655631,-1267382,-720462
18,Operating Income ratio,-1.8823,-2.6751,-1.8054,-0.5621,-0.6003,-0.3373,-1.2173,-0.9332,-1.1364,-0.1203,-6.4113,-1.1986,-1.3995,-0.7184
19,Total Other Income Expenses (Gains),-596083,- -,- -,654804,-231577,1254637,-179,960,-796,-10826,-992831,-1369130,-2781758,-2067271
20,Income Before Tax,-2233985,- -,- -,- -,-2335204,21339,-2121478,-1772366,-1542808,-276007,-3447943,-3024761,-4049140,-2787733
21,Income Before Tax Ratio,-2.5673,- -,- -,- -,-0.6664,0.0058,-1.2174,-0.9327,-1.1370,-0.1253,-9.0040,-2.1899,-4.4711,-2.7798
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2233985,-5979446,-3385382,-1433593,-2335204,21339,-2121478,-1772366,-1542808,-276007,-3447943,-3024761,-4049140,-2787733
24,Net Income ratio,-2.5673,-5.8886,-2.2109,-0.4289,-0.6664,0.0058,-1.2174,-0.9327,-1.1370,-0.1253,-9.0040,-2.1899,-4.4711,-2.7798
25,EPS,-880.00,-1140.00,-340.00,-100.00,-140.00,1.07,-80.00,-40.00,-20.00,-4.61,-60.00,-40.00,-19.20,-10.02
