,https://roic.ai/company/MTNB,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,194494,- -,149687,119750,89812,158333,33
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,194494,- -,- -,- -,- -,158,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,1761486,5175520,5292193,3947644,9010499,6787474,11234548,14358918,14583
6,General and Administrative Exp.,1950953,5289479,4813800,4309489,7641592,7978821,7776300,10005967,10185
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1950953,5289479,4813800,4309489,7641592,7978821,7776300,10005967,10185
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3712439,10464999,10105993,8257133,16652091,14766295,19010848,24364885,24768
11,COGS and Expenses,3712439,10464999,10105993,8257133,16652091,14766295,19010848,24364885,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1131,41581,43502,52644,100605,218308,780816,774587,- -
15,EBITDA,-3711308,-10423418,-9091898,-8204489,-15742840,-14371685,-16591835,-21672251,- -
16,EBITDA ratio,-Infinity,-Infinity,-46.7464,-Infinity,-105.1717,-120.0141,-184.7396,-136.8777,- -
17,Operating Income,-3712439,-10464999,-9911499,-8257133,-16502404,-14646545,-18921036,-24206552,-24734755
18,Operating Income ratio,-Infinity,-Infinity,-50.9604,-Infinity,-110.2461,-122.3094,-210.6738,-152.8838,-749538.0303
19,Total Other Income Expenses (Gains),-688,243954,776099,658396,658959,56552,1548385,1759714,- -
20,Income Before Tax,-3713127,-10221045,-9135400,-7598737,-15843445,-14589993,-17372651,-22446838,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,-46.9701,-Infinity,-105.8438,-121.8371,-193.4335,-141.7698,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,-356956,-506920,- -,- -,- -
23,Net Income,-3713127,-10221045,-9135400,-7598737,-15486489,-14083073,-17372651,-22446838,- -
24,Net Income ratio,-Infinity,-Infinity,-46.9701,-Infinity,-103.4591,-117.6039,-193.4335,-141.7698,- -
25,EPS,-0.12,-0.32,-0.18,-0.21,-0.36,-0.15,-0.13,-0.12,-0.11
26,EPS Diluted,-0.12,-0.32,-0.18,-0.21,-0.36,-0.15,-0.13,-0.12,-0.11
27,Weighted Average Shares Outstanding,32000000,32076717,51481002,57654830,90475035,98103210,145195196,196894628,210178332
28,Weighted Average Shares Outstanding Diluted,32000000,32076717,51481002,57654830,90475035,98103210,145195196,196894628,210178332
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1582554/000114420415019575/0001144204-15-019575-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420416091635/0001144204-16-091635-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000114420417018184/0001144204-17-018184-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315218003518/0001493152-18-003518-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315219004560/0001493152-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315220003558/0001493152-20-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315221006979/0001493152-21-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1582554/000149315222006231/0001493152-22-006231-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,10840428,2590713,3226997,4105451,7306507,12446838,22170438,12432481,21029806
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,5604634,46246573,- -
33,Cash and Short-Term Investments,10840428,2590713,3226997,4105451,7306507,12446838,27775072,58679054,21029806
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,84493,214425,332123,460037,657463,638646,2147784,2875791,29963515
37,Total Current Assets,10924921,2805138,3559120,4565488,7963970,13085484,29922856,61554845,50993321
38,PP&E,93000,340000,378000,356000,1570000,2043000,5627175,4858646,4218890
39,Goodwill,- -,- -,1336488,1336488,1336488,1336488,1336488,1336488,1336488
40,Intangible Assets,- -,- -,3017377,3017377,3017377,3017377,3017377,3017377,- -
41,Intangible Assets,- -,- -,4353865,4353865,4353865,4353865,4353865,4353865,1336488
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,28592049
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,315835,216312,115093,540988,535857,460893,336259,199950,-23814674
45,Total Non-Current Assets,408835,556312,4846958,5250853,6459722,6857758,10317299,9412461,10332753
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11333756,3361450,8406078,9816341,14423692,19943242,40240155,70967306,61326074
48,Accounts Payable,396768,271155,497842,475602,582867,295652,679310,349941,938270
