,https://roic.ai/company/TH,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,134235000,- -,321096000,225148000,291337000
2,COGS,81189000,150366000,174083000,167993000,189987000
3,Gross Profit,53046000,90234000,147013000,57155000,101350000
4,Gross Profit Ratio,0.3952,Infinity,0.4578,0.2539,0.3479
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1617685,76464000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1617685,76464000,- -,46461000
9,Other Expenses,30018000,- -,15481000,53054000,17790000
10,Operating Expenses,30018000,1617685,91945000,53054000,64251000
11,COGS and Expenses,111207000,1617685,266028000,221047000,254238000
12,Interest Income ,7953000,5629488,- -,- -,- -
13,Interest Expense (Gain),2846000,24198000,30197000,36084000,34366000
14,Depreciation and Amortization,30146000,39128000,58902000,65614000,70519000
15,EBITDA,59557000,5900315,102942000,65765000,102213000
16,EBITDA ratio,0.4437,Infinity,0.3206,0.2921,0.3508
17,Operating Income,21458000,-1617685,48151000,4101000,37099000
18,Operating Income ratio,0.1599,-Infinity,0.1500,0.0182,0.1273
19,Total Other Income Expenses (Gains),5107000,5629488,-34308000,-40034000,-39771000
20,Income Before Tax,26565000,4011803,13843000,-35933000,-2672000
21,Income Before Tax Ratio,0.1979,Infinity,0.0431,-0.1596,-0.0092
22,Income Tax expense (Gain),25584000,11755000,7607000,-8455000,1904000
23,Net Income,981000,4011803,6236000,-27478000,-4576000
24,Net Income ratio,0.0073,Infinity,0.0194,-0.1220,-0.0157
25,EPS,0.02,0.12,0.07,-0.29,-0.05
26,EPS Diluted,0.02,0.12,0.07,-0.29,-0.05
27,Weighted Average Shares Outstanding,40625000,40625000,94501789,96018338,96611022
28,Weighted Average Shares Outstanding Diluted,40625000,40625000,94501789,96018338,96611022
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1712189/000114420419010762/0001144204-19-010762-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837020002582/0001558370-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837021003780/0001558370-21-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1712189/000155837022003403/0001558370-22-003403-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,498098,6787000,6979000,23406000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,498098,6787000,6979000,23406000
34,Net Receivables,- -,58827000,49359000,29388000,28780000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-58751167,4649000,7195000,8350000
37,Total Current Assets,- -,573931,60795000,43562000,60536000
38,PP&E,- -,312441000,365236000,322506000,303044000
39,Goodwill,- -,34180000,41038000,41038000,41038000
40,Intangible Assets,- -,127383000,117866000,103121000,88485000
41,Intangible Assets,- -,161563000,158904000,144159000,129523000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,12420000,6427000,15179000,14710000
44,Other Non-Current Assets,242088,-156044762,9430000,8831000,5579000
45,Total Non-Current Assets,242088,330379238,539997000,490675000,452856000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,242088,330953169,600792000,534237000,513392000
48,Accounts Payable,- -,21597000,7793000,10644000,11803000
49,Short-Term Debt,- -,2446000,989000,3571000,729000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,17805000,16809000,6619000,27138000
52,Other Current Liabilities,225894,-40789036,35330000,24699000,33126000
53,Total Current Liabilities,225894,1058964,60921000,45533000,72796000
54,Long-Term Debt,- -,128611000,403258000,374499000,330908000
55,Deferred Revenue,- -,19571000,9390000,11752000,7273000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,176712200,3821000,3032000,5144000
58,Total Non-Current Liabilities,- -,324894200,416469000,389283000,343325000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1985000,3840000,1425000
61,Total Liabilities,225894,325953164,477390000,434816000,416121000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,863,928,10000,10000,10000
64,Retained Earnings,-8806,4002997,37715000,10237000,13744000
65,Other Comprehensive Income/Loss,- -,-2463000,-2558000,-2434000,-2462000
66,Other Total Stockholders Equity,24137,3459080,88235000,91608000,- -
67,Total Stockholders Equity,16194,5000005,123402000,99421000,97271000
68,Total Liabilities And Stockholders Equity,242088,330953169,600792000,534237000,513392000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,242088,330953169,600792000,534237000,513392000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1712189/000114420419010762/0001144204-19-010762-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837020002582/0001558370-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837021003780/0001558370-21-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1712189/000155837022003403/0001558370-22-003403-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,981000,4011803,6236000,-27478000,-4576000
74,Depreciation and Amortization,30146000,39128000,58902000,65614000,70519000
75,Deferred Income Tax,21878000,10864000,5992000,-8751000,469000
76,Stock Based Compensation,- -,- -,1749000,3606000,5084000
77,Change in Working Capital,-13391000,-259139,359033,-1845000,25251000
78,Accounts Receivable,-6877000,-25908000,7440000,16267000,-2228000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,-225894,-485033,-126000,-1971000,17485000
82,Other Non-Cash Items,1160000,-54382774,-12743033,15635000,7852000
83,Cash Provided by Operating Activities,40774000,-638110,60495000,46781000,104599000
84,CAPEX,-16214000,-79684000,-85173000,-12558000,-35915000
85,Acquisitions Net,-36538000,-200356000,-30000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,250000,- -,- -,- -
88,Other Investing Activites,-77494000,-44960000,2468000,1609000,- -
89,Cash Used for Investing Activites,-130246000,-324750000,-112705000,-10949000,-35915000
90,Debt Repayment,-13827000,-311669000,-54883000,-86081000,-80172000
91,Common Stock Issued,- -,325000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-18241000,-5318000,- -
93,Dividends Paid,- -,-26738000,- -,- -,- -
94,Other Financing Activites,111886000,339293208,119776000,55716000,27901000
95,Cash Used/Provided by Financing Activities,98059000,325886208,46652000,-35683000,-52271000
96,Effect of Forex Changes on Cash,136000,-178000,-54000,-9000,14000
97,Net Change In Cash,8723000,325886208,-5612000,140000,16427000
98,Cash at the End of Period,12533000,498098,6839000,6979000,23406000
99,Cash at the Beginning of Period,3810000,- -,12451000,6839000,6979000
100,Free Cash Flow,24560000,-638110,-24678000,34223000,68684000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1712189/000114420419010762/0001144204-19-010762-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837020002582/0001558370-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1712189/000155837021003780/0001558370-21-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1712189/000155837022003403/0001558370-22-003403-index.htm
102,false,,,,,
