,https://roic.ai/company/CIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,9173954,11516458,20490578,36896000,55052000,72461000,106487000,129484000,156297000,160840000,164041000
2,COGS,3079294,4109993,6021287,15014000,21722000,28414000,42886000,49872000,57316000,58312000,58005000
3,Gross Profit,6094660,7406465,14469291,21882000,33330000,44047000,63601000,79612000,98981000,102528000,106036000
4,Gross Profit Ratio,0.6643,0.6431,0.7061,0.5931,0.6054,0.6079,0.5973,0.6148,0.6333,0.6375,0.6464
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,675865,969503,1057821,3087000,5030000,6538000,6792000,8137000,11066000,10690000,15489000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",675865,969503,1057821,3087000,5030000,6538000,6792000,8137000,11066000,10690000,15489000
9,Other Expenses,3840455,4925768,9161173,14729000,21624000,30178000,41594000,52352000,59159000,60367000,57317000
10,Operating Expenses,4516320,5895271,10218994,17816000,26654000,36716000,48386000,60489000,70225000,71057000,72806000
11,COGS and Expenses,7595614,10005264,16240281,35936000,50525000,72758000,91272000,113858000,127541000,129369000,130811000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2194794,3685881,5368016,7854000,11353000,14761000,20173000,23937000,29726000,26363000,23268000
14,Depreciation and Amortization,3132438,3956204,7775219,14729000,21624000,30178000,41594000,52352000,59159000,60367000,57317000
15,EBITDA,4709786,6046991,9010310,19546000,26386000,44096000,67523000,114457000,90683000,91257000,564980000
16,EBITDA ratio,0.5134,0.5251,0.4397,0.5298,0.4793,0.6085,0.6341,0.8839,0.5802,0.5674,3.4441
17,Operating Income,1578340,1298429,2771005,2615000,4527000,-297000,15215000,15626000,28756000,31471000,33230000
18,Operating Income ratio,0.1720,0.1127,0.1352,0.0709,0.0822,-0.0041,0.1429,0.1207,0.1840,0.1957,0.2026
19,Total Other Income Expenses (Gains),-2247932,-3180004,-6948298,-7525000,-12194000,673000,-6057000,23043000,-26314000,-26342000,452051000
20,Income Before Tax,-669592,-1881575,-4177293,-4910000,-7667000,376000,9158000,38669000,2442000,5129000,485281000
21,Income Before Tax Ratio,-0.0730,-0.1634,-0.2039,-0.1331,-0.1393,0.0052,0.0860,0.2986,0.0156,0.0319,2.9583
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-617446,-1595094,-4132925,-3037000,-6591000,-843000,5756000,38168000,1798000,4527000,484395000
24,Net Income ratio,-0.0673,-0.1385,-0.2017,-0.0823,-0.1197,-0.0116,0.0541,0.2948,0.0115,0.0281,2.9529
25,EPS,-0.08,-0.20,-0.52,-0.59,-0.53,-0.13,-0.05,0.82,-0.13,-0.06,10.97
26,EPS Diluted,-0.08,-0.20,-0.52,-0.59,-0.53,-0.13,-0.05,0.82,-0.13,-0.06,10.80
27,Weighted Average Shares Outstanding,8011130,8011130,8011130,8475697,12409000,20460000,30198000,37321000,43997000,47223000,43498000
28,Weighted Average Shares Outstanding Diluted,8011130,8011130,8011130,8475697,12409000,20460000,30198000,37670000,43997000,47223000,44145000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593222/000119312515102141/d877330d10k.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312516492056/0001193125-16-492056-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312517068549/0001193125-17-068549-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312518065516/0001193125-18-065516-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312519052955/0001193125-19-052955-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312520049035/0001193125-20-049035-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312521055665/0001193125-21-055665-index.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312522053348/0001193125-22-053348-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1467404,3106616,7127764,34862000,8138000,13703000,12301000,16138000,70129000,25305000,21321000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1467404,3106616,7127764,34862000,8138000,13703000,12301000,16138000,70129000,25305000,21321000
34,Net Receivables,4998336,2275774,4680284,7981000,14382000,17257000,20087000,26095000,32112000,32968000,30415000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,268972,2095778,7664696,11925000,16743000,18574000,63153000,37132000,21908000,66700000,20945000
37,Total Current Assets,6734712,7478168,19472744,54768000,39263000,49534000,95541000,79365000,124149000,124973000,72681000
38,PP&E,28730503,42171832,100126486,211828000,354880000,550324000,728067000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,3626586,4002289,14400755,29391000,40990000,56214000,65088000,75501000,67533000,44143000,68925000
41,Intangible Assets,3626586,4002289,14400755,29391000,40990000,56214000,65088000,75501000,67533000,44143000,68925000
42,Investments,5769131,4882753,4337899,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1549852,2481084,5301457,5519000,8467000,5422000,7793000,945565000,1036792000,988176000,1459907000
45,Total Non-Current Assets,39676072,53537958,124166597,246738000,404337000,611960000,800948000,1021066000,1104325000,1032319000,1528832000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46410784,61016126,143639341,301506000,443600000,661494000,896489000,1100431000,1228474000,1157292000,1601513000
48,Accounts Payable,- -,- -,- -,4080000,8745000,12976000,17605000,25892000,28786000,25414000,27101000
49,Short-Term Debt,- -,- -,- -,- -,- -,52500000,33500000,147500000,- -,75000000,142000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000
52,Other Current Liabilities,338405,594080,2997191,3571000,3663000,7521000,10318000,11148000,- -,- -,- -
53,Total Current Liabilities,338405,594080,2997191,7651000,12408000,72997000,61423000,184540000,28786000,100414000,180701000
54,Long-Term Debt,26937795,53256600,109916430,189940000,344671000,317557000,456009000,497854000,607250000,602242000,511648000
55,Deferred Revenue,452196,987066,2850259,4074000,4831000,8179000,7746000,9895000,12251000,12096000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,215670,168518,167346,8606000,7970000,6702000,11479000,9765000,31055000,24665000,38569000
58,Total Non-Current Liabilities,27605661,54412184,112934035,202620000,357472000,332438000,475234000,517514000,650556000,639003000,550217000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,215670,168518,167346,606000,2292000,4302000,8649000,8887000,8194000,- -,- -
61,Total Liabilities,27944066,55006264,115931226,210271000,369880000,405435000,536657000,702054000,679342000,739417000,730918000
62,Preferred Stock,- -,- -,- -,- -,- -,112000000,112000000,112000000,112000000,112000000,112000000
63,Common Stock,- -,- -,- -,123000,125000,244000,360000,395000,545000,433000,435000
64,Retained Earnings,- -,- -,- -,-11320000,-29598000,-53608000,-86977000,-92108000,-142383000,-172958000,275502000
65,Other Comprehensive Income/Loss,-2384106,-4084425,-7735450,-15311000,-26909000,-39052000,-48234000,- -,715000,-1960000,-382000
66,Other Total Stockholders Equity,20850824,10094287,35443565,106619000,122227000,234618000,382475000,377126000,577131000,479411000,482061000
67,Total Stockholders Equity,16902575,6149404,26624375,80111000,65845000,254202000,359624000,397413000,548008000,416926000,869616000
68,Total Liabilities And Stockholders Equity,44846641,61155668,142555601,290382000,435725000,659637000,896281000,1099467000,1227350000,1156343000,1600534000
69,Minority Interest,1564143,-139542,1083740,11124000,7875000,1857000,208000,964000,1124000,949000,979000
70,Total Liabilities & Equity,46410784,61016126,143639341,301506000,443600000,661494000,896489000,1100431000,1228474000,1157292000,1601513000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593222/000119312515102141/d877330d10k.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312516492056/0001193125-16-492056-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312517068549/0001193125-17-068549-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312518065516/0001193125-18-065516-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312519052955/0001193125-19-052955-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312520049035/0001193125-20-049035-index.html,https://www.sec.gov/Archives/edgar/data/1593222/000119312521055665/0001193125-21-055665-index.htm,https://www.sec.gov/Archives/edgar/data/1593222/000119312522053348/0001193125-22-053348-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-617446,-1595094,-4132925,-3037000,-6591000,-843000,5756000,38168000,1798000,4527000,484395000
74,Depreciation and Amortization,3132438,3956204,7775219,14729000,21624000,30178000,41594000,52352000,59159000,60367000,57317000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1091000,1907000,2436000,1671000,1416000,1742000,2332000,2641000
77,Change in Working Capital,-1126556,487781,9591465,30641447,-20262000,-50318000,57581000,-139293000,200538000,-70804000,3525000
78,Accounts Receivable,15913,-242705,-74915,-1986000,-4506000,-4331000,-1647000,-1602000,-1061000,-182000,-654000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,6396307,6884088,16475553,47117000,26855000,-23463000,34118000,-105175000,95363000,24559000,3653000
82,Other Non-Cash Items,-241565,1042126,-11773977,-35637447,17485000,37694000,-70049000,89544000,-213738000,63501000,-474656000
83,Cash Provided by Operating Activities,1146871,3891017,1459782,7787000,14163000,19147000,36553000,42187000,49499000,59923000,73222000
84,CAPEX,-2379478,-17532143,-75208745,-93721000,-172254000,-214702000,-240495000,-193261000,-77996000,- -,- -
85,Acquisitions Net,-6041750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-6041750,- -,-71313835,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5339236,422332,71417080,-859000,-3217000,-2074000,-4289000,-4048000,-3926000,-27803000,-17381000
