,https://roic.ai/company/BKYI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32000,464168,384580,157970,1,- -,155399,524101,5558231,14226095,15193625,9988456,12876047,2357282,3520408,3508804,3835893,1985976,4005856,5261225,2975756,6302984,4044542,2267528,2836782,5114489
2,COGS,14875,390243,1054548,-33194,-137303,- -,2720,89081,2064220,3843633,3396706,1784776,1735141,504235,559141,810459,571733,387028,748750,1279521,729683,3242151,4164190,2461245,794826,1672929
3,Gross Profit,17125,73925,-669968,191164,137304,- -,152679,435020,3494011,10382462,11796919,8203680,11140906,1853047,2961267,2698345,3264160,1598948,3257106,3981704,2246073,3060833,-119648,-193717,2041956,3441560
4,Gross Profit Ratio,0.5352,0.1593,-1.7421,1.2101,137304.0000,- -,0.9825,0.8300,0.6286,0.7298,0.7764,0.8213,0.8652,0.7861,0.8412,0.7690,0.8510,0.8051,0.8131,0.7568,0.7548,0.4856,-0.0296,-0.0854,0.7198,0.6729
5,Research and Development Exp.,386613,563045,1570033,856692,1136245,947932,1084513,1037330,2979904,6846035,6514353,4994799,4488792,927241,1055980,1116658,947371,1344070,1626136,1556025,2008942,1659875,1415401,1331667,1396436,2355056
6,General and Administrative Exp.,422681,2297148,3314701,2151466,1852867,1318465,1926328,2118122,7096088,11824609,10311017,8573863,6553922,3382613,3105291,3036299,2288903,2776559,3670090,1880103,4438950,5676323,5333906,5036820,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2240927,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",422681,2297148,3314701,2151466,1852867,1318465,1926328,2118122,7096088,11824609,10311017,8573863,6553922,3382613,3105291,3036299,2288903,2776559,3670090,4121030,4438950,5676323,5333906,5036820,5848687,6028360
9,Other Expenses,- -,- -,- -,485787,137303,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340819,- -
10,Operating Expenses,809294,2860193,4884734,3493945,3126415,2266397,3010841,3155452,10075992,18670644,16825370,13568662,11042714,4309854,4161271,4152957,3236274,4120629,5296226,5677055,6447892,7336198,6749307,6368487,6904304,8383416
11,COGS and Expenses,824169,3250436,5939282,3460751,2989112,2266397,3013561,3244533,12140212,22514277,20222076,15353438,12777855,4814089,4720412,4963416,3808007,4507657,6044976,6956576,7177575,10578349,10913497,8829732,7699130,1672929
12,Interest Income ,4288,- -,99876,- -,- -,- -,- -,4145,66824,35958,- -,3097,1339,- -,241416,95033,7,7,7,14,30,27,80,154,30649,4075
13,Interest Expense (Gain),35607,- -,496476,- -,141341,317627,1162935,1109786,667008,6548130,5730712,832457,92520,- -,711348,411527,24626,136484,- -,192199,- -,- -,- -,1069134,4343212,18000
14,Depreciation and Amortization,20393,103624,633262,485787,137303,31942,- -,6386,637124,5879089,4140498,1458052,854237,50767,32824,42732,39872,49579,53792,56602,84233,1576486,1613450,1004853,426906,0
15,EBITDA,-767488,-2490190,-4821564,-2942570,-2851809,-2234455,-2857039,-2709901,-5933333,12785284,-1209641,1233285,1065936,4744316,437383,-1443347,67765,-2393283,-1828068,-1607593,-4104559,-2698852,-5255425,-12514713,-4903869,-5047781
16,EBITDA ratio,-23.9840,-5.3648,-12.5372,-18.6274,-2851809.0000,-Infinity,-18.3852,-5.1706,-1.0675,0.8987,-0.0796,0.1235,0.0828,2.0126,0.1242,-0.4114,0.0177,-1.2051,-0.4563,-0.3056,-1.3793,-0.4282,-1.2994,-5.5191,-1.7287,-0.9870
17,Operating Income,-792169,-2786268,-5554702,-3302781,-2989111,-2266397,-2858162,-2720432,-6581981,-8288182,-5028451,-5364982,98192,-2456807,-1200004,-1454612,27886,-2521681,-2039120,-1695351,-4201819,-4275365,-6868955,-13519720,-5203167,-4941856
18,Operating Income ratio,-24.7553,-6.0027,-14.4436,-20.9076,-2989111.0000,-Infinity,-18.3924,-5.1907,-1.1842,-0.5826,-0.3310,-0.5371,0.0076,-1.0422,-0.3409,-0.4146,0.0073,-1.2697,-0.5090,-0.3222,-1.4120,-0.6783,-1.6983,-5.9623,-1.8342,-0.9662
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-317627,-1161812,-1105641,-655484,15158419,-321688,625007,177522,-295885,1020164,-126500,-24619,-57665,157260,-161043,12115,27,80,-1068980,-4470820,-123925
20,Income Before Tax,- -,- -,- -,- -,- -,-2584024,-4019974,-3826073,-7237465,- -,- -,- -,- -,- -,- -,- -,3267,-2579346,-1881860,-1856394,-4189704,-4275338,-6868875,-14588700,-9673987,-5065781
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-25.8687,-7.3003,-1.3021,- -,- -,- -,- -,- -,- -,- -,0.0009,-1.2988,-0.4698,-0.3528,-1.4079,-0.6783,-1.6983,-6.4337,-3.4102,-0.9905
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2805,1712,912,912,- -,- -,- -,- -,- -
23,Net Income,-823488,-2593814,-5951302,-3428357,-3130453,-2283774,-4019974,-3826073,-7237465,358065,-11080851,-1057224,119179,4693549,-306789,-1897606,3267,-2582151,-1883572,-1857306,-4189704,-4275338,-6868875,-14588700,-9673987,-5065781
