,https://roic.ai/company/DASH,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,291000000,885000000,2886000000,4888000000
2,COGS,- -,228000000,523000000,1368000000,2338000000
3,Gross Profit,- -,63000000,362000000,1518000000,2550000000
4,Gross Profit Ratio,- -,0.2165,0.4090,0.5260,0.5217
5,Research and Development Exp.,- -,51000000,107000000,321000000,430000000
6,General and Administrative Exp.,- -,78000000,245000000,556000000,797000000
7,Selling and Marketing Exp.,- -,135000000,594000000,957000000,1619000000
8,"Selling, General and Administrative Exp.",- -,213000000,839000000,1513000000,2416000000
9,Other Expenses,- -,9000000,32000000,120000000,156000000
10,Operating Expenses,- -,273000000,978000000,1954000000,3002000000
11,COGS and Expenses,- -,501000000,1501000000,3322000000,5340000000
12,Interest Income ,- -,7000000,18000000,7000000,3000000
13,Interest Expense (Gain),- -,1000000,- -,32000000,14000000
14,Depreciation and Amortization,- -,9000000,32000000,120000000,156000000
15,EBITDA,- -,-194000000,-634000000,-306000000,-293000000
16,EBITDA ratio,- -,-0.6667,-0.7164,-0.1060,-0.0599
17,Operating Income,- -,-210000000,-616000000,-436000000,-452000000
18,Operating Income ratio,- -,-0.7216,-0.6960,-0.1511,-0.0925
19,Total Other Income Expenses (Gains),- -,6000000,-50000000,-22000000,-11000000
20,Income Before Tax,- -,-204000000,-666000000,-458000000,-463000000
21,Income Before Tax Ratio,- -,-0.7010,-0.7525,-0.1587,-0.0947
22,Income Tax expense (Gain),- -,- -,1000000,3000000,5000000
23,Net Income,- -,-204000000,-667000000,-461000000,-468000000
24,Net Income ratio,- -,-0.7010,-0.7537,-0.1597,-0.0957
25,EPS,- -,-0.73,-2.57,-7.39,-1.39
26,EPS Diluted,- -,-0.73,-2.57,-7.39,-1.39
27,Weighted Average Shares Outstanding,- -,283145000,259956000,62390000,336847000
28,Weighted Average Shares Outstanding Diluted,- -,283145000,259956000,62390000,336847000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792789/000162828022004350/0001628280-22-004350-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,215000000,257000000,4345000000,2504000000
32,Short-Term Investments,- -,255000000,508000000,514000000,1253000000
33,Cash and Short-Term Investments,- -,470000000,765000000,4859000000,3757000000
34,Net Receivables,- -,19000000,58000000,291000000,349000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,80000000,175000000,367000000,459000000
37,Total Current Assets,- -,569000000,998000000,5517000000,4565000000
38,PP&E,- -,21000000,267000000,413000000,738000000
39,Goodwill,- -,- -,306000000,316000000,316000000
40,Intangible Assets,- -,- -,103000000,74000000,61000000
41,Intangible Assets,- -,- -,409000000,390000000,377000000
42,Investments,- -,86000000,- -,- -,1059000000
43,Tax Assets,- -,- -,- -,- -,- -
