,https://roic.ai/company/INVU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,- -,- -,- -,- -,- -,- -,97543,971520,2587352,1141687,2012017,2177192,1660271,1048451,709229,353926,131465,17917432,29659081,24183590,38272161
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,1028605,2431115,918159,704200,710980,497814,57582,81841,43484,3257,6713097,1180671,2507071,7591019
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,-57085,156237,223528,1307817,1466212,1162457,990869,627388,310442,128208,11204335,28478410,21676519,30681142
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0588,0.0604,0.1958,0.6500,0.6734,0.7002,0.9451,0.8846,0.8771,0.9752,0.6253,0.9602,0.8963,0.8017
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7154338,10014004,15509187,13964047
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454225,878936,1696133,891198
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,5600307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7608563,10892940,17205320,14855245
9,Other Expenses,73726,59148,- -,- -,- -,- -,- -,985,4960215,6995354,5671770,6347354,6321777,8496354,3978372,5536771,1975255,980579,14271926,21526326,13564618,14450425
10,Operating Expenses,73726,59148,- -,- -,- -,- -,- -,5601292,4960215,6995354,5671770,6347354,6321777,8496354,3978372,5536771,1975255,980579,21880489,32419266,30769938,29305670
11,COGS and Expenses,73726,59148,68352,51700,178107,914524,- -,5601292,5988821,9426469,6589929,7051554,7743737,9491982,4217128,5700453,2062223,987093,35306683,34780608,35784080,36896689
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1947635,999001,3443715,2387597,- -,- -,- -,- -,648573,179081,1862461,10677768,6647217
14,Depreciation and Amortization,232,- -,- -,- -,- -,- -,- -,985,198725,1394752,937781,785362,210869,371472,-613037,80488,-292551,-310484,2639,395047,897805,2415087
15,EBITDA,-149526,-59148,-68352,-51700,-227061,-863073,- -,-5750039,-7175684,-32671985,-5162290,-5745199,-6510927,-8959838,-4662743,-9341864,-2396981,2091755,-14706707,-2791355,-9702235,9777670
