,https://roic.ai/company/ACMR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,31206000,27371000,36506000,74643000,107524000,156624000,259751000
2,COGS,17085000,14042000,19281000,40194000,56870000,87025000,144895000
3,Gross Profit,14121000,13329000,17225000,34449000,50654000,69599000,114856000
4,Gross Profit Ratio,0.4525,0.4870,0.4718,0.4615,0.4711,0.4444,0.4422
5,Research and Development Exp.,2942000,3259000,5138000,10380000,12900000,19119000,34207000
6,General and Administrative Exp.,2103000,2673000,5887000,7987000,8061000,12215000,15214000
7,Selling and Marketing Exp.,4213000,3907000,5500000,9611000,11902000,16773000,26733000
8,"Selling, General and Administrative Exp.",6316000,6580000,11387000,17598000,19963000,28988000,41947000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9258000,9839000,16525000,27978000,32863000,48107000,76154000
11,COGS and Expenses,26343000,23881000,35806000,68172000,89733000,135132000,221049000
12,Interest Income ,17000,16000,9000,29000,333000,897000,505000
13,Interest Expense (Gain),122000,181000,277000,498000,745000,982000,765000
14,Depreciation and Amortization,160000,187000,271000,417000,788000,1055000,2353000
15,EBITDA,3137000,1994000,777000,8295000,19909000,18435000,41009000
16,EBITDA ratio,0.1005,0.0729,0.0213,0.1111,0.1852,0.1177,0.1579
17,Operating Income,4863000,3490000,700000,6471000,17791000,21492000,38702000
18,Operating Income ratio,0.1558,0.1275,0.0192,0.0867,0.1655,0.1372,0.1490
19,Total Other Income Expenses (Gains),527000,-508000,-1025000,909000,1149000,-2197000,4353000
20,Income Before Tax,5390000,2982000,-325000,7380000,18940000,19295000,43055000
21,Income Before Tax Ratio,0.1727,0.1089,-0.0089,0.0989,0.1761,0.1232,0.1658
22,Income Tax expense (Gain),-2525000,595000,547000,806000,-518000,-2382000,134000
23,Net Income,5380000,1031000,-318000,6574000,18894000,18780000,37757000
24,Net Income ratio,0.1724,0.0377,-0.0087,0.0881,0.1757,0.1199,0.1454
25,EPS,0.35,0.07,-0.02,0.14,0.37,0.34,0.69
26,EPS Diluted,0.27,0.05,-0.02,0.12,0.33,0.30,0.59
27,Weighted Average Shares Outstanding,15411633,15411633,20596170,47365380,50401869,54700083,54700083
28,Weighted Average Shares Outstanding Diluted,20259099,20259099,20596170,53736315,57406491,63550407,63550407
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680062/000165495418002950/0001654954-18-002950-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000165495419002737/0001654954-19-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036120006743/0001140361-20-006743-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036121006683/0001140361-21-006683-index.htm,https://www.sec.gov/Archives/edgar/data/1680062/000114036122007348/0001140361-22-007348-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,4401000,10119000,17681000,27124000,58261000,71766000,563067000
32,Short-Term Investments,- -,- -,- -,- -,- -,28239000,29498000
33,Cash and Short-Term Investments,4401000,10119000,17681000,27124000,58261000,100005000,592565000
34,Net Receivables,13294000,17789000,29253000,28155000,33694000,66120000,125614000
35,Inventory,9146000,11666000,15388000,38764000,44796000,88639000,218116000
36,Other Current Assets,1107000,773000,592000,1985000,61645000,5892000,16639000
37,Total Current Assets,27948000,40347000,62914000,96028000,198396000,260656000,952934000
38,PP&E,1770000,2262000,2340000,3708000,7506000,12489000,18224000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1000,17000,106000,274000,344000,10200000,10144000
41,Intangible Assets,1000,17000,106000,274000,344000,10200000,10144000
42,Investments,- -,- -,1237000,1360000,5934000,6340000,12694000
43,Tax Assets,2432000,1841000,1294000,1637000,5331000,11076000,13166000
44,Other Non-Current Assets,- -,- -,- -,40000,192000,40496000,45017000
