,https://roic.ai/company/CODI-PC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,410873000,917903000,1538473000,1248740000,1657609000,777538000,884721000,985539000,982300000,805384000,978309000,1269729000,1691673000,1450253000,1560757000,1841668000
2,COGS,- -,311641000,673710000,1196206000,976991000,1302202000,523967000,605867000,679708000,688631000,551511000,651739000,822020000,1117485000,930810000,997976000,1115711000
3,Gross Profit,- -,99232000,244193000,342267000,271749000,355407000,253571000,278854000,305831000,293669000,253873000,326570000,447709000,574188000,519443000,562781000,725957000
4,Gross Profit Ratio,- -,0.2415,0.2660,0.2225,0.2176,0.2144,0.3261,0.3152,0.3103,0.2990,0.3152,0.3338,0.3526,0.3394,0.3582,0.3606,0.3942
5,Research and Development Exp.,- -,1806000,1455000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,231998000,308300000,- -,178774000,186370000,204405000,172965000,247236000,351177000,436794000,369908000,406013000,506147000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,231998000,308300000,- -,178774000,186370000,204405000,172965000,247236000,351177000,436794000,369908000,406013000,506147000
9,Other Expenses,- -,104683000,209763000,314398000,24609000,29312000,225562000,30268000,29632000,33606000,30529000,35069000,52003000,68076000,56458000,61935000,80307000
10,Operating Expenses,- -,106489000,211218000,314398000,256607000,337612000,225562000,209042000,216002000,238011000,203494000,282305000,403180000,504870000,426366000,467948000,586454000
11,COGS and Expenses,1000,418130000,884928000,1510604000,1233598000,1639814000,749529000,814909000,895710000,926642000,755005000,934044000,1225200000,1622355000,1357176000,1465924000,1702165000
12,Interest Income ,- -,807000,- -,- -,1178000,20000,33000,54000,39000,- -,- -,- -,- -,- -,- -,476000,96000
