,https://roic.ai/company/WTTR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,535577000,302399000,692491000,1528930000,1291589000,605105000,764620000
2,COGS,523332000,346527000,634711000,1330448000,1142849000,634370000,743760000
3,Gross Profit,12245000,-44128000,57780000,198482000,148740000,-29265000,20860000
4,Gross Profit Ratio,0.0229,-0.1459,0.0834,0.1298,0.1152,-0.0484,0.0273
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,56548000,54066000,82403000,103156000,111622000,74364000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",56548000,54066000,82403000,103156000,111622000,74364000,83076000
9,Other Expenses,3104000,-17336000,5376000,7101000,5933000,291148000,2430000
10,Operating Expenses,59652000,36730000,87779000,110257000,117555000,365512000,85506000
11,COGS and Expenses,582984000,383257000,722490000,1440705000,1260404000,999882000,829266000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),13689000,16128000,6629000,5311000,2688000,2136000,1711000
14,Depreciation and Amortization,107712000,97107000,103449000,133713000,120669000,101672,92458000
15,EBITDA,-44303000,111668000,92411000,177240000,128090000,-400970328,52091000
16,EBITDA ratio,-0.0827,0.3693,0.1334,0.1159,0.0992,-0.6626,0.0681
17,Operating Income,-68773000,-298973000,-29999000,61674000,23074000,-394777000,-65540000
18,Operating Income ratio,-0.1284,-0.9887,-0.0433,0.0403,0.0179,-0.6524,-0.0857
19,Total Other Income Expenses (Gains),-12796000,-15499000,-5979000,-5671000,-16989000,-8431000,15881000
20,Income Before Tax,-81569000,-314472000,-35978000,56003000,6085000,-403208000,-49659000
21,Income Before Tax Ratio,-0.1523,-1.0399,-0.0520,0.0366,0.0047,-0.6663,-0.0649
22,Income Tax expense (Gain),324000,-524000,-851000,1704000,1949000,1476000,147000
23,Net Income,- -,-1043000,-16816000,36512000,2784000,-404684000,-42225000
24,Net Income ratio,- -,-0.0034,-0.0243,0.0239,0.0022,-0.6688,-0.0552
25,EPS,- -,-0.01,-0.51,0.49,0.03,-3.98,-0.50
26,EPS Diluted,- -,-0.01,-0.51,0.49,0.03,-3.98,-0.50
27,Weighted Average Shares Outstanding,58432735,67340511,32953431,105994331,92800000,85096482,85096482
28,Weighted Average Shares Outstanding Diluted,67340511,67340511,32953431,106233160,92800000,85096482,85096482
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1693256/000155837018002250/0001558370-18-002250-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837019001424/0001558370-19-001424-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837020001327/0001558370-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837021001620/0001558370-21-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1693256/000155837022001752/0001558370-22-001752-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,16305000,40041000,2774000,17237000,79268000,169039000,85801000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16305000,40041000,2774000,17237000,79268000,169039000,85801000
34,Net Receivables,79703000,76027000,381302000,342830000,272305000,129392000,233043000
35,Inventory,701000,1001000,44598000,44992000,37542000,33384000,44456000
36,Other Current Assets,10408000,7586000,17842000,27093000,26486000,19690000,31486000
37,Total Current Assets,107117000,124655000,446516000,432152000,415601000,351505000,394786000
38,PP&E,368692000,248867000,474109000,502848000,523028000,878902000,439520000
39,Goodwill,150771000,12242000,273421000,273801000,266934000,- -,- -
40,Intangible Assets,19840000,11586000,156066000,148377000,136952000,116079000,108472000
41,Intangible Assets,170611000,23828000,429487000,422178000,403886000,116079000,108472000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3828000,7716000,6256000,3427000,5105000,-471127000,7414000
45,Total Non-Current Assets,543131000,280411000,909852000,928453000,932019000,523854000,555406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,650248000,405066000,1356368000,1360605000,1347620000,875359000,950192000
48,Accounts Payable,9857000,11444000,55351000,121439000,86022000,12995000,90039000
49,Short-Term Debt,22305000,- -,1965000,938000,19443000,14326000,14110000
50,Tax Payable,- -,- -,12931000,5820000,2119000,1415000,2706000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,33388000,34940000,127877000,57342000,46416000,61437000,57891000
53,Total Current Liabilities,65550000,46384000,185193000,179719000,151881000,88758000,162040000
54,Long-Term Debt,245341000,- -,75000000,45000000,- -,- -,53198000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,11582000,23974000,32806000,25113000,82927000,19735000,39780000
58,Total Non-Current Liabilities,256923000,23974000,107806000,70113000,82927000,19735000,92978000
59,Other Liabilities,- -,- -,- -,- -,- -,100454000,- -
60,Capital Lease Obligations,- -,15946000,20944000,17690000,91586000,75310000,67308000
61,Total Liabilities,322473000,70358000,292999000,249832000,234808000,169477000,255018000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,317154000,584000,1063000,1050000,1041000,868000,1104000
64,Retained Earnings,- -,-1043000,-17859000,18653000,21437000,-317247000,-359472000
65,Other Comprehensive Income/Loss,-367726000,-490519000,302000,-368000,- -,- -,- -
66,Other Total Stockholders Equity,367726000,603694000,673141000,813599000,914699000,909440000,950464000
67,Total Stockholders Equity,317154000,112716000,656647000,832934000,937177000,593061000,592096000
68,Total Liabilities And Stockholders Equity,639627000,183074000,949646000,1082766000,1171985000,762538000,847114000
69,Minority Interest,10621000,221992000,406722000,277839000,175635000,112821000,103078000
70,Total Liabilities & Equity,650248000,405066000,1356368000,1360605000,1347620000,875359000,950192000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1693256/000155837018002250/0001558370-18-002250-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837019001424/0001558370-19-001424-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837020001327/0001558370-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837021001620/0001558370-21-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1693256/000155837022001752/0001558370-22-001752-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-1043000,-16816000,36512000,2784000,-404684000,-42225000
74,Depreciation and Amortization,107712000,97107000,103449000,133713000,120669000,101672,92458000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,692000,317000,7691000,10371000,15485000,5764,9469000
77,Change in Working Capital,102474000,36704000,183052000,-8890000,11287000,-973000,-52489000
78,Accounts Receivable,140426000,1290000,-100485000,36537000,57908000,142873,-80127000
79,Inventory,- -,- -,- -,- -,- -,852,- -
80,Accounts Payable,- -,- -,- -,-20771000,- -,- -,- -
81,Other Working Capital,41567000,78271000,261323000,252433000,263720000,262747000,- -
82,Other Non-Cash Items,-58879000,-127954000,-280275000,60703000,53723000,405655374,-23461000
83,Cash Provided by Operating Activities,151999000,5131000,-2899000,232409000,203948000,105810,-16248000
84,CAPEX,-54076000,-36290000,-98722000,-165360000,-110143000,7910,-39994000
85,Acquisitions Net,400000,- -,-65488000,-16999000,14872000,197000,-36940000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,830000,- -,- -,- -,- -,- -,730000
88,Other Investing Activites,-39933000,-26955000,7479000,13998000,17914000,-5597910,11748000
89,Cash Used for Investing Activites,-38703000,-26955000,-156731000,-168361000,-77357000,-5393000,-64456000
90,Debt Repayment,-107000000,-298000000,-111000000,-91881000,-50883000,-264,-320000
91,Common Stock Issued,- -,297248000,140070000,762000,142000,- -,58000
92,Common Stock Repurchased,- -,- -,-297000,-16562000,-18600000,-10876,-1206000
93,Dividends Paid,-4248000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3900000,46312000,93624000,58388000,4651000,-10698860,-1074000
95,Cash Used/Provided by Financing Activities,-107348000,45560000,122397000,-49293000,-64690000,-10710000,-2542000
96,Effect of Forex Changes on Cash,75000,- -,-34000,-292000,130000,64000,8000
97,Net Change In Cash,6023000,23736000,-37267000,14463000,62031000,89771,-83238000
98,Cash at the End of Period,16305000,40041000,2774000,17237000,79268000,169039,85801000
99,Cash at the Beginning of Period,10282000,16305000,40041000,2774000,17237000,79268,169039000
100,Free Cash Flow,97923000,-31159000,-101621000,67049000,93805000,113720,-56242000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1693256/000155837018002250/0001558370-18-002250-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837019001424/0001558370-19-001424-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837020001327/0001558370-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1693256/000155837021001620/0001558370-21-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1693256/000155837022001752/0001558370-22-001752-index.htm
102,false,,,,,,,
