,https://roic.ai/company/DKNG,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,191844000,226277000,323410000,614532000,1296025000
2,COGS,31750000,48689000,103889000,346589000,794162000
3,Gross Profit,160094000,177588000,219521000,267943000,501863000
4,Gross Profit Ratio,0.8345,0.7848,0.6788,0.4360,0.3872
5,Research and Development Exp.,- -,- -,- -,- -,253655000
6,General and Administrative Exp.,76660000,108789000,180797000,616007000,828325000
7,Selling and Marketing Exp.,156632000,145580000,185269000,495192000,981500000
8,"Selling, General and Administrative Exp.",233292000,254369000,366066000,1111199000,1809825000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,233292000,254369000,366066000,1111199000,2063480000
11,COGS and Expenses,265042000,303058000,469955000,1457788000,2857642000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,6301000,7499000,13636000,77410000,121138000
15,EBITDA,-69045000,-68616000,-129040000,-767482000,-1393788000
16,EBITDA ratio,-0.3599,-0.3032,-0.3990,-1.2489,-1.0754
17,Operating Income,-73198000,-76781000,-146545000,-843256000,-1561617000
18,Operating Income ratio,-0.3815,-0.3393,-0.4531,-1.3722,-1.2049
19,Total Other Income Expenses (Gains),-2148000,666000,4348000,-1070000,43973000
20,Income Before Tax,-75346000,-76115000,-142197000,-844326000,-1517644000
21,Income Before Tax Ratio,-0.3927,-0.3364,-0.4397,-1.3739,-1.1710
22,Income Tax expense (Gain),210000,105000,58000,-622000,8269000
23,Net Income,-75556000,-76220000,-142734000,-844270000,-1523195000
24,Net Income ratio,-0.3938,-0.3368,-0.4413,-1.3738,-1.1753
25,EPS,-0.42,-0.41,-0.78,-2.76,-3.78
26,EPS Diluted,-0.42,-0.41,-0.78,-2.76,-3.78
27,Weighted Average Shares Outstanding,184603000,184603000,184603000,305593000,403844000
28,Weighted Average Shares Outstanding Diluted,184603000,184603000,184603000,305593000,403844000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1772757/000110465920032113/0001104659-20-032113-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000110465921028617/0001104659-21-028617-index.htm,https://www.sec.gov/Archives/edgar/data/1772757/000177275722000007/0001772757-22-000007-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,117908000,76533000,1817258000,2152892000
32,Short-Term Investments,- -,- -,403961209,2955000,- -
33,Cash and Short-Term Investments,- -,117908000,480494209,1820213000,2152892000
34,Net Receivables,- -,21334000,19828000,74771000,97813000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,122931000,-239174209,299321000,502625000
