,https://roic.ai/company/EGRX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2539000,13678903,19099000,66227000,189482000,236707000,213312000,195892000,187802000,171546000
2,COGS,3166000,7380825,11714000,15647000,55306000,57186000,61916000,60897000,45465000,42180000
3,Gross Profit,-627000,6298078,7385000,50580000,134176000,179521000,151396000,134995000,142337000,129366000
4,Gross Profit Ratio,-0.2469,0.4604,0.3867,0.7637,0.7081,0.7584,0.7097,0.6891,0.7579,0.7541
5,Research and Development Exp.,12805000,9795542,16816000,27855000,30262000,32607000,44419000,36810000,30785000,51275000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,73066000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,20165000,- -,73066000,- -,- -,- -,75322000
9,Other Expenses,6399000,4957660,9326000,- -,52313000,-1650000,60509000,76370000,78598000,42180000
10,Operating Expenses,19204000,14753202,26142000,48020000,82575000,104023000,104928000,113180000,109383000,168777000
11,COGS and Expenses,22370000,22134027,37856000,63667000,137881000,161209000,166844000,174077000,154848000,210957000
12,Interest Income ,34000,3212,31000,25000,84000,91000,158000,2169000,562000,560000
13,Interest Expense (Gain),309000,1399999,8000,11000,8000,1136000,2736000,2686000,2577000,-1635000
14,Depreciation and Amortization,240000,134994,104000,112000,1589000,3747000,3670000,4651000,4766000,3760000
15,EBITDA,-19615000,-5412183,-19160000,2697000,55024000,77828000,40444000,29335000,30020000,-2423000
16,EBITDA ratio,-7.7255,-0.3957,-1.0032,0.0407,0.2904,0.3288,0.1896,0.1498,0.1598,-0.0141
17,Operating Income,-19831000,-8455124,-18757000,2560000,53351000,73990000,36616000,21815000,32954000,2769000
18,Operating Income ratio,-7.8106,-0.6181,-0.9821,0.0387,0.2816,0.3126,0.1717,0.1114,0.1755,0.0161
19,Total Other Income Expenses (Gains),-333000,1507948,-515000,14000,76000,-1045000,-2578000,183000,-10277000,-7317000
20,Income Before Tax,-20164000,-6947176,-19272000,2574000,53427000,72945000,34038000,21998000,22677000,-4548000
21,Income Before Tax Ratio,-7.9417,-0.5079,-1.0091,0.0389,0.2820,0.3082,0.1596,0.1123,0.1207,-0.0265
22,Income Tax expense (Gain),-781000,-898703,-1295000,3000,-28026000,21002000,2135000,7685000,10688000,-4079000
23,Net Income,-19383000,-6048473,-17977000,2571000,81453000,51943000,31903000,14313000,11989000,-469000
24,Net Income ratio,-7.6341,-0.4422,-0.9413,0.0388,0.4299,0.2194,0.1496,0.0731,0.0638,-0.0027
25,EPS,-2.21,-0.63,-1.97,0.17,5.24,3.44,2.16,1.04,0.89,-0.04
26,EPS Diluted,-2.21,-0.63,-1.97,0.16,4.96,3.27,2.09,1.01,0.87,-0.04
27,Weighted Average Shares Outstanding,10568742,9646934,9955937,15250154,15533681,15102890,14768625,13754516,13481525,13077298
28,Weighted Average Shares Outstanding Diluted,10568742,9646934,9955937,16253781,16434104,15908211,15278651,14138733,13771393,13077298
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787114000015/0000827871-14-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/827871/000082787117000002/0000827871-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787118000003/0000827871-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787119000008/0000827871-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787120000007/0000827871-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787121000011/0000827871-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827871/000082787122000008/0000827871-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5066886,10455565,22722000,79083000,52820000,114657000,78791000,109775000,103155000,97659000
32,Short-Term Investments,1500000,- -,19999000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6566886,10455565,42721000,79083000,52820000,114657000,78791000,109775000,103155000,97659000
34,Net Receivables,1580845,5124182,7296000,26267000,42194000,53821000,66486000,48004000,51117000,41149000
35,Inventory,86881,- -,1294000,15042000,2739000,5118000,8304000,6566000,8075000,21908000
36,Other Current Assets,630385,1902660,1711000,1865000,11357000,15101000,10263000,15104000,3718000,11890000
37,Total Current Assets,8864997,17482407,53022000,122257000,109110000,188697000,163844000,179449000,166065000,172606000
38,PP&E,496731,402286,344000,2205000,3316000,6820000,2397000,2202000,2077000,1636000
39,Goodwill,- -,- -,- -,- -,39743000,39743000,39743000,39743000,39743000,39743000
40,Intangible Assets,- -,- -,- -,- -,33372000,23322000,18103000,15583000,12917000,10671000
41,Intangible Assets,- -,- -,- -,- -,73115000,63065000,57846000,55326000,52660000,50414000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,28643000,11354000,13822000,13669000,15180000,18798000
44,Other Non-Current Assets,76320,217927,45000,143000,136000,124000,694000,3908000,17208000,10278000
45,Total Non-Current Assets,573051,620213,389000,2348000,105210000,81363000,74759000,75105000,87125000,81126000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9438048,18102620,53411000,124605000,214320000,270060000,238603000,254554000,253190000,253732000
48,Accounts Payable,1443838,1192600,4059000,3857000,14716000,11981000,9917000,5462000,6268000,16431000
