,https://roic.ai/company/NTZ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,243321015,347141322,411714489,452514304,546999453,590893380,563478930,689951520,779993540,805871457,768235935,752876946,669417094,735438160,635401628,666026000,515352000,518634000,486364000,468844000,449109000,461400000,488476000,457218000,449586000,428539000,386962000,328343000
2,COGS,140436107,216912360,264545472,295435919,357272370,370224972,325963120,426960740,515874690,517890594,507875881,484243397,459143377,490562602,461314790,478770000,329742000,321501000,326068000,313847000,317299000,333173000,330549000,300306000,311485000,308250000,271931000,225151000
3,Gross Profit,102884908,130228962,147169017,157078385,189727083,220668408,237515810,262990780,264118850,287980863,260360055,268633549,210273717,244875558,174086838,187256000,185610000,197133000,160296000,154997000,131810000,128227000,157927000,156912000,138101000,120289000,115031000,103192000
4,Gross Profit Ratio,0.4228,0.3751,0.3575,0.3471,0.3469,0.3734,0.4215,0.3812,0.3386,0.3574,0.3389,0.3568,0.3141,0.3330,0.2740,0.2812,0.3602,0.3801,0.3296,0.3306,0.2935,0.2779,0.3233,0.3432,0.3072,0.2807,0.2973,0.3143
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49914000,46585000,42468000,139645000,68036000,65848000,64116000,59165000,60775000,32106000,32021000,30343000,24057000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172338000,149596000,154267000,36722000,92279000,84939000,92135000,97004000,88033000,131134000,114997000,105250000,84518000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222252000,196181000,196735000,176367000,160315000,150787000,156251000,156169000,148808000,163240000,147018000,135593000,108575000
9,Other Expenses,58074408,82279914,93979155,103888671,119727153,129263256,117267220,136286720,167462590,186077875,218105748,228685964,224953735,228401862,223274005,- -,- -,- -,11221000,11157000,10087000,7200000,7542000,6407000,3999000,-2016000,-463000,3420000
10,Operating Expenses,58074408,82279914,93979155,103888671,119727153,129263256,117267220,136286720,167462590,186077875,218105748,228685964,224953735,228401862,223274005,222252000,196181000,196735000,187588000,171472000,160874000,163451000,163711000,155215000,167239000,145002000,135130000,111995000
11,COGS and Expenses,198510515,299192274,358524627,399324590,476999523,499488228,443230340,563247460,683337280,703968469,725981629,712929361,684097112,718964464,684588795,701022000,525923000,518236000,513656000,485319000,478173000,496624000,494260000,455521000,478724000,453252000,407061000,337146000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,5619550,- -,1697636,1374298,1855793,3608877,3562409,1614000,482000,576000,1373000,1561000,1348000,952000,696000,688000,1252000,379000,400000,317000
13,Interest Expense (Gain),7707406,2609472,2027766,1365899,- -,1108458,- -,- -,3371730,- -,1314914,1959278,1801758,2076828,1886828,1855000,1624000,1575000,1860000,1719000,1895000,2815000,3986000,4791000,6041000,3796000,5930000,5962000
14,Depreciation and Amortization,4122566,6686772,7721109,9963028,11272716,13216230,9937900,10647400,13486920,16881864,27173295,34043194,33016743,30281081,30378554,31086000,26565000,23419000,18999000,17033000,16561000,14240000,13728000,12972000,12823000,11064000,25113000,24165000
15,EBITDA,51980180,56756016,65902395,88622741,87636276,117155484,112298270,114991920,113514910,133421518,74209250,71979126,23313088,51782050,-19075416,-27441000,20305000,20868000,10157000,-3181000,-45984000,-30493000,1802000,15915000,-9959000,55578000,8000,9790000
16,EBITDA ratio,0.2136,0.1635,0.1601,0.1958,0.1602,0.1983,0.1993,0.1667,0.1455,0.1656,0.0966,0.0956,0.0348,0.0704,-0.0300,-0.0412,0.0394,0.0402,0.0209,-0.0068,-0.1024,-0.0661,0.0037,0.0348,-0.0222,0.1297,0.0000,0.0298
17,Operating Income,44810500,47949048,53189862,53189714,69999930,91405152,120248590,126704060,96656260,101902035,42254306,39948323,-14679174,16473696,-49187167,-34996000,-10571000,398000,-27292000,-17282000,-32329000,-36958000,-7629000,-408000,-29138000,-25458000,-22488000,-10605000
18,Operating Income ratio,0.1842,0.1381,0.1292,0.1175,0.1280,0.1547,0.2134,0.1836,0.1239,0.1264,0.0550,0.0531,-0.0219,0.0224,-0.0774,-0.0525,-0.0205,0.0008,-0.0561,-0.0369,-0.0720,-0.0801,-0.0156,-0.0009,-0.0648,-0.0594,-0.0581,-0.0323
19,Total Other Income Expenses (Gains),-4660292,-489276,2963658,24104100,6363630,11425644,-17888220,-22359540,- -,14637619,3624747,-3889049,2958462,2847399,-2650202,-25818000,3121000,-4427000,17299000,-4577000,-31900000,-10573000,-8251000,-1821000,-138000,66006000,-8857000,-9960000
20,Income Before Tax,40150208,47459772,56153520,77293814,76363560,102830796,102360370,104344520,96656260,116539654,45879053,36059274,-11720711,19321095,-51837369,-60814000,-7450000,-4029000,-9993000,-21859000,-64229000,-47531000,-15880000,-2229000,-29276000,40548000,-31345000,-20565000
21,Income Before Tax Ratio,0.1650,0.1367,0.1364,0.1708,0.1396,0.1740,0.1817,0.1512,0.1239,0.1446,0.0597,0.0479,-0.0175,0.0263,-0.0816,-0.0913,-0.0145,-0.0078,-0.0205,-0.0466,-0.1430,-0.1030,-0.0325,-0.0049,-0.0651,0.0946,-0.0810,-0.0626
22,Income Tax expense (Gain),7080059,8970060,9124947,15105236,22727250,25665066,19875800,25553760,21354290,25019274,8485799,17637191,3107905,7085159,11404646,1556000,9802000,6952000,8884000,4171000,4136000,1809000,572000,4241000,2576000,7429000,2335000,4341000
23,Net Income,33070149,38489712,47028573,62188578,53636310,77165730,82484570,78790760,75301970,91520380,37235243,18339462,-14613317,12338982,-62745445,-61938000,-17686000,-11078000,-19586000,-26104000,-68576000,-49357000,-16484000,-6089000,-31399000,33289000,-33370000,-24678000
24,Net Income ratio,0.1359,0.1109,0.1142,0.1374,0.0981,0.1306,0.1464,0.1142,0.0965,0.1136,0.0485,0.0244,-0.0218,0.0168,-0.0987,-0.0930,-0.0343,-0.0214,-0.0403,-0.0557,-0.1527,-0.1070,-0.0337,-0.0133,-0.0698,0.0777,-0.0862,-0.0752
25,EPS,2.96,3.42,4.17,5.46,4.71,6.29,7.14,6.93,6.88,8.35,3.41,1.70,-1.34,1.15,-5.72,-5.65,-1.60,-1.00,-1.80,-2.50,-6.25,-4.50,-1.50,-0.55,-2.85,3.05,-3.05,-2.25
26,EPS Diluted,2.96,3.42,4.17,5.46,4.67,6.29,7.14,6.93,6.88,8.35,3.41,1.70,-1.34,1.15,-5.72,-5.65,-1.60,-1.00,-1.80,-2.50,-6.25,-4.50,-1.50,-0.55,-2.85,3.05,-3.05,-2.25
27,Weighted Average Shares Outstanding,11181818,11238095,11271028,11382345,11375760,11444604,11493778,11417478,10952992,10960063,10934583,10758961,10869162,10738897,10977477,10970129,10964855,11100000,10888889,10440000,10976000,10977778,10970609,11090909,11017544,10918033,10950820,10970609
28,Weighted Average Shares Outstanding Diluted,11181818,11238095,11271028,11382345,11467502,11450570,11493778,11417478,10952992,10960063,10936326,10758961,10869162,10738897,10977477,10970129,10964855,11100000,10888889,10440000,10976000,10977778,10970609,11090909,11017544,10918033,10950820,10970609
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/900391/000095012305008016/y10406e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012306008461/y22510e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231007001204/c70715e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000136231008003471/c73762e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012309018340/c87236e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012310062014/c02894e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000095012311062959/c19374e20vf.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312512195800/d344599d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312513187562/d524847d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312514170846/d717770d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312515160988/d915046d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312516598629/d190845d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312517150051/d375230d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312518143394/d572080d20f.htm,https://www.sec.gov/Archives/edgar/data/900391/000119312519129401/d618843d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15773296,17124660,20979579,67812868,123181695,151432416,160993980,94761860,206799440,96782680,63454113,87275658,89654746,128108710,87596573,47307000,66330000,61094000,94040000,77713000,61033000,32848000,52469000,64981000,55035000,62131000,39799000,48187000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25730,4764,5164,5066,5304,4115,4000,4000,4000,4000,4000,4000,4000,5000,6000,6000,- -,- -,- -
33,Cash and Short-Term Investments,15773296,17124660,20979579,67812868,123181695,151432416,160993980,94761860,206799440,96808410,63458878,87280822,89659812,128114014,87600688,47311000,66334000,61098000,94044000,77717000,61037000,32852000,52474000,64987000,55041000,62131000,39799000,48187000
