,https://roic.ai/company/WAVD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15696896,11218845,8080549,15332358,9600000,5770641,6086474,5818139,5368637,9308909,10771874,9459381,9953284,6693453,6711374,6859942,7820775,7057553,7478384,5783467,6214585,6728793,10640603,8933775,10164981,13903071
2,COGS,12735595,8935622,5707061,12687290,6300000,3934955,4583931,4040207,4312256,7336796,8308285,7023327,7661766,5017074,4555300,4474153,5378521,4646571,5218930,3395922,3842032,4906131,8225174,6790937,8765002,11693738
3,Gross Profit,2961301,2283223,2373488,2645068,3300000,1835686,1502543,1777932,1056381,1972113,2463589,2436054,2291518,1676379,2156074,2385789,2442254,2410982,2259454,2387545,2372553,1822662,2415429,2142838,1399979,2209333
4,Gross Profit Ratio,0.1887,0.2035,0.2937,0.1725,0.3438,0.3181,0.2469,0.3056,0.1968,0.2119,0.2287,0.2575,0.2302,0.2505,0.3213,0.3478,0.3123,0.3416,0.3021,0.4128,0.3818,0.2709,0.2270,0.2399,0.1377,0.1589
5,Research and Development Exp.,- -,- -,182149,1680818,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1540903,1564370,1685156,1655037,1687449,1748330,2386116,- -,1745320,1875255,1504077
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,707959,729075,631698,673643,739929,556099,506908,- -,459863,252511,293408
8,"Selling, General and Administrative Exp.",2958722,2496591,3791051,6974211,3800000,2231056,1681479,1743090,1262127,1655591,1715089,1928566,2100118,2068983,2001908,2248862,2293445,2316854,2328680,2427378,2304429,2893024,2177655,2205183,2127766,1797485
9,Other Expenses,- -,- -,- -,- -,1400000,343032,- -,- -,- -,-289902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-506908,- -,- -,- -,- -
10,Operating Expenses,2958722,2496591,3973200,8655029,5300000,2574088,1681479,1743090,1262127,1365689,1715089,1928566,2100118,2068983,2001908,2248862,2293445,2316854,2328680,2427378,2304429,2386116,2177655,2205183,2127766,1797485
11,COGS and Expenses,15694317,11432213,9680261,21342319,11600000,6509043,6265410,5783297,5574383,8702485,10023374,8951893,9761884,7086057,6557208,6723015,7671966,6963425,7547610,5823300,6146461,7292247,10402829,8996120,10892768,13491223
12,Interest Income ,7554,12716,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),110748,35644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,173530,192035,332647,1736272,1400000,343032,273309,179820,102276,84742,21869,32481,34248,35880,32500,22908,19464,27464,25500,31376,29866,28258,16905,9757,5834,12062
15,EBITDA,183663,-8617,-1150576,-7287673,-2700000,-437708,370262,191609,-131355,656494,758528,536126,222083,-335510,196562,169370,175665,127887,-34739,1589,108196,-525423,263367,-41277,-711412,425441
16,EBITDA ratio,0.0117,-0.0008,-0.1424,-0.4753,-0.2813,-0.0759,0.0608,0.0329,-0.0245,0.0705,0.0704,0.0567,0.0223,-0.0501,0.0293,0.0247,0.0225,0.0181,-0.0046,0.0003,0.0174,-0.0781,0.0248,-0.0046,-0.0700,0.0306
17,Operating Income,2579,-213368,-1599712,-6009961,-2000000,-738402,-178936,34842,-205746,606424,748500,507488,191400,-392604,154166,136927,148809,94128,-69226,-39833,68124,-563454,-237774,-62345,-727787,411848
18,Operating Income ratio,0.0002,-0.0190,-0.1980,-0.3920,-0.2083,-0.1280,-0.0294,0.0060,-0.0383,0.0651,0.0695,0.0536,0.0192,-0.0587,0.0230,0.0200,0.0190,0.0133,-0.0093,-0.0069,0.0110,-0.0837,-0.0223,-0.0070,-0.0716,0.0296
19,Total Other Income Expenses (Gains),-103194,-22928,116489,-3013984,-2100000,-42338,-31031,-23053,-27885,-34672,-11841,-3843,-3565,21214,9896,9535,7392,6295,8987,10046,10206,9773,484236,11311,10541,1531
20,Income Before Tax,-100615,-236296,-1483223,-9023945,- -,- -,- -,11789,-233631,571752,736659,503645,187835,-371390,164062,146462,156201,100423,-60239,-29787,78330,-553681,246462,-51034,-717246,413379
21,Income Before Tax Ratio,-0.0064,-0.0211,-0.1836,-0.5886,- -,- -,- -,0.0020,-0.0435,0.0614,0.0684,0.0532,0.0189,-0.0555,0.0244,0.0214,0.0200,0.0142,-0.0081,-0.0052,0.0126,-0.0823,0.0232,-0.0057,-0.0706,0.0297
22,Income Tax expense (Gain),-25982,-76622,73728,- -,- -,- -,- -,- -,- -,- -,4500,1200,3500,- -,- -,- -,2800,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-74633,-159674,-1556951,-9023945,-4100000,-780740,96953,11789,-233631,571752,732159,502445,184335,-371390,164062,146462,153401,100423,-60239,-29787,78330,-553681,246462,-51034,-717246,413379
24,Net Income ratio,-0.0048,-0.0142,-0.1927,-0.5886,-0.4271,-0.1353,0.0159,0.0020,-0.0435,0.0614,0.0680,0.0531,0.0185,-0.0555,0.0244,0.0214,0.0196,0.0142,-0.0081,-0.0052,0.0126,-0.0823,0.0232,-0.0057,-0.0706,0.0297
25,EPS,-0.02,-0.03,-0.28,-1.35,-0.59,-0.08,0.01,0.00,-0.02,0.06,0.07,0.05,0.02,-0.03,0.01,0.01,0.01,0.01,-0.01,-0.00,0.01,-0.05,0.02,-0.00,-0.06,0.04
26,EPS Diluted,-0.02,-0.03,-0.28,-1.35,-0.59,-0.08,0.01,0.00,-0.02,0.05,0.07,0.04,0.02,-0.03,0.01,0.01,0.01,0.01,-0.01,-0.00,0.01,-0.05,0.02,-0.00,-0.06,0.03
27,Weighted Average Shares Outstanding,4307049,5617251,5649668,6665321,6988336,9576981,9970133,10283515,10283515,10283515,10376247,11018317,11196760,11196760,11196760,11196760,11196760,11200025,11201760,11201760,11201760,11201760,11201760,11201760,11208308,11222826
28,Weighted Average Shares Outstanding Diluted,4307049,5617251,6363636,6665321,6988336,9576981,9970133,10921659,10283515,11015724,10968026,11342072,11398180,11196760,11207905,11211024,11224410,11210939,11201760,11201760,11310387,11201760,11583578,11201760,11208308,12049322
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803578/000143774921007829/0001437749-21-007829-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,80502,317921,115917,451777,808358,1222742,1549335,1478504,1968077,1280926,2623016,2359527,2450006,2167928,1895372,2731510,1963956,1039442,1858160
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,80502,317921,115917,451777,808358,1222742,1549335,1478504,1968077,1280926,2623016,2359527,2450006,2167928,1895372,2731510,1963956,1039442,1858160
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,841019,1622127,2261700,2094336,1879483,1562660,1121709,940206,778252,2896326,740454,1444048,974517,1298029,1160017,617433,652839,668712,1442231
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
