,https://roic.ai/company/ONON,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,267120000,425295000
2,COGS,124003000,194190000
3,Gross Profit,143117000,231105000
4,Gross Profit Ratio,0.5358,0.5434
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,56824000,115869000
7,Selling and Marketing Exp.,80604000,132330000
8,"Selling, General and Administrative Exp.",137428000,248199000
9,Other Expenses,- -,- -
10,Operating Expenses,137428000,248199000
11,COGS and Expenses,261431000,442389000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),119000,314000
14,Depreciation and Amortization,5342000,12091000
15,EBITDA,8608000,-12036000
16,EBITDA ratio,0.0322,-0.0283
17,Operating Income,5689000,-17094000
18,Operating Income ratio,0.0213,-0.0402
19,Total Other Income Expenses (Gains),-2542000,-7347000
20,Income Before Tax,3147000,-24441000
21,Income Before Tax Ratio,0.0118,-0.0575
22,Income Tax expense (Gain),4620000,3083000
23,Net Income,-1473000,-27524000
24,Net Income ratio,-0.0055,-0.0647
25,EPS,-0.01,-0.10
26,EPS Diluted,-0.01,-0.10
27,Weighted Average Shares Outstanding,313423996,265685000
28,Weighted Average Shares Outstanding Diluted,313423996,274448750
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,11929000,90642000
32,Short-Term Investments,5937000,17135000
33,Cash and Short-Term Investments,17866000,107777000
34,Net Receivables,52635000,69286000
35,Inventory,44540000,102878000
36,Other Current Assets,5117000,2323000
37,Total Current Assets,120158000,282264000
38,PP&E,15710000,39723000
39,Goodwill,1791000,1791000
40,Intangible Assets,4120000,52876000
41,Intangible Assets,5911000,54667000
42,Investments,- -,- -
43,Tax Assets,1849000,5915000
44,Other Non-Current Assets,- -,- -
45,Total Non-Current Assets,23470000,100305000
46,Other Assets,- -,- -
47,Total Assets,143628000,382569000
48,Accounts Payable,16414000,41543000
49,Short-Term Debt,16884000,4554000
50,Tax Payable,4762000,7169000
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,32006000,40266000
53,Total Current Liabilities,65304000,86363000
54,Long-Term Debt,3313000,19174000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,2849000,5664000
57,Other Non-Current Liabilities,7748000,26275000
58,Total Non-Current Liabilities,13910000,51113000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,79214000,137476000
62,Preferred Stock,- -,- -
63,Common Stock,1874000,2172000
64,Retained Earnings,-2853000,-30377000
65,Other Comprehensive Income/Loss,65393000,273298000
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,64414000,245093000
68,Total Liabilities And Stockholders Equity,143628000,382569000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,143628000,382569000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,-1473000,-27524000
74,Depreciation and Amortization,5342000,12091000
75,Deferred Income Tax,4620000,3083000
76,Stock Based Compensation,18838000,48631000
77,Change in Working Capital,-32258000,-54060000
78,Accounts Receivable,-21481000,-13482000
79,Inventory,-12353000,-61305000
80,Accounts Payable,3154000,25564000
81,Other Working Capital,-1578000,-4837000
82,Other Non-Cash Items,-287000,3051000
83,Cash Provided by Operating Activities,-5218000,-14728000
84,CAPEX,-9217000,-18598000
85,Acquisitions Net,-321000,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-1785000,-7638000
89,Cash Used for Investing Activites,-9538000,-18624000
90,Debt Repayment,-3200000,-6399000
91,Common Stock Issued,- -,133266000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,2510000,-2071000
95,Cash Used/Provided by Financing Activities,-690000,124796000
96,Effect of Forex Changes on Cash,-195000,-969000
97,Net Change In Cash,-15642000,90475000
98,Cash at the End of Period,120000,90595000
99,Cash at the Beginning of Period,15762000,120000
100,Free Cash Flow,-14435000,-33326000
101,SEC Link,- -,- -
102,Forex Rate,1.0328,1.1293
