,https://roic.ai/company/LANDM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2418111,2964082,3390594,4038138,7184922,11901461,17316617,25122000,36687000,40692000,57031000,75318000
2,COGS,7516,61584,89371,119463,434514,729036,669951,1165000,2043000,2473000,- -,2536000
3,Gross Profit,2410595,2902498,3301223,3918675,6750408,11172425,16646666,23957000,34644000,38219000,- -,72782000
4,Gross Profit Ratio,0.9969,0.9792,0.9736,0.9704,0.9395,0.9387,0.9613,0.9536,0.9443,0.9392,- -,0.9663
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,528770,1050613,771634,1644005,2894440,3023104,3806891,4529000,5477000,5276000,2102000,9994000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",528770,1050613,771634,1644005,2894440,3023104,3806891,4529000,5477000,5276000,7839000,9994000
9,Other Expenses,317244,505568,474480,763492,1735644,3113492,5536799,7925000,17055000,13637000,21541000,31084000
10,Operating Expenses,846014,1556181,1246114,2407497,4630084,6136596,9343690,12454000,22532000,18913000,29380000,41078000
11,COGS and Expenses,853530,1617765,1335485,2526960,5064598,6865632,10013641,13619000,24575000,21386000,29380000,43614000
12,Interest Income ,3241,2958,1830,56234,12031,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),700596,805508,1006986,1118640,2009086,4160482,6015331,9762000,12130000,16331000,20621000,24883000
14,Depreciation and Amortization,317244,505568,474480,722455,1735644,3113492,5187249,7237000,9375000,12790000,16655000,27305000
15,EBITDA,1894967,1324806,2382158,2136142,3646099,7842519,11650682,16968000,24134000,30862000,42231000,55683000
16,EBITDA ratio,0.7837,0.4470,0.7026,0.5290,0.5075,0.6590,0.6728,0.6754,0.6578,0.7584,0.7405,0.7393
17,Operating Income,1564581,1282828,1901615,1357453,1599972,4568781,7056587,11376000,12112000,19306000,27651000,3514000
18,Operating Income ratio,0.6470,0.4328,0.5609,0.3362,0.2227,0.3839,0.4075,0.4528,0.3301,0.4744,0.4848,0.0467
19,Total Other Income Expenses (Gains),-687454,-1269098,-1000923,-1062406,-1698603,-4000236,-6583099,-11410000,-9346000,-17544000,-22696000,- -
20,Income Before Tax,877127,13730,900692,295047,-98631,568545,473488,-34000,2766000,1762000,4955000,3514000
21,Income Before Tax Ratio,0.3627,0.0046,0.2656,0.0731,-0.0137,0.0478,0.0273,-0.0014,0.0754,0.0433,0.0869,0.0467
22,Income Tax expense (Gain),316604,7511,300319,1519730,26502,- -,- -,- -,- -,- -,- -,- -
23,Net Income,560523,6219,600373,-1224683,-125133,568545,448102,-31000,2629000,1741000,4955000,3495000
24,Net Income ratio,0.2318,0.0021,0.1771,-0.3033,-0.0174,0.0478,0.0259,-0.0012,0.0717,0.0428,0.0869,0.0464
25,EPS,0.20,-0.03,0.10,-0.20,-0.02,0.07,0.04,-0.00,0.15,-0.13,0.25,0.16
26,EPS Diluted,0.20,-0.03,0.10,-0.20,-0.02,0.07,0.04,-0.00,0.15,-0.13,0.25,0.16
27,Weighted Average Shares Outstanding,2750000,2750000,6083334,6214557,6852917,8639397,10007350,12055791,15503341,19602533,19602533,21418455
28,Weighted Average Shares Outstanding Diluted,2750000,2750000,6083334,6214557,6852917,8639397,10007350,12055791,15503341,19602533,19602533,21418455
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495240/000149524021000008/0001495240-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1495240/000149524022000004/0001495240-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,1971020,2003854,873474,16271282,2619342,2532522,2438021,2938000,14730000,13688000,9218000,16708000
32,Short-Term Investments,- -,- -,- -,680443,681124,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1971020,2003854,873474,16951725,3300466,2532522,2438021,2938000,14730000,13688000,9218000,16708000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,1528000,- -,- -,- -,- -
36,Other Current Assets,8367902,- -,- -,41,132741,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,10338922,2003854,873474,16951766,3433207,2532522,2438021,4466000,14730000,13688000,9218000,16708000
38,PP&E,- -,30276898,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,49882,208060,311064,1317575,1763541,1999773,5492000,5686000,4827000,3732000,4456000
41,Intangible Assets,- -,49882,208060,311064,1317575,1763541,1999773,5492000,5686000,4827000,3732000,4456000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,18695562,437643,39419367,76410634,146951842,225442184,329547225,452320000,544703000,798272000,- -,1330386000
45,Total Non-Current Assets,18695562,30764423,39627427,76721698,148269417,227205725,331546998,457812000,550389000,803099000,3732000,1334842000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29034484,32768277,40500901,93673464,151702624,229738247,333985019,462278000,565119000,816787000,12950000,1351550000
48,Accounts Payable,322515,409750,913649,1097270,1925251,3495339,2801194,7398000,9152000,10132000,- -,10874000
49,Short-Term Debt,3005028,1205000,100000,100000,4000000,100000,16550000,10000000,100000,100000,100000,100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,60057,53856,104782,160719,471101,565593,750796,940000,945000,2169000,623861000,4224000
53,Total Current Liabilities,3387600,1668606,1118431,1357989,6396352,4160932,20101990,18338000,10197000,12401000,623961000,15198000
54,Long-Term Debt,16750593,22928000,30717880,43054165,82417361,142633157,190797012,291002000,335788000,481829000,- -,667882000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,348658,175001,258729,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,460317,269135,749318,2919583,4937439,35308855,34987000,38081000,43587000,- -,79404000
58,Total Non-Current Liabilities,17099251,23563318,31245744,43803483,85336944,147570596,226105867,325989000,373869000,525416000,- -,747286000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59538000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20486851,25231924,32364175,45161472,91733296,151731528,246207857,344327000,384066000,537817000,683499000,762484000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,5000,7000,9000
63,Common Stock,2750,2750,2750,6530,7754,9993,10025,14000,18000,21000,26000,34000
64,Retained Earnings,8544883,7533603,8133976,-2820800,-5404735,-8895369,-13401529,-19802000,-25826000,-38785000,- -,-80467000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-390000,-1500000,-1036000
66,Other Total Stockholders Equity,- -,- -,- -,51326262,65366309,86892095,90081837,129705000,202053000,315770000,385257000,668275000
67,Total Stockholders Equity,8547633,7536353,8136726,48511992,59969328,78006719,76690333,109917000,176246000,276621000,383790000,586815000
68,Total Liabilities And Stockholders Equity,29034484,32768277,40500901,93673464,151702624,229738247,322898190,454244000,560312000,814438000,1067289000,1349299000
69,Minority Interest,- -,- -,- -,- -,- -,- -,11086829,8034000,4807000,2349000,-1054339000,2251000
70,Total Liabilities & Equity,29034484,32768277,40500901,93673464,151702624,229738247,333985019,462278000,565119000,816787000,12950000,1351550000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495240/000149524021000008/0001495240-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1495240/000149524022000004/0001495240-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,560523,6219,600373,-1224683,-125133,568545,448102,-31000,2629000,1741000,4955000,3495000
74,Depreciation and Amortization,317244,505568,474480,722455,1735644,3113492,5187249,7237000,9375000,12790000,16655000,27305000
75,Deferred Income Tax,13824,-173657,83728,-743676,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-236504,-6616074,-580205,15838734,-18556922,1334735,-16035559,3791969,18405000,-3246000,-616030000,-1576000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-1904000,-3151000,-896000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
