,https://roic.ai/company/CTRM,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2018061,3960822,5967772,12487692,132049710
2,COGS,1458194,2402754,3961341,9937107,66517082
3,Gross Profit,559867,1558068,2006431,2550585,65532628
4,Gross Profit Ratio,0.2774,0.3934,0.3362,0.2042,0.4963
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,149940,570880,723168,2061453,10011060
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",149940,570880,723168,2061453,10011060
9,Other Expenses,- -,- -,- -,37103,2483
10,Operating Expenses,149940,570880,723168,2098556,10013543
11,COGS and Expenses,1608134,2973634,4684509,12035663,76530625
12,Interest Income ,- -,4243,31589,34976,- -
13,Interest Expense (Gain),- -,- -,222163,1030925,2779875
14,Depreciation and Amortization,182346,637611,897171,1904963,14362828
15,EBITDA,1060990,1618549,2207483,1203995,69910529
16,EBITDA ratio,0.5257,0.4086,0.3699,0.0964,0.5294
17,Operating Income,409927,987188,1283263,452029,55519085
18,Operating Income ratio,0.2031,0.2492,0.2150,0.0362,0.4204
19,Total Other Income Expenses (Gains),468717,-6250,-195114,-2183922,-2751259
20,Income Before Tax,878644,980938,1088149,-1731893,52767826
21,Income Before Tax Ratio,0.4354,0.2477,0.1823,-0.1387,0.3996
22,Income Tax expense (Gain),- -,- -,- -,21640,497339
23,Net Income,878644,980938,1088149,-1753533,52270487
24,Net Income ratio,0.4354,0.2477,0.1823,-0.1404,0.3958
25,EPS,3.54,-2.77,3.10,-0.30,0.48
26,EPS Diluted,3.54,-2.77,3.10,-0.30,0.47
27,Weighted Average Shares Outstanding,240000,240000,266238,6773519,83923435
28,Weighted Average Shares Outstanding Diluted,240000,240000,266238,6773519,85332728
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,836468,1739174,4558939,8926903,37173736
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,836468,1739174,4558939,8926903,37173736
34,Net Receivables,438869,265532,975871,2861350,- -
35,Inventory,46586,60697,143534,714818,- -
36,Other Current Assets,29060,44597,542553,1061083,17826352
37,Total Current Assets,1350983,2110000,6220897,13564154,55000088
38,PP&E,7366935,7070404,23700029,58045628,396334094
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
