,https://roic.ai/company/QRVO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,964147000,1148231000,1710966000,2610726000,3032574000,2973536000,3090325000,3239141000,4015307000
2,COGS,658332000,743304000,1021658000,1561173000,1897062000,1826570000,1895142000,1917378000,2131741000
3,Gross Profit,305815000,404927000,689308000,1049553000,1135512000,1146966000,1195183000,1321763000,1883566000
4,Gross Profit Ratio,0.3172,0.3527,0.4029,0.4020,0.3744,0.3857,0.3867,0.4081,0.4691
5,Research and Development Exp.,178793000,197269000,257494000,448763000,470836000,445103000,450482000,484414000,570395000
6,General and Administrative Exp.,64242000,76732000,85229000,113632000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,68674000,74672000,164657000,420467000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",132916000,151404000,249886000,534099000,545588000,527751000,476074000,343569000,367238000
9,Other Expenses,9786000,28913000,59462000,54723000,31029000,103830000,52161000,70564000,39306000
10,Operating Expenses,321495000,377586000,566842000,1037585000,1047453000,1076684000,978717000,898547000,976939000
11,COGS and Expenses,979827000,1120890000,1588500000,2598758000,2944515000,2903254000,2873859000,2815925000,3108680000
12,Interest Income ,249000,179000,450000,2068000,1212000,7017000,10971000,12066000,- -
13,Interest Expense (Gain),6532000,5983000,1421000,23316000,58879000,59548000,43963000,60392000,75198000
14,Depreciation and Amortization,72464000,74336000,216988000,674951000,704577000,714215000,663097000,468931000,456104000
15,EBITDA,53097000,104192000,339650000,695405000,790761000,790908000,798852000,924412000,1338682000
16,EBITDA ratio,0.0551,0.0907,0.1985,0.2664,0.2608,0.2660,0.2585,0.2854,0.3334
17,Operating Income,-15680000,27341000,122466000,11968000,88059000,70282000,216466000,423216000,906627000
18,Operating Income ratio,-0.0163,0.0238,0.0716,0.0046,0.0290,0.0236,0.0700,0.1307,0.2258
19,Total Other Income Expenses (Gains),-10219000,-3468000,-1225000,-14830000,-60754000,-53137000,-124674000,-28127000,-99247000
20,Income Before Tax,-25899000,23873000,121241000,-2862000,27305000,17145000,91792000,395089000,807380000
21,Income Before Tax Ratio,-0.0269,0.0208,0.0709,-0.0011,0.0090,0.0058,0.0297,0.1220,0.2011
22,Income Tax expense (Gain),27100000,11231000,-75062000,25983000,43863000,57433000,-41333000,60764000,73769000
23,Net Income,-52999000,12642000,196303000,-28845000,-16558000,-40288000,133125000,334325000,733611000
24,Net Income ratio,-0.0550,0.0110,0.1147,-0.0110,-0.0055,-0.0135,0.0431,0.1032,0.1827
25,EPS,-0.36,0.09,1.32,-0.20,-0.13,-0.32,1.12,2.92,6.48
26,EPS Diluted,-0.36,0.09,1.32,-0.20,-0.13,-0.32,1.05,2.80,6.32
27,Weighted Average Shares Outstanding,148468717,148468717,149059000,141937000,126464000,126322000,119063000,114625000,112557000
28,Weighted Average Shares Outstanding Diluted,148468717,148468717,149059000,141937000,127121000,126946000,127356000,119293000,116016000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604778/000160477820000030/0001604778-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1604778/000160477821000032/0001604778-21-000032-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,171898000,299814000,425881000,545463000,926037000,711035000,714939000,1397880000
32,Short-Term Investments,- -,72067000,- -,186808000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,243965000,299814000,612689000,545463000,926037000,711035000,714939000,1397880000
34,Net Receivables,- -,150598000,379646000,363736000,423195000,390752000,400106000,382188000,484755000
35,Inventory,- -,125703000,346900000,427551000,430454000,472292000,511793000,517198000,507787000
36,Other Current Assets,- -,17152000,473745000,105234000,62493000,54724000,61907000,76177000,93382000
37,Total Current Assets,- -,537418000,1500105000,1509210000,1461605000,1843805000,1684841000,1690502000,2483804000
38,PP&E,- -,195996000,883371000,1046888000,1391932000,1374112000,1366513000,1324310000,1266031000
39,Goodwill,- -,103901000,2140586000,2135697000,2173914000,2173889000,2173889000,2614274000,2642708000
40,Intangible Assets,- -,54990000,2307229000,1812515000,1400563000,860336000,408210000,808892000,611155000
41,Intangible Assets,- -,158891000,4447815000,3948212000,3574477000,3034225000,2582099000,3423166000,3253863000
42,Investments,- -,3841000,4083000,26050000,35494000,63765000,97786000,22515000,35370000
43,Tax Assets,- -,- -,310189000,152160000,131511000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,24166000,-253184000,-85701000,-72696000,65612000,76785000,100189000,182402000
45,Total Non-Current Assets,- -,382894000,5392274000,5087609000,5060718000,4537714000,4123183000,4870180000,4737666000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,920312000,6892379000,6596819000,6522323000,6381519000,5808024000,6560682000,7221470000
48,Accounts Payable,- -,79783000,182468000,205364000,216246000,213193000,233307000,246954000,313868000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5092000
50,Tax Payable,- -,- -,59397000,30000000,31700000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,140190000,142842000,168437000,202582000,228086000,202307000,292049000,362621000
53,Total Current Liabilities,- -,219973000,325310000,373801000,418828000,441279000,435614000,539003000,681581000
54,Long-Term Debt,- -,- -,- -,988130000,989154000,983290000,919270000,1567231000,1742550000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,884000,310189000,152160000,131511000,63084000,333000,- -,- -
