,https://roic.ai/company/INO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,8300000,5077339,- -,189521,80529,1167099,5467253,3468178,4807729,2097632,9120111,6144705,9795257,4118652,13467346,10456766,40572111,35368361,42220086,30481897,4111930,7411220,1774758
2,COGS,- -,1200000,1457541,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,7100000,3619798,- -,189521,80529,1167099,5467253,3468178,4807729,2097632,9120111,6144705,9795257,4118652,13467346,10456766,40572111,- -,- -,- -,- -,7411,- -
4,Gross Profit Ratio,- -,0.8554,0.7129,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,8100000,6977220,- -,2466129,2146909,6548599,11454773,8509785,9625947,5750494,9408457,13256606,20032001,17984825,21368604,34095039,57791923,88712035,98572618,95257876,88017319,94245436,249240324
6,General and Administrative Exp.,- -,- -,5610830,- -,3658307,4566882,6129195,5981200,8079587,11080202,10005602,13669409,12108261,11988796,10778359,13643074,15857688,18063890,23892263,28290369,29315159,27203156,37247828,53752353
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,5610830,- -,3658307,4566882,6129195,5981200,8079587,11080202,10005602,13669409,12108261,11988796,10778359,13643074,15857688,18063890,23892263,28290369,29315159,27203156,37247828,53752353
9,Other Expenses,- -,5900000,566358,- -,- -,- -,- -,206250,225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,14000000,13154408,- -,6124436,6713791,12677794,17642223,16814372,20706149,15756096,23077866,25364867,32020797,28763184,35011678,49952727,75855813,112604298,126862987,124573035,115220475,131493264,302992677
