,https://roic.ai/company/SCPL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,361400000,416200000,465800000,582200000,606100000
2,COGS,138600000,160400000,158500000,185300000,190000000
3,Gross Profit,222800000,255800000,307300000,396900000,416100000
4,Gross Profit Ratio,0.6165,0.6146,0.6597,0.6817,0.6865
5,Research and Development Exp.,26500000,25600000,23600000,33300000,39700000
6,General and Administrative Exp.,44500000,34500000,40600000,66200000,62400000
7,Selling and Marketing Exp.,86700000,105700000,129700000,130700000,135300000
8,"Selling, General and Administrative Exp.",131200000,140200000,170300000,196900000,197700000
9,Other Expenses,17000000,15100000,7000000,9700000,15500000
10,Operating Expenses,174700000,180900000,200900000,239900000,252900000
11,COGS and Expenses,313300000,341300000,359400000,425200000,442900000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,17000000,15100000,7000000,9700000,15500000
15,EBITDA,62200000,64500000,48100000,39000000,40500000
16,EBITDA ratio,0.1721,0.1550,0.1033,0.0670,0.0668
17,Operating Income,47800000,46400000,103700000,155000000,131700000
18,Operating Income ratio,0.1323,0.1115,0.2226,0.2662,0.2173
19,Total Other Income Expenses (Gains),-2600000,3000000,-1500000,-600000,-1000000
20,Income Before Tax,45200000,49400000,102200000,154400000,130700000
21,Income Before Tax Ratio,0.1251,0.1187,0.2194,0.2652,0.2156
22,Income Tax expense (Gain),22100000,10400000,8700000,8400000,5700000
23,Net Income,23100000,39000000,32400000,20900000,19300000
24,Net Income ratio,0.0639,0.0937,0.0696,0.0359,0.0318
25,EPS,1.05,1.77,1.43,0.92,0.80
26,EPS Diluted,1.05,1.77,1.43,0.86,0.77
27,Weighted Average Shares Outstanding,22000000,22000000,22700000,22800000,24200000
28,Weighted Average Shares Outstanding Diluted,22000000,22000000,22700000,24400000,25000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760717/000176071720000005/0001760717-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1760717/000176071721000008/0001760717-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1760717/000176071722000007/0001760717-22-000007-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,16800000,10000000,110600000,268900000,364400000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16800000,10000000,110600000,268900000,364400000
34,Net Receivables,35400000,32700000,33400000,38400000,41400000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,3800000,4400000,3000000,4100000,4600000
37,Total Current Assets,56000000,47100000,147000000,311400000,410400000
38,PP&E,1700000,1800000,10600000,12900000,10300000
39,Goodwill,120700000,120700000,120700000,129800000,131100000
40,Intangible Assets,29800000,17900000,17000000,30300000,49600000
41,Intangible Assets,150500000,138600000,137700000,160100000,180700000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,2700000,6400000,87100000,82500000,78500000
44,Other Non-Current Assets,700000,1000000,2200000,1900000,1700000
45,Total Non-Current Assets,155600000,147800000,237600000,257400000,271200000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,211600000,194900000,384600000,568800000,681600000
48,Accounts Payable,8700000,12700000,12800000,23200000,20000000
49,Short-Term Debt,- -,- -,1900000,2000000,2200000
50,Tax Payable,- -,- -,3000000,7100000,4500000
51,Deferred Revenue,1500000,700000,- -,- -,- -
52,Other Current Liabilities,31900000,31000000,14500000,26400000,49600000
53,Total Current Liabilities,42100000,44400000,29200000,51600000,71800000
54,Long-Term Debt,- -,- -,5200000,7500000,5400000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2400000,- -,- -,- -,- -
57,Other Non-Current Liabilities,4100000,11900000,72700000,74200000,79400000
58,Total Non-Current Liabilities,6500000,11900000,77900000,81700000,84800000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,7100000,9500000,7600000
61,Total Liabilities,48600000,56300000,107100000,133300000,156600000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,161400000,140800000,100000,100000,100000
64,Retained Earnings,- -,- -,12000000,32900000,52200000
65,Other Comprehensive Income/Loss,-3100000,-3600000,300000,900000,1100000
66,Other Total Stockholders Equity,4700000,1400000,41700000,46100000,- -
67,Total Stockholders Equity,163000000,138600000,54100000,80000000,98600000
68,Total Liabilities And Stockholders Equity,211600000,194900000,161200000,213300000,255200000
69,Minority Interest,- -,- -,223400000,355500000,426400000
70,Total Liabilities & Equity,211600000,194900000,384600000,568800000,681600000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760717/000176071720000005/0001760717-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1760717/000176071721000008/0001760717-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1760717/000176071722000007/0001760717-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,23100000,39000000,93500000,146000000,125000000
74,Depreciation and Amortization,17000000,15100000,7000000,9700000,15500000
75,Deferred Income Tax,-3800000,-6000000,-500000,4300000,3600000
76,Stock Based Compensation,4300000,4000000,8900000,22000000,7200000
77,Change in Working Capital,-1800000,-11200000,400000,15400000,-10500000
78,Accounts Receivable,-13100000,2200000,-400000,-3900000,-2900000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,13000000,-14800000,-3900000,17200000,-4700000
81,Other Working Capital,13900000,2700000,- -,- -,- -
82,Other Non-Cash Items,23400000,36000000,-16300000,-4000000,23000000
83,Cash Provided by Operating Activities,62200000,76900000,93000000,193400000,163800000
84,CAPEX,-5400000,-3500000,-8800000,-7100000,-9100000
