,https://roic.ai/company/JELD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3456539000,3507206000,3381060000,3666799000,3763934000,4346703000,4289761000,4235677000,4771719000
2,COGS,2946463000,2919864000,2715125000,2866805000,2915736000,3422969000,3417222000,3333770000,3796452000
3,Gross Profit,510076000,587342000,665935000,799994000,848198000,923734000,872539000,901907000,975267000
4,Gross Profit Ratio,0.1476,0.1675,0.1970,0.2182,0.2253,0.2125,0.2034,0.2129,0.2044
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,585074000,733748000,660574000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,585074000,733748000,660574000,- -,704892000
9,Other Expenses,482088000,488477000,512126000,589407000,- -,- -,- -,695338000,-1614000
10,Operating Expenses,482088000,488477000,512126000,589407000,585074000,733748000,660574000,695338000,703278000
11,COGS and Expenses,3428551000,3408341000,3227251000,3456212000,3500810000,4156717000,4077796000,4029108000,4499730000
12,Interest Income ,2442000,2435000,1653000,826000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),73804000,71724000,62285000,78416000,79034000,70818000,71778000,74800000,77566000
14,Depreciation and Amortization,104650000,100026000,95196000,106790000,111273000,125100000,133969000,134623000,137247000
15,EBITDA,111190000,106583000,242964000,317121000,339701000,332320000,325792000,326098000,419175000
16,EBITDA ratio,0.0322,0.0304,0.0719,0.0865,0.0903,0.0765,0.0759,0.0770,0.0878
17,Operating Income,-14016000,60477000,132467000,196740000,263124000,172658000,190414000,188723000,267425000
18,Operating Income ratio,-0.0041,0.0172,0.0392,0.0537,0.0699,0.0397,0.0444,0.0446,0.0560
19,Total Other Income Expenses (Gains),-59039000,-119810000,-46512000,-64765000,-117369000,-37081000,-70369000,-72048000,-63063000
20,Income Before Tax,-73055000,-59333000,85955000,131975000,145755000,135577000,120045000,116675000,204362000
21,Income Before Tax Ratio,-0.0211,-0.0169,0.0254,0.0360,0.0387,0.0312,0.0280,0.0275,0.0428
22,Income Tax expense (Gain),1142000,18942000,-5435000,-225596000,138603000,-7958000,57074000,25089000,35540000
23,Net Income,-68406000,-84109000,90918000,357511000,10791000,144360000,62971000,91586000,168822000
24,Net Income ratio,-0.0198,-0.0240,0.0269,0.0975,0.0029,0.0332,0.0147,0.0216,0.0354
25,EPS,-0.66,-1.75,0.88,3.41,0.10,1.42,0.63,0.91,1.76
26,EPS Diluted,-0.66,-1.75,0.87,3.41,0.10,1.36,0.62,0.90,1.73
27,Weighted Average Shares Outstanding,103185385,105314768,103185385,104881700,105990483,101310862,100668003,100806068,95783839
28,Weighted Average Shares Outstanding Diluted,103956416,108506347,103956416,104881700,109209218,106360657,101628811,101681981,97823658
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674335/000167433517000009/0001674335-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433518000038/0001674335-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433519000023/0001674335-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433520000033/0001674335-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433521000012/0001674335-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433522000028/0001674335-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,105542000,113571000,102701000,220175000,116991000,225962000,735820000,395596000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,105542000,113571000,102701000,220175000,116991000,225962000,735820000,395596000
34,Net Receivables,- -,339877000,328288000,411914000,457485000,481332000,478796000,477472000,552041000
35,Inventory,- -,359274000,343736000,334634000,405353000,513238000,505078000,512228000,615971000
36,Other Current Assets,- -,35663000,28823000,26561000,62228000,39916000,33442000,35133000,176249000
37,Total Current Assets,- -,840356000,814418000,875810000,1145241000,1151477000,1243278000,1760653000,1739857000
38,PP&E,- -,755129000,720843000,704651000,756711000,843403000,1066428000,1087312000,1000585000
39,Goodwill,- -,475601000,482506000,486055000,549063000,585942000,602500000,639867000,545213000
40,Intangible Assets,- -,48293000,78318000,117795000,166313000,225553000,250327000,246055000,222181000
41,Intangible Assets,- -,523894000,560824000,603850000,715376000,811495000,852827000,885922000,767394000
42,Investments,- -,23965000,26204000,28949000,33187000,366000,- -,- -,- -
43,Tax Assets,- -,4105000,21698000,268965000,183726000,207065000,183837000,199194000,204232000
44,Other Non-Current Assets,- -,36610000,38386000,34071000,28699000,37249000,34962000,31604000,26603000
45,Total Non-Current Assets,- -,1343703000,1367955000,1640486000,1717699000,1899578000,2138054000,2204032000,1998814000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2184059000,2182373000,2516296000,2862940000,3051055000,3381332000,3964685000,3738671000
48,Accounts Payable,- -,179652000,166686000,188906000,259934000,250281000,294951000,269891000,418774000
49,Short-Term Debt,- -,17686000,16594000,20031000,8770000,54930000,111100000,111021000,82441000
50,Tax Payable,- -,16814000,12806000,4609000,10962000,23771000,25177000,42660000,68394000
51,Deferred Revenue,- -,8170000,9315000,11644000,11511000,9854000,7986000,13453000,13884000
52,Other Current Liabilities,- -,318793000,294850000,292545000,297306000,355204000,354749000,473259000,373769000
53,Total Current Liabilities,- -,524301000,487445000,513126000,577521000,670269000,768786000,867624000,888868000
54,Long-Term Debt,- -,788542000,1243726000,1600004000,1264933000,1422962000,1451526000,1878831000,1834014000
55,Deferred Revenue,- -,1369000,1250000,509000,609000,69000,- -,- -,278000
56,Deferred Tax Liabilities,- -,21938000,15448000,9186000,9249000,10457000,9288000,7321000,9254000
57,Other Non-Current Liabilities,- -,199614000,184312000,200592000,218591000,179491000,339645000,206445000,164039000
58,Total Non-Current Liabilities,- -,1011463000,1444736000,1810291000,1493382000,1612979000,1800459000,2092597000,2007585000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,209280000,221810000,210198000
61,Total Liabilities,- -,1535764000,1932181000,2323417000,2070903000,2283248000,2569245000,2960221000,2896453000
62,Preferred Stock,- -,817121000,481937000,150957000,- -,- -,- -,- -,- -
63,Common Stock,- -,198000,179000,180000,1060000,1013000,1007000,1008000,902000
64,Retained Earnings,- -,-245867000,-154949000,202562000,233658000,253041000,290583000,371462000,215611000
65,Other Comprehensive Income/Loss,- -,-103861000,-162997000,-197182000,-95347000,-144823000,-151275000,-58693000,-93746000
66,Other Total Stockholders Equity,- -,180704000,86022000,36362000,652666000,658593000,671772000,690687000,719451000
67,Total Stockholders Equity,- -,648295000,250192000,192879000,792037000,767824000,812087000,1004464000,842218000
68,Total Liabilities And Stockholders Equity,- -,2184059000,2182373000,2516296000,2862940000,3051072000,3381332000,3964685000,3738671000
69,Minority Interest,- -,- -,- -,- -,- -,-17000,- -,- -,- -
70,Total Liabilities & Equity,- -,2184059000,2182373000,2516296000,2862940000,3051055000,3381332000,3964685000,3738671000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1674335/000167433517000009/0001674335-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433518000038/0001674335-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433519000023/0001674335-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433520000033/0001674335-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1674335/000167433521000012/0001674335-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1674335/000167433522000028/0001674335-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-68406000,-84109000,90918000,357511000,10791000,144360000,62971000,91586000,168822000
74,Depreciation and Amortization,104650000,100026000,95196000,106790000,111273000,125100000,133969000,134623000,137247000
75,Deferred Income Tax,-22730000,1631000,-18862000,-247021000,96776000,-34676000,21838000,-9063000,-14973000
76,Stock Based Compensation,5665000,7968000,15620000,22464000,19785000,15052000,13315000,16399000,20209000
77,Change in Working Capital,-66509000,316055000,10918000,35711000,205036000,-86512000,-6716000,418537000,-156766000
78,Accounts Receivable,-15328000,-638000,-3904000,-80310000,660000,16792000,8426000,10819000,-91920000
79,Inventory,-22496000,10843000,2872000,10089000,-32028000,-35529000,4190000,9849000,-134482000
80,Accounts Payable,- -,- -,- -,- -,- -,37230000,37611000,62880000,70184000
81,Other Working Capital,- -,316055000,326973000,362684000,567720000,481208000,474492000,893029000,- -
82,Other Non-Cash Items,-2042000,-319783000,-21451000,-73872000,-177868000,56329000,77332000,-296427000,21127000
83,Cash Provided by Operating Activities,-49372000,21788000,172339000,201583000,265793000,219653000,302709000,355655000,175666000
84,CAPEX,-85689000,-70846000,-77687000,-79497000,-63049000,-118700000,-136192000,-96896000,-99693000
85,Acquisitions Net,26749000,6911000,-82015000,-78252000,-128735000,-165715000,-49167000,14308000,3166000
