,https://roic.ai/company/PLNT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,211009000,279777000,330537000,378241000,429942000,572898000,688803000,406618000,587023000
2,COGS,123045000,149782000,170977000,182438000,189923000,280270000,330710000,220007000,271151000
3,Gross Profit,87964000,129995000,159560000,195803000,240019000,292628000,358093000,186611000,315872000
4,Gross Profit Ratio,0.4169,0.4646,0.4827,0.5177,0.5583,0.5108,0.5199,0.4589,0.5381
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,55573000,50008000,60369000,72446000,78818000,68585000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,55573000,50008000,60369000,72446000,78818000,68585000,94540000
9,Other Expenses,51926000,68456000,31885000,30133000,32114000,36138000,46192000,58266000,77937000
10,Operating Expenses,51926000,68456000,87458000,80141000,92483000,108584000,125010000,126851000,172477000
11,COGS and Expenses,174971000,218238000,258435000,262579000,282406000,388854000,455720000,346858000,443628000
12,Interest Income ,- -,377000,- -,- -,- -,4681000,7053000,2937000,878000
13,Interest Expense (Gain),8912000,22177000,24549000,27125000,35283000,50746000,60852000,82117000,81211000
14,Depreciation and Amortization,29054000,32842000,32636000,31894000,32095000,35635000,44583000,53889000,62800000
15,EBITDA,64037000,93010000,84851000,99180000,474104000,203044000,260894000,121702000,192444000
16,EBITDA ratio,0.3035,0.3324,0.2567,0.2622,1.1027,0.3544,0.3788,0.2993,0.3278
17,Operating Income,36038000,61539000,72102000,115662000,147536000,184044000,233083000,59760000,143395000
18,Operating Income ratio,0.1708,0.2200,0.2181,0.3058,0.3432,0.3213,0.3384,0.1470,0.2443
19,Total Other Income Expenses (Gains),-9606000,-23061000,-24824000,-25754000,281645000,-52240000,-59906000,-74277000,-91435000
20,Income Before Tax,26432000,38478000,47278000,89908000,429181000,131804000,173177000,-14517000,51960000
21,Income Before Tax Ratio,0.1253,0.1375,0.1430,0.2377,0.9982,0.2301,0.2514,-0.0357,0.0885
22,Income Tax expense (Gain),633000,1183000,9148000,18661000,373580000,28642000,37764000,687000,5659000
23,Net Income,25438000,36808000,18518000,21500000,33146000,88021000,117695000,-14991000,42774000
24,Net Income ratio,0.1206,0.1316,0.0560,0.0568,0.0771,0.1536,0.1709,-0.0369,0.0729
25,EPS,0.72,0.17,0.51,0.50,0.42,1.01,1.42,-0.19,0.51
26,EPS Diluted,0.72,0.17,0.51,0.50,0.42,1.00,1.41,-0.19,0.51
27,Weighted Average Shares Outstanding,35230000,35230000,36598000,43300000,78910000,87235000,82977000,80303000,83296000
28,Weighted Average Shares Outstanding Diluted,35230000,35230000,36598000,43305000,78972000,87675000,83619000,80303000,83894000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637207/000156459016014027/0001564590-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459017003401/0001564590-17-003401-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000156459018004109/0001564590-18-004109-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720719000009/0001637207-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720720000008/0001637207-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720721000009/0001637207-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637207/000163720722000011/0001637207-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,31267000,43291000,31430000,40393000,113080000,289431000,436256000,439478000,545909000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,31267000,43291000,31430000,40393000,113080000,289431000,436256000,439478000,545909000
34,Net Receivables,17628000,21706000,24019000,42365000,56801000,58332000,52441000,38662000,44449000
35,Inventory,2243000,3012000,4557000,1802000,2692000,5122000,877000,473000,1155000
36,Other Current Assets,6409000,7309000,12939000,6665000,4428000,35655000,50564000,88203000,70901000
37,Total Current Assets,57547000,75318000,72945000,91225000,177001000,388540000,540138000,566816000,662414000
38,PP&E,33766000,49579000,56139000,61238000,83327000,114367000,301114000,324929000,364017000
39,Goodwill,157210000,176981000,176981000,176981000,176981000,199513000,227821000,227821000,228569000
40,Intangible Assets,303328000,295162000,273619000,253862000,235657000,234330000,233921000,217075000,200937000
