,https://roic.ai/company/AMC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2417739000,2422968000,2600594000,2749428000,2695390000,2946900000,3235846000,5079200000,5460800000,5471000000,1242400000,2527900000
2,COGS,2052924000,2160601000,2232497000,1084237000,1046237000,1150026000,1231668000,1856400000,1981100000,1977800000,411500000,745600000
3,Gross Profit,364815000,262367000,368097000,1665191000,1649153000,1796874000,2004178000,3222800000,3479700000,3493200000,830900000,1782300000
4,Gross Profit Ratio,0.1509,0.1083,0.1415,0.6056,0.6118,0.6098,0.6194,0.6345,0.6372,0.6385,0.6688,0.7051
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,65852000,79995000,60701000,549116000,520112000,526034000,596182000,927800000,977100000,1120800000,1040800000,1054600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",65852000,79995000,60701000,549116000,520112000,526034000,596182000,927800000,977100000,1120800000,1040800000,1054600000
9,Other Expenses,188342000,212413000,214029000,924178000,949659000,1028683000,1141699000,2086600000,2192500000,2136600000,1330700000,1566800000
10,Operating Expenses,254194000,292408000,274730000,1473294000,1469771000,1554717000,1737881000,3014400000,3169600000,3257400000,2371500000,2621400000
11,COGS and Expenses,2307118000,2453009000,2507227000,2557531000,2516008000,2704743000,2969549000,4870800000,5150700000,5235200000,2783000000,3367000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),174091000,183657000,178127000,140227000,120939000,106088000,121537000,274000000,342300000,340800000,356900000,458100000
14,Depreciation and Amortization,188342000,212413000,214029000,197537000,216321000,232961000,268243000,538600000,537800000,450000000,498300000,101000000
15,EBITDA,406044000,223716000,300073000,438781000,434810000,502580000,539419000,479500000,1003800000,619200000,-3674300000,-720200000
16,EBITDA ratio,0.1679,0.0923,0.1154,0.1596,0.1613,0.1705,0.1667,0.0944,0.1838,0.1132,-2.9574,-0.2849
17,Operating Income,106856000,-42820000,93082000,189014000,175072000,237057000,212858000,101800000,265000000,136000000,-4102700000,-930000000
18,Operating Income ratio,0.0442,-0.0177,0.0358,0.0687,0.0650,0.0804,0.0658,0.0200,0.0485,0.0249,-3.3022,-0.3679
19,Total Other Income Expenses (Gains),-55711000,-130103000,-185140000,-89293000,-77835000,-73526000,-63219000,-434900000,-141300000,-307600000,-426800000,-350000000
20,Income Before Tax,51145000,-172923000,-92058000,99721000,97237000,163531000,149639000,-333100000,123700000,-171600000,-4529500000,-1280000000
21,Income Before Tax Ratio,0.0212,-0.0714,-0.0354,0.0363,0.0361,0.0555,0.0462,-0.0656,0.0227,-0.0314,-3.6458,-0.5063
22,Income Tax expense (Gain),-36300000,1950000,2015000,-263383000,33470000,59675000,37972000,154100000,13600000,-22500000,59900000,-10200000
23,Net Income,79911000,-174304000,-94098000,364400000,64080000,103856000,111667000,-487200000,110100000,-149100000,-4589400000,-1269100000
24,Net Income ratio,0.0331,-0.0719,-0.0362,0.1325,0.0238,0.0352,0.0345,-0.0959,0.0202,-0.0273,-3.6940,-0.5020
25,EPS,0.84,-1.84,-0.99,3.75,0.66,1.07,1.05,-3.82,1.06,-1.44,-39.15,-2.66
26,EPS Diluted,0.84,-1.84,-0.99,3.75,0.66,1.06,1.05,-3.82,1.06,-1.44,-39.15,-2.66
27,Weighted Average Shares Outstanding,94748620,94748620,94748620,97239731,97250766,97272017,110063488,127641231,103475253,103849861,224333033,477410000
28,Weighted Average Shares Outstanding Diluted,94748620,94748620,94748620,97239731,97700000,98029000,110063488,128246000,103475253,103849861,224333033,477410000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411579/000104746914001769/0001047469-14-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746915001918/0001047469-15-001918-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000104746916010880/0001047469-16-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157917000021/0001411579-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157918000014/0001411579-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157919000013/0001411579-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157920000027/0001411579-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000141157921000006/0001411579-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1411579/000155837022002577/0001558370-22-002577-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,611593000,417408000,277605000,546454000,218206000,211250000,207073000,310000000,313300000,265000000,308300000,1592000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,611593000,417408000,277605000,546454000,218206000,211250000,207073000,310000000,313300000,265000000,308300000,1592000000
34,Net Receivables,28254000,28060000,43038000,110019000,102281000,106079000,222389000,298000000,284200000,265900000,99000000,168000000
35,Inventory,8222000,10214000,11771000,10645000,10516000,13992000,29041000,34000000,35200000,37500000,21300000,- -
36,Other Current Assets,62653000,74319000,74145000,176405000,178736000,83046000,225140000,230400000,148600000,104700000,58400000,110000000
37,Total Current Assets,710722000,530001000,406559000,843523000,509739000,414367000,683643000,872400000,781300000,673100000,487000000,1870000000
38,PP&E,863532000,958722000,883697000,25000,22000,25000,721325000,661728000,606864000,531467000,6774000000,6117000000
39,Goodwill,1844757000,1953686000,1953686000,2289800000,2289800000,2406691000,3932960000,4931700000,4788700000,4789100000,2547300000,2429000000
40,Intangible Assets,148432000,149493000,135024000,234319000,225515000,237376000,365142000,380500000,352100000,195300000,163200000,153000000
41,Intangible Assets,1993189000,2103179000,2088710000,2524119000,2515315000,2644067000,4298102000,5312200000,5140800000,4984400000,2710500000,2582000000
42,Investments,75048000,146594000,135727000,338352000,346869000,432572000,466062000,404500000,319000000,267100000,97500000,- -
43,Tax Assets,62700000,54000000,57700000,96824000,73844000,126198000,90445000,28900000,28600000,70100000,300000,- -
44,Other Non-Current Assets,69721000,63458000,67874000,1243881000,1317943000,1492856000,2382264000,2526172000,2619236000,7149633000,207100000,252000000
45,Total Non-Current Assets,3064190000,3325953000,3233708000,4203201000,4253993000,4695718000,7958198000,8933500000,8714500000,13002700000,9789400000,8951000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3774912000,3855954000,3640267000,5046724000,4763732000,5110085000,8641841000,9805900000,9495800000,13675800000,10276400000,10821000000
48,Accounts Payable,175142000,165416000,195938000,268163000,262635000,313025000,501761000,569600000,452600000,543300000,298800000,377000000
49,Short-Term Debt,10463000,9955000,61846000,16080000,23598000,18786000,81243000,87700000,82200000,616100000,616500000,1228000000
50,Tax Payable,39470000,44456000,43567000,46251000,47988000,53924000,72178000,87600000,73400000,75200000,86600000,- -
51,Deferred Revenue,125842000,141237000,174355000,202833000,213882000,221679000,277237000,401000000,414800000,449200000,405400000,408000000
52,Other Current Liabilities,143273000,139338000,148348000,170920000,136262000,158664000,328949000,351100000,378500000,324600000,257800000,-226000000
