,https://roic.ai/company/AYX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,37984000,53821000,85790000,131607000,253570000,417910000,495308000,536135000
2,COGS,8533000,10521000,16026000,21803000,22800000,39151000,43839000,55753000
3,Gross Profit,29451000,43300000,69764000,109804000,230770000,378759000,451469000,480382000
4,Gross Profit Ratio,0.7754,0.8045,0.8132,0.8343,0.9101,0.9063,0.9115,0.8960
5,Research and Development Exp.,7787000,11103000,17481000,29342000,43449000,69100000,101117000,132420000
6,General and Administrative Exp.,17264000,10039000,17720000,32241000,48267000,79943000,101439000,149747000
7,Selling and Marketing Exp.,24612000,43244000,57585000,66420000,109284000,191735000,252820000,334480000
8,"Selling, General and Administrative Exp.",41876000,53283000,75305000,98661000,157551000,271678000,354259000,484227000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,49663000,64386000,92786000,128003000,201000000,340778000,455376000,616647000
11,COGS and Expenses,58196000,74907000,108812000,149806000,223800000,379929000,499215000,672400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,7378000,21844000,38119000,39208000
14,Depreciation and Amortization,345000,759000,1677000,3957000,3836000,8292000,12101000,16380000
15,EBITDA,-19948000,-20513000,-22373000,-14447000,36648000,36200000,22575000,-121943000
16,EBITDA ratio,-0.5252,-0.3811,-0.2608,-0.1098,0.1445,0.0866,0.0456,-0.2274
17,Operating Income,-20212000,-21086000,-23022000,-18199000,29770000,37981000,-3907000,-136265000
18,Operating Income ratio,-0.5321,-0.3918,-0.2684,-0.1383,0.1174,0.0909,-0.0079,-0.2542
19,Total Other Income Expenses (Gains),-81000,-186000,-1028000,-205000,-4336000,-31917000,-23738000,-41266000
20,Income Before Tax,-20293000,-21272000,-24050000,-18404000,25434000,6064000,-27645000,-177531000
21,Income Before Tax Ratio,-0.5343,-0.3952,-0.2803,-0.1398,0.1003,0.0145,-0.0558,-0.3311
22,Income Tax expense (Gain),36000,178000,208000,-905000,-2586000,-21079000,-3271000,2150000
23,Net Income,-20329000,-21450000,-24258000,-17499000,28020000,27143000,-24374000,-179681000
24,Net Income ratio,-0.5352,-0.3985,-0.2828,-0.1330,0.1105,0.0649,-0.0492,-0.3351
25,EPS,-0.47,-0.51,-0.52,-0.37,0.46,0.43,-0.37,-2.72
26,EPS Diluted,-0.47,-0.51,-0.52,-0.37,0.43,0.40,-0.37,-2.72
27,Weighted Average Shares Outstanding,47087000,47087000,47087000,53006000,60829000,63424000,66058000,66058000
28,Weighted Average Shares Outstanding Diluted,47087000,47087000,47087000,53006000,64744000,68661000,66058000,66058000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1689923/000119312518073878/0001193125-18-073878-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992319000006/0001689923-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992320000006/0001689923-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992321000024/0001689923-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992322000023/0001689923-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,24779000,31306000,119716000,89974000,409949000,171891000,152375000
32,Short-Term Investments,- -,14791000,21394000,54386000,239718000,376995000,584445000,506874000
33,Cash and Short-Term Investments,- -,39570000,52700000,174102000,329692000,786944000,756336000,659249000
34,Net Receivables,- -,21569000,35367000,49797000,94922000,129912000,136985000,192318000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8747000,12371000,18440000,37199000,55129000,79144000,81360000
37,Total Current Assets,- -,69886000,100438000,242339000,461813000,971985000,972465000,932927000
38,PP&E,- -,2650000,6212000,7492000,11729000,53896000,103153000,173951000
39,Goodwill,- -,- -,- -,8750000,9494000,36910000,37070000,57415000
40,Intangible Assets,- -,- -,- -,7995000,7491000,22083000,16191000,21737000
41,Intangible Assets,- -,- -,- -,16745000,16985000,58993000,53261000,79152000
42,Investments,- -,21573000,- -,19964000,96551000,187921000,265800000,343213000
43,Tax Assets,- -,13000,40000,613000,69000,- -,- -,- -
44,Other Non-Current Assets,- -,3016000,4725000,4263000,31020000,69543000,70616000,70445000
45,Total Non-Current Assets,- -,27252000,10977000,49077000,156354000,370353000,492830000,666761000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,97138000,111415000,291416000,618167000,1342338000,1465295000,1599688000
48,Accounts Payable,- -,583000,1780000,522000,5028000,9383000,5340000,8086000
49,Short-Term Debt,- -,- -,329000,329000,- -,68154000,72619000,77400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,44179000,71050000,110213000,84015000,83895000,108664000,208154000
52,Other Current Liabilities,- -,10282000,12418000,19776000,35537000,85398000,81556000,115308000
53,Total Current Liabilities,- -,55044000,85577000,130840000,124580000,246830000,268179000,408948000
54,Long-Term Debt,- -,- -,- -,- -,173647000,630321000,711361000,764800000
55,Deferred Revenue,- -,- -,- -,3545000,2130000,2733000,3806000,- -
56,Deferred Tax Liabilities,- -,- -,- -,214000,11647000,5594000,- -,- -
57,Other Non-Current Liabilities,- -,95005000,4266000,3313000,4345000,31953000,5158000,23186000
58,Total Non-Current Liabilities,- -,95005000,4266000,7072000,191769000,670601000,720325000,787986000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,329000,329000,- -,29293000,53860000,78784000
61,Total Liabilities,- -,150049000,89843000,137912000,316349000,917431000,988504000,1196934000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,5000,5000,6000,7000,7000,7000
64,Retained Earnings,- -,-61789000,-86047000,-103546000,-12908000,14235000,-10748000,-190429000
65,Other Comprehensive Income/Loss,- -,-81000,-9000,-354000,-571000,-1526000,-1493000,-5534000
66,Other Total Stockholders Equity,- -,8956000,107623000,257399000,315291000,412191000,489025000,598710000
67,Total Stockholders Equity,- -,-52911000,21572000,153504000,301818000,424907000,476791000,402754000
68,Total Liabilities And Stockholders Equity,- -,97138000,111415000,291416000,618167000,1342338000,1465295000,1599688000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,97138000,111415000,291416000,618167000,1342338000,1465295000,1599688000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1689923/000119312518073878/0001193125-18-073878-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992319000006/0001689923-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992320000006/0001689923-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992321000024/0001689923-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992322000023/0001689923-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-20329000,-21450000,-24258000,-17499000,28020000,27143000,-24374000,-179681000
74,Depreciation and Amortization,345000,759000,1677000,3957000,3836000,8292000,12101000,16380000
75,Deferred Income Tax,-1000,-12000,-27000,-1425000,-3434000,-22844000,-4945000,634000
76,Stock Based Compensation,10677000,1482000,3284000,8886000,16647000,33125000,74916000,124065000
77,Change in Working Capital,5911000,7187000,19000,96638000,225734000,387922000,-20869000,47108000
78,Accounts Receivable,-2718000,-6216000,-14248000,-15325000,-45640000,-35325000,-7368000,-56917000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,590000,-802000,2134000,-1483000,4530000,2319000,-2746000,2584000
81,Other Working Capital,7655000,14842000,14861000,111499000,337233000,725155000,704286000,87193000
82,Other Non-Cash Items,-31000,3999000,13274000,-71614000,-244714000,-399446000,37953000,54653000
83,Cash Provided by Operating Activities,-3428000,-8035000,-6031000,18943000,26089000,34192000,74782000,63159000
84,CAPEX,-531000,-2714000,-4307000,-3669000,-6728000,-11453000,-26358000,-32768000
85,Acquisitions Net,- -,- -,- -,-9097000,-3537000,-40949000,- -,-27177000
86,Purchases of Investments,-1050000,-36445000,-5720000,-91517000,-445705000,-602703000,-1141598000,-905544000
87,Sales/Maturities of Investments,- -,- -,20762000,37862000,185112000,377974000,856110000,898604000
88,Other Investing Activites,- -,-1200000,1000000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1581000,-40359000,11735000,-66421000,-270858000,-277131000,-311846000,-66885000
90,Debt Repayment,-466000,-3875000,-274000,-328000,-327000,-145241000,-11000,- -
91,Common Stock Issued,- -,35000000,- -,134757000,- -,- -,- -,- -
92,Common Stock Repurchased,-240000,-34756000,-606000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,21399000,52162000,1703000,1434000,216307000,709087000,-1485000,-14075000
95,Cash Used/Provided by Financing Activities,20693000,48531000,823000,135863000,215980000,563846000,-1496000,-14075000
96,Effect of Forex Changes on Cash,- -,- -,- -,25000,-166000,-444000,801000,-1241000
97,Net Change In Cash,15684000,137000,6527000,88410000,-28955000,320463000,-237759000,-19042000
98,Cash at the End of Period,24642000,24779000,31306000,119716000,90961000,411424000,173665000,154623000
99,Cash at the Beginning of Period,8958000,24642000,24779000,31306000,119916000,90961000,411424000,173665000
100,Free Cash Flow,-3959000,-10749000,-10338000,15274000,19361000,22739000,48424000,30391000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1689923/000119312518073878/0001193125-18-073878-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992319000006/0001689923-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992320000006/0001689923-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992321000024/0001689923-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689923/000168992322000023/0001689923-22-000023-index.htm
102,false,,,,,,,,
