,https://roic.ai/company/AVID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,51900000,112900000,203700000,406700000,429000000,471300000,482400000,452600000,476090000,434638000,418719000,471912000,589605000,775443000,910578000,929570000,844901000,628970000,678522000,677936000,635703000,563412000,530251000,505595000,511930000,419003000,413282000,411788000,360466000,409944000
2,COGS,22100000,49200000,89500000,179300000,209200000,196200000,168500000,182600000,217032000,213572000,207236000,209373000,255088000,353660000,465894000,480427000,452476000,305948000,327774000,320910000,249008000,223909000,204471000,197445000,179207000,176887000,174118000,162713000,132146000,144140000
3,Gross Profit,29800000,63700000,114200000,227400000,219800000,275100000,313900000,270000000,259058000,221066000,211483000,262539000,334517000,421783000,444684000,449143000,392425000,323022000,350748000,357026000,386695000,339503000,325780000,308150000,332723000,242116000,239164000,249075000,228320000,265804000
4,Gross Profit Ratio,0.5742,0.5642,0.5606,0.5591,0.5124,0.5837,0.6507,0.5966,0.5441,0.5086,0.5051,0.5563,0.5674,0.5439,0.4884,0.4832,0.4645,0.5136,0.5169,0.5266,0.6083,0.6026,0.6144,0.6095,0.6499,0.5778,0.5787,0.6049,0.6334,0.6484
5,Research and Development Exp.,- -,- -,23700000,53800000,69400000,73500000,88800000,88900000,82900000,86140000,82346000,85552000,94808000,111334000,141363000,150707000,148598000,120989000,120229000,118108000,98879000,95249000,90390000,95898000,81564000,68212000,62379000,62343000,57018000,65559000
6,General and Administrative Exp.,24700000,55700000,63400000,125900000,151200000,146200000,153800000,158000000,146973000,136366000,120580000,132912000,165723000,217934000,267217000,287919000,287326000,61087000,64345000,57851000,52066000,77578000,81181000,74109000,61471000,53892000,55230000,53362000,47052000,57372000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173601000,177178000,183865000,153481000,133890000,133049000,122511000,110338000,106257000,101273000,99944000,87637000,95494000
8,"Selling, General and Administrative Exp.",24700000,55700000,63400000,125900000,151200000,146200000,153800000,158000000,146973000,136366000,120580000,132912000,165723000,217934000,267217000,287919000,287326000,234688000,241523000,241716000,205547000,211468000,214230000,196620000,171809000,160149000,156503000,153306000,134689000,152866000
9,Other Expenses,1600000,4900000,10400000,19500000,29600000,25400000,55900000,103200000,84264000,31168000,1153000,1316000,4828000,9194000,67460000,13726000,129539000,10356000,4714000,8528000,4254000,2648000,1626000,2354000,2498000,1450000,1450000,694000,- -,1116000
10,Operating Expenses,26300000,60600000,97500000,199200000,250200000,245100000,298500000,350100000,314137000,253674000,204079000,219780000,265359000,338462000,476040000,452352000,565463000,366033000,366466000,368352000,308680000,309365000,306246000,294872000,255871000,229811000,220332000,216343000,191707000,219541000
11,COGS and Expenses,48400000,109800000,187000000,378500000,459400000,441300000,467000000,532700000,531169000,467246000,411315000,429153000,520447000,692122000,941934000,932779000,1017939000,671981000,694240000,689262000,557688000,533274000,510717000,492317000,435078000,406698000,394450000,379056000,323853000,363681000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000,173000,144000,210000,555000,126000,113000,- -,535000,195000,36000,70000,6000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906000,864000,2053000,1548000,1574000,1771000,6346000,18903000,19964000,23474000,26712000,20071000,-7149000
14,Depreciation and Amortization,1600000,4900000,10400000,19500000,29600000,25400000,55900000,103200000,84264000,47287000,12974000,12391000,16292000,37488000,57381000,53186000,42842000,32130000,33551000,31983000,27495000,22767000,17954000,20088000,25479000,22337000,21142000,13634000,8505000,8254000
15,EBITDA,5200000,9500000,28200000,43500000,-26300000,63700000,51500000,12100000,32915000,11940000,17673000,53830000,86381000,79823000,29807000,48204000,-152672000,-36971000,-2143000,11187000,125983000,48433000,36641000,26999000,89726000,28879000,35213000,42871000,41010000,45060000
16,EBITDA ratio,0.1002,0.0841,0.1384,0.1070,-0.0613,0.1352,0.1068,0.0267,0.0691,0.0275,0.0422,0.1141,0.1465,0.1029,0.0327,0.0519,-0.1807,-0.0588,-0.0032,0.0165,0.1982,0.0860,0.0691,0.0534,0.1753,0.0689,0.0852,0.1041,0.1138,0.1099
17,Operating Income,3500000,3100000,16700000,28200000,-30400000,30000000,15400000,-80100000,-55079000,-40876000,4481000,39565000,68750000,36749000,-34848000,-12619000,-198450000,-69884000,-36168000,-20781000,53177000,24768000,19699000,6973000,64015000,5246000,13684000,32103000,31567000,46263000
18,Operating Income ratio,0.0674,0.0275,0.0820,0.0693,-0.0709,0.0637,0.0319,-0.1770,-0.1157,-0.0940,0.0107,0.0838,0.1166,0.0474,-0.0383,-0.0136,-0.2349,-0.1111,-0.0533,-0.0307,0.0837,0.0440,0.0372,0.0138,0.1250,0.0125,0.0331,0.0780,0.0876,0.1129
19,Total Other Income Expenses (Gains),100000,1500000,1100000,-4200000,-25500000,8300000,-19800000,-11000000,3730000,5529000,218000,1874000,1339000,5586000,7274000,7637000,2936000,-123000,-390000,-2068000,-2041000,-676000,-2783000,-6408000,-18671000,-18668000,-23087000,-29578000,-19133000,-2308000
20,Income Before Tax,3600000,4600000,17800000,24000000,-55900000,38300000,-4400000,-91100000,-51349000,-35347000,4699000,41439000,70089000,42335000,-27574000,-4982000,-195514000,-70007000,-36558000,-22849000,51136000,24092000,16916000,565000,45344000,-13422000,-9403000,2525000,12434000,43955000
21,Income Before Tax Ratio,0.0694,0.0407,0.0874,0.0590,-0.1303,0.0813,-0.0091,-0.2013,-0.1079,-0.0813,0.0112,0.0878,0.1189,0.0546,-0.0303,-0.0054,-0.2314,-0.1113,-0.0539,-0.0337,0.0804,0.0428,0.0319,0.0011,0.0886,-0.0320,-0.0228,0.0061,0.0345,0.1072
22,Income Tax expense (Gain),1300000,900000,4800000,8600000,-17900000,11900000,-800000,46400000,5000000,2800000,1700000,550000,-1612000,8355000,15353000,2997000,2663000,-1652000,396000,942000,4049000,2939000,2188000,-1915000,-2875000,133000,1271000,-5076000,1372000,2567000
23,Net Income,2300000,3700000,13000000,15400000,-38000000,26400000,-3600000,-137500000,-56349000,-38147000,2999000,40889000,71701000,33980000,-42927000,-7979000,-198177000,-68355000,-36954000,-23791000,92891000,21153000,14728000,2480000,48219000,-13555000,-10674000,7601000,11062000,41388000
24,Net Income ratio,0.0443,0.0328,0.0638,0.0379,-0.0886,0.0560,-0.0075,-0.3038,-0.1184,-0.0878,0.0072,0.0866,0.1216,0.0438,-0.0471,-0.0086,-0.2346,-0.1087,-0.0545,-0.0351,0.1461,0.0375,0.0278,0.0049,0.0942,-0.0324,-0.0258,0.0185,0.0307,0.1010
25,EPS,0.29,0.45,1.10,0.81,-1.80,1.14,-0.15,-5.75,-2.28,-1.49,0.11,1.40,2.21,0.90,-1.03,-0.19,-5.28,-1.83,-0.98,-0.62,2.39,0.54,0.38,0.06,1.20,-0.33,-0.26,0.18,0.25,0.94
26,EPS Diluted,0.29,0.40,0.99,0.77,-1.80,1.08,-0.15,-5.75,-2.28,-1.49,0.11,1.25,2.05,0.86,-1.03,-0.19,-5.28,-1.83,-0.98,-0.62,2.39,0.54,0.38,0.06,1.20,-0.33,-0.26,0.17,0.25,0.92
27,Weighted Average Shares Outstanding,8125000,8222222,11818182,19012346,21111111,23065000,23644000,23918000,24683000,25609000,26306000,29192000,32485000,37762000,41736000,40974000,37556000,37293000,37895000,38435000,38804000,39044000,39147000,39423000,40021000,41020000,41662000,42649000,43822000,43822000
28,Weighted Average Shares Outstanding Diluted,8125000,9250000,13131313,20000000,21163000,24325000,23644000,23918000,24683000,25609000,26860000,32653000,35003000,39517000,41736000,40974000,37556000,37293000,37895000,38435000,38836000,39070000,39267000,40380000,40176000,41020000,41662000,43495000,44878000,44878000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896841/000089684107000016/0000896841-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684108000014/0000896841-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684109000006/0000896841-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684110000009/0000896841-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684111000022/0000896841-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684112000013/0000896841-12-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/896841/000089684114000057/0000896841-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684115000018/avid-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684116000147/0000896841-16-000147-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684117000052/0000896841-17-000052-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684118000036/0000896841-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684119000019/0000896841-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684120000022/0000896841-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/896841/000089684121000035/0000896841-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/896841/000089684122000020/0000896841-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10300000,11200000,11800000,32800000,75800000,108300000,62900000,46100000,64875000,45613000,62174000,102649000,79058000,133954000,96279000,208619000,121792000,91517000,42782000,32855000,70390000,48203000,25056000,17902000,44948000,57223000,56103000,69085000,79899000,56818000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,26700000,18331000,27348000,26860000,93660000,76361000,104476000,75828000,15841000,25902000,17360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10300000,11200000,11800000,32800000,75800000,108300000,62900000,72800000,83206000,72961000,89034000,196309000,155419000,238430000,172107000,224460000,147694000,108877000,42782000,32855000,70390000,48203000,25056000,17902000,44948000,57223000,56103000,69085000,79899000,56818000
