,https://roic.ai/company/ACER,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2901829,816242,249565,16051,3915,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266611,1271895,2556329,2905165,- -,- -,- -,- -,1260000
2,COGS,2538725,687511,266035,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,363104,128731,-16470,16051,3915,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266611,1271895,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.1251,0.1577,-0.0660,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,632621,9892253,7612932,13071856,8388734,2107833,2584734,3340038,6318476,9181090,12118629,10039496,6497531,8725026,12452424,13851018,11847902,6508055
6,General and Administrative Exp.,685812,975646,528345,130292,- -,- -,- -,- -,- -,- -,2020572,2216043,- -,2508541,3670769,3833370,4258147,3122337,5223101,9260583,16046423,10954923,10700334
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",685812,975646,528345,130292,120354,3127488,550178,5461047,3418306,3341415,2020572,2216043,2406269,2508541,3670769,3833370,4258147,3122337,5223101,9260583,16046423,10954923,10700334
9,Other Expenses,44661,- -,- -,30004,1483,- -,1758019,1821171,246147,237156,216622,169302,219938,303677,335597,387779,351403,238127,- -,- -,- -,- -,- -
10,Operating Expenses,730473,975646,528345,160296,121837,3760109,12200450,14895150,16736309,11967305,4345027,4970079,5966245,9130694,13187456,16339778,14649046,9857995,13948127,21713007,29897441,22802825,17208389
11,COGS and Expenses,3269198,1663157,794380,160296,121837,3760109,12200450,14895150,16736309,11967305,4345027,4970079,5966245,9130694,13187456,16339778,14649046,9857995,13948127,21713007,29897441,22802825,17208389
12,Interest Income ,- -,- -,- -,- -,- -,5992,81930,688299,477605,100235,1764,1660,932,280,14985,15456,- -,- -,14848,412553,471267,13578,- -
13,Interest Expense (Gain),13950,33713,55398,54161,55058,868926,7323851,984,16103,19983,278127,500648,3135,350300,2267302,1983,- -,- -,245061,987,- -,- -,- -
14,Depreciation and Amortization,19127,19407,15400,12953,1483,1018631,7251847,1818795,232955,234325,214851,168843,210252,303677,335597,387779,351403,238127,3997,27744,58282,70814,70913
15,EBITDA,-145171,-827628,-526944,-132041,-31047,-2743857,-10465241,-13076355,-16503354,-11732980,-4130176,-4801236,-5755993,-8827017,-14053426,-14662501,-11667875,-7741987,-13944130,-21685263,-29839159,-22635809,-15303080
16,EBITDA ratio,-0.0500,-1.0139,-2.1114,-8.2263,-7.9303,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.0953,-11.5281,-4.5643,-2.6649,-Infinity,-Infinity,-Infinity,-Infinity,-12.1453
17,Operating Income,-367369,-846915,-544815,-144245,-117922,-3760109,-12200450,-14895150,-16736309,-11967305,-4345027,-4970079,- -,-9133791,-11923006,-15067883,-12093884,-7991617,-13948127,-21713007,-29897441,-22802825,-15948389
18,Operating Income ratio,-0.1266,-1.0376,-2.1831,-8.9867,-30.1206,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-9.4133,-11.8468,-4.7310,-2.7508,-Infinity,-Infinity,-Infinity,-Infinity,-12.6575
19,Total Other Income Expenses (Gains),203071,-120,2471,-17800,85392,2379,5364,149052,1594248,32070,3187468,- -,- -,202958,-4733319,15620,74606,11503,-246304,432116,479472,-82624,574396
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8930833,-16656325,-15052263,-12019278,-7980114,-14194431,-21280891,-29417969,-22885449,-15373993
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-13.1503,-11.8345,-4.7018,-2.7469,-Infinity,-Infinity,-Infinity,-Infinity,-12.2016
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-178248,-880748,-597742,-199155,-87588,-4620664,-19414197,-14056407,-14667367,-11852152,-1433922,-5469067,-5968448,-8930833,-16656325,-15052263,-12019278,-7980114,-14194431,-21280891,-29417969,-22885449,-15373993
24,Net Income ratio,-0.0614,-1.0790,-2.3951,-12.4076,-22.3724,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.1503,-11.8345,-4.7018,-2.7469,-Infinity,-Infinity,-Infinity,-Infinity,-12.2016
25,EPS,-3792.51,-18815.71,-15151.44,-6168.90,-622.72,-2139.92,-3634.94,-765.10,-641.98,-328.32,-32.25,-93.80,-76.22,-112.86,-91.61,-39.57,-21.23,-11.70,-3.84,-2.49,-2.91,-2.06,-1.08
26,EPS Diluted,-3792.51,-18815.71,-15151.44,-6168.90,-1465.70,-2139.92,-3634.94,-765.10,-641.98,-328.32,-32.25,-93.80,-76.22,-112.86,-91.61,-39.57,-21.23,-11.70,-3.84,-2.49,-2.91,-2.06,-1.08
27,Weighted Average Shares Outstanding,47,48,43,41,227,2152,5338,18390,22844,35994,42832,58237,76865,78943,181924,379627,565345,680668,3694388,8555039,10092179,11121039,14268245
28,Weighted Average Shares Outstanding Diluted,47,48,43,41,227,2152,5338,18390,22844,35994,42832,58237,76865,78943,181924,379627,565345,680668,3694388,8555039,10092179,11121039,14268245
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069308/000115752307011825/0001157523-07-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752308002294/0001157523-08-002294-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312509079685/0001193125-09-079685-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000119312510048410/0001193125-10-048410-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752311001448/0001157523-11-001448-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752312001047/0001157523-12-001047-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752313001603/0001157523-13-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752314000869/0001157523-14-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000115752315000646/0001157523-15-000646-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000135448816006584/0001354488-16-006584-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000165495417002641/0001654954-17-002641-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459018004714/0001564590-18-004714-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459019006779/0001564590-19-006779-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459020011639/0001564590-20-011639-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459021009909/0001564590-21-009909-index.htm,https://www.sec.gov/Archives/edgar/data/1069308/000156459022008350/0001564590-22-008350-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18490,14865,150,- -,1235,851992,2560666,12019914,2645482,1243187,8181582,3812535,7109215,592004,23644542,9906373,12583764,3444952,15644355,41671284,12077640,5761568,12710762
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,2952096,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18490,14865,150,- -,1235,851992,2560666,14972010,2645482,1243187,8181582,3812535,7109215,592004,23644542,9906373,12583764,3444952,15644355,41671284,12077640,5761568,12710762
34,Net Receivables,63463,120391,9533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000
