,https://roic.ai/company/REPCF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4120400,- -,- -,- -,- -,121114,252609,353735
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4120400,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,182486,381759,735166,1561963,1942877,2319830,1115063,2541722,709260,2196364,819403
6,General and Administrative Exp.,- -,- -,- -,- -,- -,135214,139443,2106253,2879169,2967622,2175209,3267739,2727098,3172565,3450193,2151154,1074100,884704
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,108418,464807,765099,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,135214,139443,2214671,3343976,3732721,2175209,3267739,2727098,3172565,3450193,2151154,1074100,884704
9,Other Expenses,93960,518984,299923,491314,371134,- -,- -,6940,7591,6082,- -,- -,- -,- -,- -,- -,- -,-22105
10,Operating Expenses,93960,518984,299923,491314,371134,135214,139443,2404097,3733326,4473969,3737172,5210616,5046928,4287628,5991915,2860414,3270464,1682002
11,COGS and Expenses,93960,518984,299923,491314,371134,135214,139443,2404097,3733326,4473969,3737172,5210616,5046928,4287628,5991915,2860414,3270464,1682002
12,Interest Income ,26,151,93,5032,865,- -,- -,- -,- -,- -,- -,16398,14733,- -,6775,37,- -,358
13,Interest Expense (Gain),8935,153581,137712,63071,1594,701,565,- -,- -,- -,- -,- -,- -,- -,- -,- -,141427,176085
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,6940,7591,6082,6125,7606,6975,5780,4155,2998,2168,1574
15,EBITDA,-91756,-206995,-246230,-750223,-141809,-100859,-359107,-2397157,-3745622,-5578681,389593,-5198817,-5028134,-4298182,-5958570,-2766082,-2810151,-1402626
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0946,-Infinity,-Infinity,-Infinity,-Infinity,-22.8387,-11.1245,-3.9652
17,Operating Income,-101510,-1092365,-357474,-223881,-605380,-135915,-140008,-2404097,-3693940,-4473969,383228,-5210616,-5046928,-4287628,-5991915,-2739300,-3017855,-1328267
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0930,-Infinity,-Infinity,-Infinity,-Infinity,-22.6175,-11.9467,-3.7550
19,Total Other Income Expenses (Gains),-2205,-311989,-133762,-66563,4192,-34355,219664,- -,19887,1110794,240,12205,2914,16334,-22415,-29780,64109,-252018
20,Income Before Tax,- -,- -,-491236,-290444,-601188,- -,- -,- -,- -,-3363175,383468,-5198411,-5044014,-4271294,-6014330,-2769080,-2953746,-1580285
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,-Infinity,0.0931,-Infinity,-Infinity,-Infinity,-Infinity,-22.8634,-11.6930,-4.4674
22,Income Tax expense (Gain),- -,- -,-63720,- -,- -,- -,- -,- -,- -,- -,412040,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-105072,-984404,-427516,-290444,-601188,-170270,79656,-2404097,-3493960,-3363175,-28572,-5198411,-5044014,-4271294,-6014330,-2769080,-2953746,-1580285
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.0069,-Infinity,-Infinity,-Infinity,-Infinity,-22.8634,-11.6930,-4.4674
25,EPS,-0.30,-0.30,-0.10,-0.10,-0.20,-1.40,0.60,-1.10,-1.00,-0.80,-0.01,-1.00,-0.90,-0.54,-0.32,-0.12,-0.12,-0.06
26,EPS Diluted,-0.30,-0.30,-0.10,-0.10,-0.20,-1.40,0.60,-1.10,-1.00,-0.80,-0.01,-1.00,-0.90,-0.54,-0.32,-0.12,-0.12,-0.06
27,Weighted Average Shares Outstanding,405123,3277581,3470661,3491612,3646000,125887,125879,2156767,3494224,4268061,4524693,5090485,5687544,7952312,18680021,22661001,24107122,26961067
28,Weighted Average Shares Outstanding Diluted,405123,3277581,3470661,3491612,3646000,125887,125879,2156767,3494224,4268061,4524693,5090485,5687544,7952312,18680021,22661001,24107122,26961067
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2748,84716,3689,120755,4653,30354,90212,1211525,565143,384286,1958005,535114,175791,60752,497093,2418521,23929,34363
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,1450000,- -,- -,28750,17250
33,Cash and Short-Term Investments,2748,84716,3689,120755,4653,30354,90212,1211525,565143,384286,1958005,2035114,175791,1510752,497093,2418521,52679,51613
34,Net Receivables,1983,33893,1698,9727,10778,4193,931,40877,27045,47713,24504,29109,25816,66060,48542,74765,41785,63617
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,18987,-1,- -,- -,- -,- -,23592,20644,51894,46568,51182,193213,236055,289226,510741,128670,70460
37,Total Current Assets,4731,137596,5385,130482,15432,34547,91143,1275994,612832,483893,2029077,2115405,394820,1812867,834861,3004027,223134,185690
38,PP&E,12860,328820,317981,176804,20451,22525,1,32748,18587,21595,23324,25883,21100,15320,11165,8167,5999,4425
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2968546,2923071,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215237,189976,230847
45,Total Non-Current Assets,12860,3297367,3241052,176804,20450,22525,1,32748,18587,21595,23324,25883,21100,15320,11165,223404,195975,235272
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17591,3434962,3246437,307286,35882,57072,91144,1308742,631419,505488,2052401,2141288,415920,1828187,846026,3227431,419109,420962
48,Accounts Payable,56452,8337,90806,65721,73453,195648,194139,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,50745,43581,- -,70268,61908,76833,65938,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47299
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252609,252609,353735
52,Other Current Liabilities,- -,-0,- -,-0,1,55073,21893,623295,229969,416125,369355,331435,1017701,621737,1166023,1277642,1196870,1837993
53,Total Current Liabilities,107197,51918,90806,135989,135361,327554,281970,623295,229969,416125,369355,331435,1017701,621737,1166023,1530251,1449479,2239027
54,Long-Term Debt,- -,2929417,3130402,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28727
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2152363,1899754,2319757
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1,-1,-1,- -,- -,- -,- -,68205,208387,3633,- -,- -,- -,- -,- -,894617
58,Total Non-Current Liabilities,- -,2929417,3130403,-1,-1,- -,- -,- -,- -,68205,208387,3633,- -,- -,- -,2152363,1899754,3243101
59,Other Liabilities,- -,- -,- -,-2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,50745,43581,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,107197,2981335,3221209,135988,135360,327554,281970,623295,229969,484330,577742,335068,1017701,621737,1166023,3682614,3349233,5482128
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,204,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6814965,7460839,8065232,8514241,8802261,- -,- -,2312152,- -,- -,- -,- -,- -,- -,26182073,28745992,28960095,28471140
64,Retained Earnings,-6906585,-7857926,-8260535,-8566390,-9138315,-9334859,-9255203,-2084184,-6870221,-10233396,-10261968,-15460379,-20504393,-24775687,-30790017,-33559097,-36512843,-38158327
65,Other Comprehensive Income/Loss,- -,693962,- -,- -,- -,- -,- -,-9391,-8112,-14194,-20319,-27925,-34900,-40680,-44835,-47833,- -,-51575
66,Other Total Stockholders Equity,2014,156753,220531,223447,236576,- -,- -,139026,- -,- -,- -,- -,- -,- -,4332782,4405755,4622624,4677596
67,Total Stockholders Equity,-89607,453628,25228,171298,-99479,-270482,-190826,357807,401450,21158,1474659,1806220,-601781,1206450,-319997,-455183,-2930124,-5061166
