,https://roic.ai/company/AFIB,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,2166000,2836000,8464000,17263000
2,COGS,7510000,9243000,15889000,32925000
3,Gross Profit,-5344000,-6407000,-7425000,-15662000
4,Gross Profit Ratio,-2.4672,-2.2592,-0.8772,-0.9073
5,Research and Development Exp.,19077000,38029000,33454000,36683000
6,General and Administrative Exp.,- -,- -,50357000,- -
7,Selling and Marketing Exp.,13330000,26847000,- -,- -
8,"Selling, General and Administrative Exp.",13330000,26847000,50357000,63523000
9,Other Expenses,- -,- -,- -,29179000
10,Operating Expenses,32407000,64876000,83811000,129385000
11,COGS and Expenses,39917000,74119000,99700000,129385000
12,Interest Income ,297000,1164000,436000,116000
13,Interest Expense (Gain),5231000,22268000,5506000,5677000
14,Depreciation and Amortization,2121000,3167000,3904000,6394000
15,EBITDA,-40555000,-71604000,-92548000,-105612000
16,EBITDA ratio,-18.7235,-25.2482,-10.9343,-6.1178
17,Operating Income,-37751000,-72569000,-91333000,-112122000
18,Operating Income ratio,-17.4289,-25.5885,-10.7908,-6.4949
19,Total Other Income Expenses (Gains),-10156000,-24470000,-10625000,-5561000
20,Income Before Tax,-47907000,-97039000,-101958000,-117683000
21,Income Before Tax Ratio,-22.1177,-34.2169,-12.0461,-6.8171
22,Income Tax expense (Gain),- -,- -,23000,- -
23,Net Income,-47907000,-97039000,-101981000,-117683000
24,Net Income ratio,-22.1177,-34.2169,-12.0488,-6.8171
25,EPS,-2.84,-5.76,-8.94,-10.32
26,EPS Diluted,-2.84,-5.76,-8.94,-10.32
27,Weighted Average Shares Outstanding,16851825,16851825,11407542,11407542
28,Weighted Average Shares Outstanding Diluted,16851825,16851825,11407542,11407542
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1522860/000156459021014208/0001564590-21-014208-index.htm,https://www.sec.gov/Archives/edgar/data/1522860/000162828022007921/0001628280-22-007921-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,9625000,9452000,25234000,24071000
32,Short-Term Investments,8120000,62351000,105839000,76702000
33,Cash and Short-Term Investments,17745000,71803000,131073000,100773000
34,Net Receivables,164000,263000,2160000,3633000
