,https://roic.ai/company/LTRPA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,155000000,165000000,1034000000,1329000000,1565000000,1532000000,1569000000,1615000000,1560000000,604000000,902000000
2,COGS,110000000,110000000,237000000,- -,- -,- -,- -,- -,- -,275000000,286000000
3,Gross Profit,45000000,55000000,797000000,- -,- -,- -,- -,- -,- -,329000000,616000000
4,Gross Profit Ratio,0.2903,0.3333,0.7708,- -,- -,- -,- -,- -,- -,0.5447,0.6829
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,56000000,- -,646000000,663000000,966000000,957000000,1061000000,1018000000,954000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",42000000,54000000,496000000,667000000,935000000,918000000,1021000000,966000000,874000000,502000000,651000000
9,Other Expenses,- -,16000000,315000000,298000000,268000000,222000000,213000000,160000000,169000000,168000000,150000000
10,Operating Expenses,- -,70000000,811000000,965000000,1203000000,1140000000,1234000000,1126000000,1043000000,670000000,801000000
11,COGS and Expenses,155000000,180000000,1048000000,1261000000,1550000000,1509000000,3379000000,1487000000,1719000000,945000000,1087000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1000000,12000000,13000000,28000000,25000000,25000000,26000000,22000000,41000000,60000000
14,Depreciation and Amortization,3000000,16000000,315000000,298000000,268000000,222000000,213000000,160000000,169000000,168000000,150000000
15,EBITDA,4000000,1124000000,265000000,324000000,246000000,267000000,-388000000,179000000,153000000,-181000000,346000000
16,EBITDA ratio,0.0258,6.8121,0.2563,0.2438,0.1572,0.1743,-0.2473,0.1108,0.0981,-0.2997,0.3836
17,Operating Income,- -,-54000000,-17000000,68000000,15000000,23000000,-1792000000,128000000,-159000000,-932000000,-185000000
18,Operating Income ratio,- -,-0.3273,-0.0164,0.0512,0.0096,0.0150,-1.1421,0.0793,-0.1019,-1.5430,-0.2051
19,Total Other Income Expenses (Gains),1000000,1158000000,-11000000,-24000000,-11000000,23000000,-18000000,-80000000,27000000,-82000000,180000000
20,Income Before Tax,1000000,1104000000,-28000000,44000000,4000000,46000000,-1810000000,48000000,-132000000,-1014000000,-5000000
21,Income Before Tax Ratio,0.0065,6.6909,-0.0271,0.0331,0.0026,0.0300,-1.1536,0.0297,-0.0846,-1.6788,-0.0055
22,Income Tax expense (Gain),-11000000,124000000,-55000000,35000000,-10000000,-1000000,-229000000,57000000,-16000000,-152000000,-43000000
23,Net Income,12000000,983000000,-7000000,-22000000,-40000000,21000000,-397000000,-64000000,-22000000,-238000000,179000000
24,Net Income ratio,0.0774,5.9576,-0.0068,-0.0166,-0.0256,0.0137,-0.2530,-0.0396,-0.0141,-0.3940,0.1984
25,EPS,0.16,13.34,-0.10,-0.30,-0.53,0.28,-5.29,-0.86,-0.29,-5.17,-0.63
26,EPS Diluted,0.16,13.34,-0.10,-0.30,-0.53,0.28,-5.29,-0.86,-0.29,-5.17,-0.62
27,Weighted Average Shares Outstanding,73600000,73700000,73600000,74000000,75000000,75000000,75000000,74000000,75000000,75000000,76000000
28,Weighted Average Shares Outstanding Diluted,73600000,73700000,73600000,74000000,75000000,75000000,75000000,74000000,75000000,76000000,77000000
