,https://roic.ai/company/FRHC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5712183,3120000,1460000,1440000,330000,40000,100000,- -,970000,5960000,15790000,60200000,69620000,57270000,- -,- -,- -,- -,- -,- -,17178000,52726000,78403000,119725000,352551000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,430000,880000,2270000,5520000,14780000,18600000,- -,- -,- -,- -,- -,- -,346000,2066000,6238000,21936000,73100000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,540000,5080000,13520000,54680000,54840000,38670000,- -,- -,- -,- -,- -,- -,16832000,50660000,72165000,97789000,279451000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.5567,0.8523,0.8562,0.9083,0.7877,0.6752,- -,- -,- -,- -,- -,- -,0.9799,0.9608,0.9204,0.8168,0.7927
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3680000,1510000,1420000,370000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2994025,1490344,80410,490529,578644,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5214477,3674548,1504959,- -,- -,- -,- -,- -,4267891,9724597,10757727,14747754,30924748,14490928,10037072,20311395,2994025,1490344,80410,490529,578644,- -,- -,- -,- -
9,Other Expenses,271979,258247,95678,3842139,1049668,175418,1822500,786515,66451,1305985,2350963,9913382,17510634,21722400,89575,101515,115926,98356,- -,3305,3330,18927000,44632000,58826000,78995000
10,Operating Expenses,5486456,3932795,1600637,3842139,1049668,175418,1822500,786515,4334342,11030582,13108690,24661136,48435382,36213328,10126647,20412910,3109951,1588700,80410,493834,581974,18927000,44632000,58826000,78995000
11,COGS and Expenses,5486456,4010000,1850000,4020000,1070000,180000,1820000,790000,4760000,11910000,15380000,30180000,58020000,49390000,16100000,23960000,3110000,1590000,80410,493830,9807000,21268000,51121000,81371000,152095000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391223,275136,11388,32125,14210,16951,6819,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1138874,4604446,5977640,3551022,- -,- -,- -,- -,- -,14244000,14649000,12399000,27366000
14,Depreciation and Amortization,240912,240886,200171,1170000,10000,- -,- -,10000,133903,1300383,2177444,9658810,324028,613953,- -,101515,115924,98356,- -,3305,3330,233000,2034000,2658000,3825000
15,EBITDA,98844,140886,-189829,-2430000,-2320000,380000,-1730000,-780000,-3156097,-3999617,4067444,40868810,17592902,12658399,3110000,-23860000,-2990000,-1490000,-66770,-490520,5766330,33999000,25198000,45896000,203582000
16,EBITDA ratio,0.0173,0.0452,-0.1300,-1.6875,-7.0303,9.5000,-17.3000,-Infinity,-3.2537,-0.6711,0.2576,0.6789,0.2527,0.2210,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.3357,0.6448,0.3214,0.3833,0.5775
17,Operating Income,225727,-894015,-383364,-2401768,-716639,621179,-1727444,-447791,-3625845,-5903365,404843,30020087,11595582,7888299,-16104287,-23963932,-3109951,-1588700,-80410,-493834,-581974,- -,- -,- -,- -
18,Operating Income ratio,0.0395,-0.2865,-0.2626,-1.6679,-2.1716,15.5295,-17.2744,-Infinity,-3.7380,-0.9905,0.0256,0.4987,0.1666,0.1377,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0339,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),23034,4015,483364,-178232,-23361,-1179,-2556,-82209,335845,593365,1485157,1189913,4534418,-448299,-395713,-6068,19951,18700,6820,1594,6353974,-11746000,-18767000,-10222000,-27434000
20,Income Before Tax,248761,-890000,100000,-2580000,-740000,620000,-1730000,-530000,-3290000,-5310000,1890000,31210000,16130000,7440000,-16500000,-23970000,-3090000,-1570000,-73590,-492240,5772000,19712000,8515000,28132000,173022000
