,https://roic.ai/company/BOXS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,111022,570732,554926,- -,- -,268804,891227,1428045,1426969,1283751,80,- -,- -
2,COGS,80983,299504,292566,- -,- -,177839,539999,713870,779809,987580,89,- -,- -
3,Gross Profit,30039,271228,262360,- -,- -,90965,351228,714175,647160,296171,-9,- -,- -
4,Gross Profit Ratio,0.2706,0.4752,0.4728,- -,- -,0.3384,0.3941,0.5001,0.4535,0.2307,-0.1088,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,97731,524373,616531,241280,339885,1271840,1399552,1527223,1281625,1525242,821,245811,393376
7,Selling and Marketing Exp.,6480,42901,109819,1226,- -,414148,876415,1445450,1583552,1467582,143,- -,- -
8,"Selling, General and Administrative Exp.",104211,567274,726350,242506,339885,1685988,2275967,2972673,2865177,2992824,964,245811,393376
9,Other Expenses,- -,- -,- -,- -,- -,- -,-201013,- -,- -,- -,293,- -,- -
10,Operating Expenses,104211,567274,726350,242506,339885,1685988,2074954,2972673,2865177,2992824,1257,245811,393376
11,COGS and Expenses,185194,866778,1018916,242506,339885,1863827,2614953,3686543,3644986,3980404,1346,245811,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,7306,17549,37440,35882,156740,239570,615717,407864,747627,-623,615726,760663
14,Depreciation and Amortization,5739,21686,17874,- -,- -,154502,210239,235633,267585,298041,100188,- -,- -
15,EBITDA,-68433,-290377,-526840,-242506,-339885,-1764250,-1597295,-1757019,-2507879,361888,97669,-234811,- -
16,EBITDA ratio,-0.6164,-0.5088,-0.9494,-Infinity,-Infinity,-6.5633,-1.7922,-1.2304,-1.7575,0.2819,1217.3177,-Infinity,- -
17,Operating Income,-74172,-296046,-463990,-242506,-339885,-1595023,-1723726,-2258498,-2218017,-2696653,-1266070,-245811,- -
18,Operating Income ratio,-0.6681,-0.5187,-0.8361,-Infinity,-Infinity,-5.9338,-1.9341,-1.5815,-1.5544,-2.1006,-15779.9160,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,-23323,-98273,-142449,-68209,-480469,-323378,-349871,-965311,2012873,1264174,-3686502,- -
20,Income Before Tax,-74172,-319369,-562263,-384955,-408094,-2075492,-2047104,-2608369,-3183328,-683780,-1896,-3932313,1762466
21,Income Before Tax Ratio,-0.6681,-0.5596,-1.0132,-Infinity,-Infinity,-7.7212,-2.2970,-1.8265,-2.2308,-0.5326,-23.6330,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,4179,4185,2200,-72906,3470,-908,- -,- -,- -,- -,- -
23,Net Income,-74172,-319369,-566442,-426998,-387281,-2002586,-2050574,-2607461,-3183328,-683780,-1896,-3932313,1762466
24,Net Income ratio,-0.6681,-0.5596,-1.0208,-Infinity,-Infinity,-7.4500,-2.3008,-1.8259,-2.2308,-0.5326,-23.6330,-Infinity,Infinity
25,EPS,-0.72,-2.68,-4.76,-4.00,-2.00,-0.23,-0.15,-0.13,-0.12,-0.02,-0.05,-0.09,0.04
26,EPS Diluted,-0.72,-2.68,-4.76,-4.00,-2.00,-0.23,-0.15,-0.13,-0.12,-0.02,-0.05,-0.09,0.04
27,Weighted Average Shares Outstanding,102505,119105,119105,121569,356869,8571934,14099052,20414751,25877458,30564688,36369365,41943712,41943712
28,Weighted Average Shares Outstanding Diluted,102505,119105,119105,121569,356869,8571934,14099052,20414751,25877458,30564688,36369365,41943712,41943712
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1487718/000143209312000199/0001432093-12-000199-index.html,- -,https://www.sec.gov/Archives/edgar/data/1487718/000158069514000186/0001580695-14-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069515000137/0001580695-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069516000370/0001580695-16-000370-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069517000230/0001580695-17-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390018012036/0001213900-18-012036-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390019012471/0001213900-19-012471-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021025789/0001213900-21-025789-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021050052/0001213900-21-050052-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390022016728/0001213900-22-016728-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7777,21372,1693,1262,14620,73396,139677,61914,87667,63078,- -,23586,0
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7777,21372,1693,1262,14620,73396,139677,61914,87667,63078,- -,23586,0
34,Net Receivables,33246,23448,31337,- -,162536,- -,3807,16543,28572,25652,1530,- -,- -
35,Inventory,90829,134174,115952,- -,- -,28732,46979,76212,81621,59135,- -,- -,- -
36,Other Current Assets,5251,3865,6464,126629,4114,130081,79548,39101,19674,18749,7789,9789,0
37,Total Current Assets,137103,182859,155446,127891,181270,232209,270011,193770,217534,166614,9319,33375,0
38,PP&E,26922,3281,40607,- -,- -,675772,747298,710605,594236,762031,91673,61600,- -
39,Goodwill,19417,19417,19417,- -,- -,642340,642340,642340,- -,- -,- -,- -,- -
40,Intangible Assets,165750,148750,131750,- -,- -,347201,260401,173601,86801,- -,- -,- -,- -
41,Intangible Assets,185167,168167,151167,- -,- -,989541,902741,815941,86801,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2450,3483,99092,16333,80310,86028,17386,11416,12261,- -,- -,0
45,Total Non-Current Assets,212089,173898,195257,99092,16333,1745623,1736067,1543932,692453,774292,91673,61600,0
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,349192,356757,350703,226983,197603,1977832,2006078,1737702,909987,940906,100992,94975,0
48,Accounts Payable,26653,68262,95369,39026,35192,187460,254946,433440,460719,691819,278188,314533,0
49,Short-Term Debt,- -,- -,223224,280034,56249,1042365,1687664,1816728,1414984,4146013,4936036,5724919,0
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,33710,34850,67400,499480,220640,844937,1241024,1516374,2997632,1257031,1671898,2111164,7
53,Total Current Liabilities,60363,103112,385993,818540,312081,2074762,3183634,3766542,4873335,6094863,6886122,8150616,8
54,Long-Term Debt,- -,- -,214489,- -,- -,- -,- -,1084923,2201954,1113419,- -,634490,0
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1066,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,202185,- -,- -,214609,837375,518663,184680,121860,310380,1179723,3083255,1
58,Total Non-Current Liabilities,- -,202185,215555,- -,214609,837375,518663,1269603,2323814,1423799,1179723,3717745,1
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,396959,298486,261372,148235,370786,180850,181624,- -
61,Total Liabilities,60363,305297,601548,818540,526690,2912137,3702297,5036145,7197149,7518662,8065845,11868361,9
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20501,21321,23821,24638,489255,10151,18148,24664,27615,32177,37716,75828,0
64,Retained Earnings,-74172,-393541,-959983,-1386981,-1774262,-3776848,-5827422,-8434883,-11618211,-12301991,- -,-18130455,-16
65,Other Comprehensive Income/Loss,-1489,-1093,-1967,- -,- -,- -,-190091,-338925,-518809,-730951,- -,- -,- -
66,Other Total Stockholders Equity,343989,424773,687284,770786,955920,2832392,4303146,5450701,5822243,6423009,-8002569,6281241,7
67,Total Stockholders Equity,288829,51460,-250845,-591557,-329087,-934305,-1696219,-3298443,-6287162,-6577756,-7964853,-11773386,-9
68,Total Liabilities And Stockholders Equity,349192,356757,350703,226983,197603,1977832,2006078,1737702,909987,940906,100992,94975,0
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0
70,Total Liabilities & Equity,349192,356757,350703,226983,197603,1977832,2006078,1737702,909987,940906,100992,94975,0
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1487718/000143209312000199/0001432093-12-000199-index.html,- -,https://www.sec.gov/Archives/edgar/data/1487718/000158069514000186/0001580695-14-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069515000137/0001580695-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069516000370/0001580695-16-000370-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000158069517000230/0001580695-17-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390018012036/0001213900-18-012036-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390019012471/0001213900-19-012471-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021025789/0001213900-21-025789-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390021050052/0001213900-21-050052-index.htm,https://www.sec.gov/Archives/edgar/data/1487718/000121390022016728/0001213900-22-016728-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-74172,-319369,-566442,-426998,-387281,-2002586,-2050574,-2607461,-3183328,-683780,-1896,-3932313,1762466
74,Depreciation and Amortization,5739,21686,17874,- -,- -,154502,210239,235633,267585,298041,100188,- -,- -
75,Deferred Income Tax,- -,- -,469,541,- -,-75000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,14137,24796,23496,144613,257904,165296,98469,115186,285379,5772,6296
77,Change in Working Capital,39280,3007,-310294,-460102,559838,-1711742,-1071070,-659149,-1083029,-1272448,-948554,-1240438,8117233
78,Accounts Receivable,-2085,9798,-7889,- -,- -,- -,-3807,-12736,-12029,2920,24122,1530,- -
79,Inventory,10182,-43345,18222,- -,- -,-5599,-18247,-29233,-5409,22486,59135,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,713716,12415,273713,-144897,283432,- -
81,Other Working Capital,76740,79747,-230547,-690649,-130811,-1842553,-2913623,-3572772,-4655801,-5928249,-6876803,-8117241,-8
82,Other Non-Cash Items,- -,45077,457973,784978,-345357,2987848,2021108,2091776,3375152,301891,-186754,5126585,-10278440
