,https://roic.ai/company/WTRH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,69273000,191675000,204328000,182194000
2,COGS,- -,- -,- -,- -,51428000,147759000,109240000,108599000
3,Gross Profit,- -,- -,- -,- -,17845000,43916000,95088000,73595000
4,Gross Profit Ratio,- -,- -,- -,- -,0.2576,0.2291,0.4654,0.4039
5,Research and Development Exp.,- -,- -,- -,- -,3913000,7718000,4262000,4156000
6,General and Administrative Exp.,- -,11905,261253,480303,31148000,56862000,42982000,45042000
7,Selling and Marketing Exp.,- -,- -,- -,- -,15695000,52370000,12242000,19198000
8,"Selling, General and Administrative Exp.",- -,11905,261253,480303,46843000,109232000,55224000,64240000
9,Other Expenses,- -,- -,- -,- -,1223000,15774000,8377000,12429000
10,Operating Expenses,- -,- -,261253,480303,51979000,132724000,67863000,80825000
11,COGS and Expenses,- -,11905,261253,480303,103407000,280483000,177103000,189424000
12,Interest Income ,- -,- -,256735,1798242,- -,1037000,102000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,9408000,9458000,7074000
14,Depreciation and Amortization,- -,- -,- -,- -,1223000,15774000,8377000,12429000
15,EBITDA,- -,-11905,-261253,-480303,-33515000,-264146000,33793000,14298000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-0.4838,-1.3781,0.1654,0.0785
17,Operating Income,- -,-11905,-261253,-480303,-34143000,-281307000,27175000,-7574000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-0.4929,-1.4676,0.1330,-0.0416
19,Total Other Income Expenses (Gains),- -,- -,256735,1798242,-595000,-9918000,-11217000,2369000
20,Income Before Tax,- -,-11905,-4518,1317939,-34738000,-291225000,15958000,-5205000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,Infinity,-0.5015,-1.5194,0.0781,-0.0286
22,Income Tax expense (Gain),- -,- -,- -,448099,-427000,81000,122000,24000
23,Net Income,- -,-11905,-4518,869840,-34311000,-289409000,15836000,-5229000
24,Net Income ratio,- -,-Infinity,-Infinity,Infinity,-0.4953,-1.5099,0.0775,-0.0287
25,EPS,- -,-0.00,-0.00,-0.05,-2.18,-4.00,0.16,-0.04
26,EPS Diluted,- -,-0.00,-0.00,-0.05,-2.18,-4.00,0.15,-0.04
27,Weighted Average Shares Outstanding,7498815,31250000,7500028,7553650,15745065,72404020,98095081,120593501
28,Weighted Average Shares Outstanding Diluted,7498815,31250000,7500028,7553650,15745065,72404020,108175022,120593501
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1653247/000114420417017766/0001144204-17-017766-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000114420418014126/0001144204-18-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459019007876/0001564590-19-007876-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459020011143/0001564590-20-011143-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000156459021011498/0001564590-21-011498-index.htm,https://www.sec.gov/Archives/edgar/data/1653247/000165324722000011/0001653247-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,10845,1063350,571748,209340000,29317000,84706000,60111000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10845,1063350,571748,209340000,29317000,84706000,60111000
34,Net Receivables,- -,- -,- -,- -,3687000,3272000,2954000,3027000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,153699,43698,6417000,8528000,7394000,9876000
37,Total Current Assets,- -,10845,1217049,615446,219444000,41117000,95054000,73014000
38,PP&E,- -,- -,- -,- -,4551000,4072000,3503000,8090000
39,Goodwill,- -,- -,- -,- -,1408000,106734000,106734000,130624000
40,Intangible Assets,- -,- -,- -,- -,261000,25761000,23924000,43126000
41,Intangible Assets,- -,- -,- -,- -,1669000,132495000,130658000,173750000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,322750,250256735,252054977,888000,1289000,3017000,4253000
45,Total Non-Current Assets,- -,322750,250256735,252054977,7108000,137856000,137178000,186093000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,333595,251473784,252670423,226552000,178973000,232232000,259107000
48,Accounts Payable,- -,299350,134047,- -,1827000,4384000,4382000,7018000
49,Short-Term Debt,- -,35150,- -,- -,658000,3612000,2726000,4723000
50,Tax Payable,- -,- -,- -,- -,25000,732000,540000,249000
51,Deferred Revenue,- -,- -,- -,- -,3314000,414000,141000,- -
52,Other Current Liabilities,- -,- -,- -,460846,7796000,23578000,23055000,25698000
53,Total Current Liabilities,- -,334500,134047,460846,13595000,31988000,30304000,37439000
54,Long-Term Debt,- -,- -,- -,- -,80985000,123244000,94372000,85011000
55,Deferred Revenue,- -,- -,- -,- -,1356000,45000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,8750000,8750000,1125000,788000,19460000,2168000
58,Total Non-Current Liabilities,- -,- -,8750000,8750000,83466000,124077000,113832000,87179000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,4615000
61,Total Liabilities,- -,334500,8884047,9210846,97061000,156065000,144136000,124618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
